sec,LHC.BPM.1L5.B1_DOROS:POS_H,LHC.BPM.1L5.B1_DOROS:POS_V,LHC.BPM.1L5.B2_DOROS:POS_H,LHC.BPM.1L5.B2_DOROS:POS_V,LHC.BPM.1R5.B1_DOROS:POS_H,LHC.BPM.1R5.B1_DOROS:POS_V,LHC.BPM.1R5.B2_DOROS:POS_H,LHC.BPM.1R5.B2_DOROS:POS_V
1449134047,3.138,-0.0732,-7.8565,0.0954,2.9703,-0.4563,-3.7119,-0.5832
1449134050,3.1377,-0.073,-7.8568,0.0954,2.9702,-0.4562,-3.7119,-0.5835
1449134051,3.1374,-0.0732,-7.8566,0.0952,2.9698,-0.4564,-3.7118,-0.5833
1449134054,3.1374,-0.0731,-7.8572,0.0951,2.9696,-0.4566,-3.7121,-0.5835
1449134055,3.1384,-0.073,-7.8568,0.0954,2.9708,-0.4559,-3.7119,-0.5831
1449134058,3.1374,-0.0729,-7.8557,0.0951,2.97,-0.456,-3.7107,-0.5834
1449134059,3.1376,-0.0723,-7.8559,0.0955,2.9703,-0.4557,-3.7105,-0.5832
1449134060,3.1387,-0.071,-7.8564,0.0953,2.9709,-0.4545,-3.7113,-0.5833
1449134062,3.1377,-0.0719,-7.8553,0.0951,2.9701,-0.455,-3.7102,-0.5835
1449134063,3.1368,-0.0723,-7.8555,0.0946,2.9693,-0.4557,-3.7104,-0.584
1449134064,3.137,-0.0724,-7.8554,0.095,2.9698,-0.4555,-3.71,-0.5834
1449134066,3.1389,-0.0717,-7.8563,0.0953,2.9712,-0.4549,-3.7111,-0.5832
1449134068,3.1358,-0.0725,-7.8551,0.0952,2.9686,-0.4557,-3.7101,-0.5839
1449134070,3.1386,-0.0721,-7.8545,0.0958,2.9712,-0.4556,-3.7098,-0.5828
1449134071,3.138,-0.0716,-7.8547,0.0964,2.9706,-0.4549,-3.7093,-0.5824
1449134073,3.1382,-0.0728,-7.8552,0.0954,2.9705,-0.4562,-3.7101,-0.5835
1449134076,3.1386,-0.0716,-7.856,0.0946,2.9712,-0.4552,-3.7107,-0.584
1449134078,3.1378,-0.072,-7.8549,0.0953,2.9704,-0.4556,-3.7101,-0.584
1449134079,3.136,-0.0722,-7.8547,0.0949,2.9685,-0.4557,-3.7095,-0.5838
1449134085,3.1366,-0.0723,-7.8562,0.0948,2.969,-0.4558,-3.7106,-0.584
1449134086,3.1374,-0.071,-7.8563,0.0949,2.9698,-0.4545,-3.7111,-0.5839
1449134087,3.1388,-0.0707,-7.8554,0.096,2.9711,-0.4541,-3.7099,-0.583
1449134088,3.1378,-0.0713,-7.8543,0.0964,2.9702,-0.4545,-3.7085,-0.5824
1449134089,3.1377,-0.0718,-7.8539,0.0961,2.9701,-0.4552,-3.7081,-0.5829
1449134090,3.1378,-0.0724,-7.8541,0.0959,2.9705,-0.4558,-3.7084,-0.5825
1449134091,3.1372,-0.0725,-7.855,0.0953,2.9699,-0.4557,-3.7094,-0.5836
1449134092,3.1371,-0.0721,-7.8552,0.0949,2.9695,-0.4554,-3.7096,-0.5845
1449134093,3.138,-0.0718,-7.8558,0.0944,2.9705,-0.4552,-3.7102,-0.5842
1449134096,3.1369,-0.0716,-7.8557,0.0954,2.9694,-0.455,-3.7103,-0.5832
