sec,LHC.BPM.1L5.B1_DOROS:POS_H,LHC.BPM.1L5.B1_DOROS:POS_V,LHC.BPM.1L5.B2_DOROS:POS_H,LHC.BPM.1L5.B2_DOROS:POS_V,LHC.BPM.1R5.B1_DOROS:POS_H,LHC.BPM.1R5.B1_DOROS:POS_V,LHC.BPM.1R5.B2_DOROS:POS_H,LHC.BPM.1R5.B2_DOROS:POS_V
1463598005,0.554,-0.1442,0.2155,-0.1824,-0.1573,0.0916,-0.088,-0.2854
1463598026,0.5546,-0.144,0.215,-0.1826,-0.1576,0.0916,-0.0879,-0.2857
1463598030,0.5547,-0.1441,0.2146,-0.1827,-0.1577,0.0914,-0.0882,-0.2857
1463598072,0.5552,-0.1442,0.2148,-0.1819,-0.1577,0.091,-0.088,-0.2858
1463598081,0.5553,-0.1437,0.2149,-0.1814,-0.157,0.0913,-0.0877,-0.2857
1463598083,0.5552,-0.1441,0.2149,-0.1822,-0.1574,0.0911,-0.0878,-0.2858
1463598090,0.5553,-0.1441,0.2151,-0.182,-0.1568,0.091,-0.0875,-0.2854
1463598093,0.5555,-0.144,0.2152,-0.1823,-0.1565,0.0909,-0.0875,-0.2855
1463598110,0.5557,-0.144,0.2151,-0.1813,-0.1571,0.0904,-0.0876,-0.286
1463598136,0.5557,-0.1444,0.2144,-0.182,-0.1581,0.0904,-0.0877,-0.286
1463598138,0.556,-0.1439,0.2146,-0.1817,-0.1574,0.0906,-0.0877,-0.2858
1463598155,0.5566,-0.1439,0.2148,-0.181,-0.1572,0.0904,-0.0871,-0.2857
1463598157,0.5563,-0.1439,0.2147,-0.1814,-0.1575,0.0903,-0.0873,-0.286
1463598169,0.5563,-0.1439,0.214,-0.1813,-0.1579,0.0904,-0.0873,-0.2859
1463598176,0.5565,-0.1439,0.2144,-0.1812,-0.1583,0.0901,-0.0874,-0.2862
1463598238,0.5567,-0.1441,0.2135,-0.1812,-0.1581,0.0899,-0.0876,-0.2862
1463598244,0.5569,-0.1442,0.2133,-0.1814,-0.1581,0.0902,-0.0876,-0.2864
1463598246,0.5569,-0.1441,0.2135,-0.1815,-0.158,0.0901,-0.0875,-0.2863
1463598254,0.5564,-0.1445,0.2138,-0.1824,-0.1586,0.0898,-0.0875,-0.2864
1463598257,0.5562,-0.1443,0.2145,-0.1814,-0.1568,0.0897,-0.0872,-0.286
1463598266,0.5552,-0.1451,0.2155,-0.1808,-0.1571,0.089,-0.088,-0.2858
1463598269,0.5544,-0.1457,0.2162,-0.1802,-0.1571,0.0886,-0.0882,-0.2857
1463598272,0.5535,-0.1463,0.2165,-0.1808,-0.1573,0.0883,-0.0881,-0.2857
1463598274,0.5536,-0.1462,0.2168,-0.1801,-0.1569,0.0885,-0.0885,-0.2852
