sec,LHC.BPM.1L5.B1_DOROS:POS_H,LHC.BPM.1L5.B1_DOROS:POS_V,LHC.BPM.1L5.B2_DOROS:POS_H,LHC.BPM.1L5.B2_DOROS:POS_V,LHC.BPM.1R5.B1_DOROS:POS_H,LHC.BPM.1R5.B1_DOROS:POS_V,LHC.BPM.1R5.B2_DOROS:POS_H,LHC.BPM.1R5.B2_DOROS:POS_V
1501213500,0.7639,1.0188,0.4691,-0.4926,-0.163,0.4547,-0.0492,-0.8941
1501213501,0.7643,1.0187,0.4693,-0.4925,-0.1632,0.455,-0.0493,-0.8945
1501213504,0.7644,1.0186,0.4695,-0.4914,-0.163,0.4538,-0.0475,-0.8946
1501213507,0.7638,1.019,0.4708,-0.4915,-0.1635,0.4542,-0.0465,-0.8948
1501213513,0.7642,1.0181,0.4708,-0.4907,-0.1627,0.4548,-0.0499,-0.8939
1501213515,0.7645,1.0184,0.4702,-0.4902,-0.1618,0.4544,-0.0497,-0.8939
1501213516,0.7647,1.0186,0.4696,-0.4897,-0.1617,0.4542,-0.0496,-0.8942
1501213518,0.7651,1.0182,0.469,-0.4897,-0.1617,0.4538,-0.0506,-0.8939
1501213520,0.7649,1.0178,0.4693,-0.4883,-0.1613,0.4545,-0.0521,-0.893
1501213523,0.7641,1.0168,0.4703,-0.4855,-0.1611,0.4565,-0.0508,-0.8931
1501213525,0.7633,1.0162,0.4711,-0.485,-0.1613,0.4563,-0.0497,-0.8921
1501213527,0.7627,1.0156,0.4712,-0.4844,-0.161,0.4556,-0.0494,-0.8925
1501213528,0.7629,1.0157,0.4711,-0.4848,-0.1611,0.4559,-0.0493,-0.8926
1501213529,0.7631,1.0158,0.471,-0.4849,-0.1612,0.4561,-0.0491,-0.8927
1501213542,0.7605,1.0155,0.4718,-0.4848,-0.1594,0.4602,-0.0485,-0.8934
1501213547,0.7605,1.0169,0.4696,-0.487,-0.1563,0.4613,-0.0485,-0.8912
1501213552,0.7604,1.0185,0.4695,-0.4888,-0.1562,0.4639,-0.0489,-0.8918
1501213568,0.7601,1.02,0.4694,-0.4894,-0.1572,0.4629,-0.0491,-0.8922
1501213571,0.7595,1.0203,0.4687,-0.4913,-0.1554,0.4628,-0.0492,-0.8923
1501213574,0.7604,1.0213,0.4683,-0.4912,-0.1552,0.462,-0.0486,-0.8926
1501213586,0.7614,1.0218,0.4696,-0.4909,-0.1575,0.4613,-0.0483,-0.8923
1501213590,0.7616,1.0216,0.4685,-0.4909,-0.1582,0.4604,-0.049,-0.8933
1501213595,0.7624,1.0217,0.4687,-0.492,-0.1586,0.4604,-0.0484,-0.8934
1501213599,0.7622,1.0206,0.4689,-0.4929,-0.1589,0.459,-0.0487,-0.8934
1501213600,0.7623,1.0208,0.4688,-0.4931,-0.159,0.4588,-0.0488,-0.8933
1501213653,0.7631,1.0207,0.469,-0.4931,-0.16,0.4593,-0.0485,-0.8934
1501213687,0.7637,1.0199,0.4692,-0.4937,-0.1602,0.4584,-0.048,-0.8939
1501213688,0.7636,1.018,0.4693,-0.4945,-0.1604,0.4564,-0.0479,-0.8948
1501213692,0.7643,0.9955,0.4696,-0.5058,-0.1623,0.4346,-0.0478,-0.9058
1501213696,0.7654,0.9503,0.4697,-0.5292,-0.1647,0.3901,-0.0481,-0.9283
1501213697,0.7658,0.9365,0.4698,-0.5366,-0.1652,0.3765,-0.0482,-0.9351
1501213698,0.7661,0.9227,0.4696,-0.5439,-0.1655,0.3628,-0.0485,-0.942
1501213699,0.7665,0.9087,0.4699,-0.5508,-0.166,0.3491,-0.0488,-0.9489
1501213700,0.7669,0.8948,0.4698,-0.5576,-0.1661,0.3352,-0.0491,-0.9557
1501213701,0.7672,0.881,0.4697,-0.565,-0.1664,0.3213,-0.0495,-0.9625
1501213703,0.7678,0.8532,0.4699,-0.5788,-0.1667,0.2936,-0.0497,-0.9764
1501213704,0.7679,0.8393,0.4696,-0.5857,-0.167,0.2796,-0.05,-0.9834
1501213705,0.7681,0.8255,0.4695,-0.5931,-0.1671,0.2657,-0.0503,-0.9902
1501213707,0.7685,0.7977,0.4693,-0.6067,-0.1673,0.2378,-0.0508,-1.0038
1501213709,0.7689,0.7699,0.469,-0.6209,-0.1673,0.2099,-0.0514,-1.0175
1501213710,0.7692,0.756,0.4689,-0.6277,-0.1675,0.196,-0.0513,-1.0246
1501213712,0.7696,0.7282,0.4686,-0.6417,-0.1673,0.168,-0.0515,-1.0383
1501213713,0.7699,0.7143,0.4687,-0.6484,-0.167,0.154,-0.0516,-1.0452
1501213717,0.7706,0.6584,0.4683,-0.6758,-0.1668,0.0977,-0.052,-1.0726
1501213723,0.7704,0.5749,0.4671,-0.7175,-0.1674,0.0131,-0.0524,-1.1138
1501213724,0.7705,0.5609,0.4667,-0.7241,-0.1675,-0.001,-0.0529,-1.1208
1501213725,0.7704,0.547,0.4663,-0.731,-0.1677,-0.0151,-0.0532,-1.1278
1501213726,0.7703,0.5328,0.4661,-0.7382,-0.1678,-0.0292,-0.0535,-1.1346
1501213727,0.77,0.5189,0.4659,-0.745,-0.1679,-0.0433,-0.054,-1.1414
1501213730,0.7697,0.4772,0.4651,-0.7661,-0.1681,-0.0858,-0.0544,-1.162
1501213734,0.7692,0.4213,0.4641,-0.7937,-0.1682,-0.1425,-0.0549,-1.1894
1501213736,0.7691,0.3932,0.4634,-0.8072,-0.1684,-0.1707,-0.0551,-1.2032
1501213737,0.769,0.3792,0.463,-0.8145,-0.1682,-0.1848,-0.0553,-1.2099
1501213745,0.768,0.2675,0.46,-0.8696,-0.168,-0.2983,-0.0553,-1.2653
1501213746,0.7679,0.2536,0.4599,-0.8761,-0.1678,-0.3126,-0.0555,-1.2724
1501213750,0.7674,0.1977,0.4587,-0.9029,-0.1674,-0.3698,-0.055,-1.3
1501213751,0.7672,0.1837,0.4581,-0.9101,-0.1673,-0.3841,-0.0551,-1.3068
1501213753,0.7668,0.1559,0.4576,-0.9238,-0.1676,-0.4125,-0.0552,-1.3205
1501213755,0.7663,0.128,0.4567,-0.9375,-0.1675,-0.4411,-0.0554,-1.3342
1501213759,0.7662,0.0768,0.4559,-0.9627,-0.1671,-0.4934,-0.0551,-1.3594
1501213760,0.7664,0.067,0.4555,-0.9673,-0.167,-0.5033,-0.0552,-1.3641
1501213761,0.7663,0.0588,0.4553,-0.9712,-0.1671,-0.5116,-0.0551,-1.3682
1501213763,0.7662,0.0466,0.4552,-0.9774,-0.1671,-0.5236,-0.0554,-1.3739
1501213764,0.7661,0.0429,0.4549,-0.9793,-0.167,-0.5277,-0.0556,-1.3757
1501213769,0.7659,0.0276,0.4551,-0.9828,-0.1674,-0.5434,-0.0552,-1.3798
1501213770,0.7658,0.0182,0.4552,-0.9845,-0.1678,-0.5528,-0.055,-1.3813
1501213771,0.7656,0.0061,0.4551,-0.9864,-0.1683,-0.5652,-0.0551,-1.3836
1501213772,0.7651,-0.0089,0.455,-0.9888,-0.1687,-0.5803,-0.055,-1.3864
1501213774,0.7645,-0.0452,0.4551,-0.9954,-0.1695,-0.6169,-0.055,-1.3926
1501213775,0.7643,-0.0642,0.455,-0.9985,-0.1697,-0.6361,-0.0551,-1.3959
1501213776,0.764,-0.0833,0.4552,-1.0015,-0.1701,-0.6552,-0.0552,-1.3993
1501213777,0.7638,-0.1022,0.4553,-1.0053,-0.1705,-0.6743,-0.0553,-1.4025
1501213778,0.7637,-0.1212,0.4554,-1.0087,-0.171,-0.6935,-0.0554,-1.4057
1501213779,0.7636,-0.1402,0.4555,-1.0116,-0.1714,-0.7125,-0.0553,-1.4091
1501213780,0.7633,-0.1592,0.4556,-1.0151,-0.1719,-0.7315,-0.0554,-1.4124
1501213781,0.7631,-0.1782,0.4557,-1.0186,-0.1723,-0.7506,-0.0553,-1.4156
1501213782,0.7629,-0.1972,0.4558,-1.0219,-0.1729,-0.7696,-0.0554,-1.4189
1501213783,0.7627,-0.2162,0.456,-1.0249,-0.1732,-0.7886,-0.0553,-1.4222
1501213788,0.7621,-0.3113,0.4564,-1.042,-0.1753,-0.8836,-0.0549,-1.4383
1501213790,0.7617,-0.3491,0.4565,-1.0486,-0.1759,-0.9213,-0.0545,-1.4448
1501213791,0.7614,-0.3681,0.4562,-1.0521,-0.1765,-0.9402,-0.0544,-1.4481
1501213794,0.7609,-0.4253,0.4564,-1.0624,-0.1777,-0.9965,-0.0545,-1.458
1501213795,0.7607,-0.4445,0.4563,-1.066,-0.1781,-1.0153,-0.0544,-1.4612
1501213797,0.7602,-0.4824,0.4562,-1.0729,-0.1788,-1.0526,-0.054,-1.4677
1501213799,0.7597,-0.5203,0.4561,-1.0796,-0.1798,-1.0901,-0.0533,-1.4741
1501213800,0.7596,-0.5382,0.456,-1.083,-0.1802,-1.1079,-0.0532,-1.4771
1501213801,0.7594,-0.5541,0.4559,-1.0857,-0.1806,-1.1232,-0.0533,-1.4798
1501213803,0.759,-0.5775,0.456,-1.0903,-0.1813,-1.1458,-0.0541,-1.4835
1501213804,0.7588,-0.5848,0.4555,-1.0914,-0.1818,-1.153,-0.0543,-1.4847
1501213805,0.7585,-0.5894,0.4552,-1.0921,-0.1821,-1.1574,-0.0546,-1.4855
1501213807,0.7583,-0.5934,0.455,-1.093,-0.1825,-1.1608,-0.0551,-1.4862
1501213808,0.7582,-0.5971,0.4551,-1.0939,-0.1827,-1.1646,-0.0553,-1.487
1501213809,0.7583,-0.6037,0.4552,-1.0949,-0.183,-1.1711,-0.055,-1.4883
1501213812,0.7588,-0.6403,0.4555,-1.1012,-0.1834,-1.2069,-0.0553,-1.4949
1501213813,0.7591,-0.6579,0.4559,-1.104,-0.1836,-1.2239,-0.0557,-1.4982
1501213814,0.7593,-0.6768,0.4564,-1.1075,-0.1838,-1.2421,-0.056,-1.5015
1501213816,0.7601,-0.7147,0.4571,-1.1146,-0.1836,-1.279,-0.0564,-1.5083
1501213818,0.7607,-0.7525,0.458,-1.1216,-0.1837,-1.3161,-0.0567,-1.5149
1501213819,0.7608,-0.7714,0.4583,-1.1255,-0.1836,-1.3346,-0.057,-1.5182
1501213821,0.7615,-0.8095,0.4593,-1.1321,-0.1837,-1.3713,-0.0577,-1.5249
1501213823,0.7619,-0.8473,0.4603,-1.1392,-0.1836,-1.4084,-0.0585,-1.5316
1501213824,0.762,-0.866,0.4607,-1.1427,-0.1835,-1.4269,-0.0587,-1.5349
1501213825,0.7622,-0.8849,0.4613,-1.1459,-0.1833,-1.4454,-0.059,-1.5383
1501213826,0.7623,-0.9037,0.4617,-1.1496,-0.1835,-1.464,-0.0593,-1.5416
1501213827,0.7625,-0.9226,0.4624,-1.1533,-0.1836,-1.4824,-0.0595,-1.545
1501213828,0.7626,-0.9415,0.4626,-1.1567,-0.1837,-1.501,-0.0598,-1.5484
1501213829,0.7627,-0.9602,0.4633,-1.1599,-0.1838,-1.5195,-0.0601,-1.5517
1501213833,0.7627,-1.0358,0.4651,-1.1737,-0.184,-1.5937,-0.0619,-1.5648
1501213835,0.7629,-1.0734,0.4659,-1.1809,-0.1841,-1.6308,-0.0625,-1.5712
1501213838,0.763,-1.1301,0.4672,-1.1913,-0.1841,-1.6866,-0.0636,-1.5807
1501213840,0.7629,-1.167,0.4682,-1.1975,-0.1836,-1.7228,-0.0654,-1.5867
1501213841,0.7628,-1.1828,0.4688,-1.2006,-0.1832,-1.7382,-0.0662,-1.5893
1501213843,0.7629,-1.2059,0.4694,-1.2045,-0.1824,-1.7607,-0.0673,-1.5927
1501213892,0.7461,-1.22,0.4866,-1.2083,-0.1989,-1.7762,-0.0505,-1.5951
1501213894,0.7392,-1.2202,0.4938,-1.2087,-0.206,-1.7764,-0.0434,-1.5949
1501213896,0.738,-1.2201,0.4952,-1.208,-0.2071,-1.7764,-0.0426,-1.5949
1501213908,0.7357,-1.2203,0.4974,-1.2081,-0.2096,-1.776,-0.0402,-1.5947
1501213911,0.7232,-1.2207,0.5106,-1.2079,-0.223,-1.7754,-0.0271,-1.5946
1501213917,0.7151,-1.2204,0.5201,-1.2076,-0.2315,-1.7752,-0.0172,-1.5945
