sec,LHC.BPM.1L5.B1_DOROS:POS_H,LHC.BPM.1L5.B1_DOROS:POS_V,LHC.BPM.1L5.B2_DOROS:POS_H,LHC.BPM.1L5.B2_DOROS:POS_V,LHC.BPM.1R5.B1_DOROS:POS_H,LHC.BPM.1R5.B1_DOROS:POS_V,LHC.BPM.1R5.B2_DOROS:POS_H,LHC.BPM.1R5.B2_DOROS:POS_V
1542135000,-2.9241,0.1393,4.0298,-0.8335,3.4846,-0.1185,-3.6051,-1.355
1542135001,-2.9246,0.1115,4.029,-0.8391,3.485,-0.1438,-3.6042,-1.3711
1542135002,-2.925,0.0834,4.028,-0.8448,3.4854,-0.1687,-3.6032,-1.3873
1542135003,-2.9252,0.0555,4.0262,-0.8505,3.4855,-0.1938,-3.6013,-1.4032
1542135004,-2.9252,0.0275,4.0253,-0.8558,3.4854,-0.2188,-3.6004,-1.4194
1542135005,-2.9256,-0.0002,4.0246,-0.8613,3.4856,-0.244,-3.5998,-1.4357
1542135006,-2.926,-0.028,4.0233,-0.8671,3.486,-0.2692,-3.5984,-1.4515
1542135007,-2.9262,-0.0562,4.0216,-0.8729,3.4861,-0.2941,-3.5967,-1.4674
1542135008,-2.926,-0.0839,4.0203,-0.8784,3.4859,-0.3192,-3.5952,-1.4835
1542135009,-2.9266,-0.1114,4.0193,-0.8845,3.4861,-0.344,-3.5944,-1.4988
1542135010,-2.9264,-0.1377,4.0186,-0.8904,3.4858,-0.3677,-3.5936,-1.5133
1542135011,-2.9255,-0.161,4.018,-0.8963,3.4848,-0.3902,-3.5931,-1.526
1542135012,-2.9252,-0.1825,4.0171,-0.9014,3.4844,-0.4099,-3.5922,-1.5378
1542135013,-2.9249,-0.2023,4.0167,-0.9058,3.484,-0.4271,-3.5916,-1.5484
1542135014,-2.9252,-0.219,4.0168,-0.9102,3.484,-0.4429,-3.5918,-1.5573
1542135015,-2.9259,-0.2334,4.0167,-0.914,3.4846,-0.4566,-3.5915,-1.5649
1542135016,-2.9265,-0.2457,4.0159,-0.917,3.4853,-0.4678,-3.5907,-1.5715
1542135017,-2.9262,-0.2561,4.0167,-0.9193,3.485,-0.4766,-3.5915,-1.5772
1542135018,-2.9256,-0.2641,4.0167,-0.9208,3.4845,-0.4835,-3.5915,-1.5816
1542135019,-2.9255,-0.2697,4.0166,-0.9218,3.4841,-0.4883,-3.5913,-1.5848
1542135020,-2.9251,-0.2729,4.0169,-0.9221,3.4836,-0.4912,-3.5917,-1.587
1542135021,-2.9248,-0.2742,4.017,-0.9223,3.4835,-0.4927,-3.5917,-1.5879
1542135022,-2.9248,-0.2759,4.0167,-0.9233,3.4835,-0.4945,-3.5917,-1.5883
1542135023,-2.9242,-0.2795,4.0166,-0.9251,3.4831,-0.4984,-3.5917,-1.5893
1542135024,-2.9241,-0.2849,4.016,-0.9283,3.4835,-0.5049,-3.5916,-1.5906
1542135025,-2.9246,-0.2926,4.016,-0.9321,3.4846,-0.5137,-3.5922,-1.5929
1542135026,-2.9249,-0.3027,4.0166,-0.9362,3.4854,-0.5248,-3.5932,-1.5966
1542135027,-2.9254,-0.3147,4.0164,-0.9418,3.4868,-0.5385,-3.5939,-1.6008
1542135028,-2.9262,-0.3291,4.0167,-0.9477,3.4887,-0.5543,-3.5953,-1.606
1542135029,-2.9273,-0.346,4.0177,-0.9552,3.491,-0.5721,-3.5973,-1.6114
1542135030,-2.928,-0.3652,4.0185,-0.9633,3.4929,-0.5922,-3.5995,-1.618
1542135031,-2.9292,-0.3863,4.0188,-0.9723,3.4954,-0.6149,-3.6011,-1.6254
1542135032,-2.9302,-0.4095,4.0193,-0.9822,3.4981,-0.64,-3.6033,-1.6334
1542135033,-2.9305,-0.4347,4.0197,-0.9936,3.5001,-0.6673,-3.6053,-1.6416
1542135034,-2.9312,-0.4601,4.0202,-1.0068,3.5025,-0.6966,-3.6074,-1.6486
1542135035,-2.9316,-0.4853,4.0201,-1.0201,3.5048,-0.726,-3.6092,-1.6555
1542135036,-2.9324,-0.5107,4.0202,-1.0336,3.5073,-0.7554,-3.6111,-1.6625
1542135037,-2.9335,-0.5357,4.0204,-1.047,3.5102,-0.7852,-3.6132,-1.6696
1542135038,-2.934,-0.5607,4.0203,-1.0601,3.5125,-0.8149,-3.6148,-1.6767
1542135039,-2.9345,-0.5861,4.0205,-1.0735,3.5147,-0.8442,-3.6166,-1.6837
1542135040,-2.9347,-0.6114,4.0204,-1.087,3.5167,-0.8737,-3.6184,-1.6905
1542135041,-2.9359,-0.6368,4.02,-1.1,3.5197,-0.903,-3.6197,-1.6979
1542135042,-2.9371,-0.6623,4.0203,-1.1131,3.5228,-0.9321,-3.6217,-1.705
1542135043,-2.9376,-0.6876,4.0204,-1.1259,3.5249,-0.9615,-3.6236,-1.7126
1542135044,-2.938,-0.7129,4.0195,-1.1387,3.5272,-0.991,-3.6245,-1.7201
1542135045,-2.9388,-0.738,4.0193,-1.1521,3.5299,-1.0206,-3.6262,-1.727
1542135046,-2.9398,-0.7635,4.0202,-1.1652,3.5327,-1.0498,-3.6288,-1.7341
1542135047,-2.9403,-0.789,4.0207,-1.1784,3.5351,-1.0789,-3.6309,-1.7413
1542135048,-2.9411,-0.8141,4.0207,-1.1916,3.5376,-1.1085,-3.6326,-1.7485
1542135049,-2.9419,-0.8398,4.0209,-1.2037,3.5402,-1.1377,-3.6346,-1.7564
1542135050,-2.9424,-0.8652,4.0206,-1.2156,3.5426,-1.167,-3.636,-1.7648
1542135051,-2.943,-0.8905,4.0211,-1.2274,3.5448,-1.1962,-3.6381,-1.7732
1542135052,-2.9431,-0.9163,4.0224,-1.2396,3.5466,-1.2251,-3.6412,-1.7813
1542135053,-2.9428,-0.9419,4.0241,-1.2521,3.5481,-1.2542,-3.6447,-1.789
1542135054,-2.9429,-0.9681,4.0264,-1.2644,3.55,-1.2826,-3.6488,-1.797
1542135055,-2.9433,-0.9934,4.0318,-1.2763,3.5522,-1.3118,-3.6562,-1.8051
1542135056,-2.9444,-1.0188,4.0382,-1.2867,3.5549,-1.3411,-3.6644,-1.815
1542135057,-2.9447,-1.0442,4.0431,-1.2975,3.5571,-1.3703,-3.6715,-1.8245
1542135058,-2.9436,-1.0695,4.0506,-1.3082,3.5574,-1.3998,-3.6808,-1.8337
1542135059,-2.9429,-1.0955,4.058,-1.3187,3.5583,-1.4283,-3.6898,-1.8436
1542135060,-2.9424,-1.1221,4.0631,-1.329,3.5597,-1.4564,-3.6965,-1.8533
1542135061,-2.942,-1.1487,4.0668,-1.3391,3.5608,-1.4842,-3.702,-1.8633
1542135062,-2.943,-1.1755,4.0684,-1.3487,3.5635,-1.512,-3.7053,-1.8739
1542135063,-2.9437,-1.2019,4.0697,-1.3579,3.566,-1.5401,-3.7084,-1.8848
1542135064,-2.9433,-1.2282,4.0729,-1.3673,3.5672,-1.5684,-3.7133,-1.8955
1542135065,-2.9429,-1.2548,4.0773,-1.3761,3.5684,-1.5963,-3.7195,-1.9067
1542135066,-2.9418,-1.2816,4.0819,-1.3837,3.5691,-1.6237,-3.7258,-1.9192
1542135067,-2.9413,-1.3086,4.0855,-1.3909,3.5704,-1.6511,-3.7312,-1.9321
1542135068,-2.9417,-1.3349,4.0887,-1.398,3.5722,-1.6792,-3.7364,-1.9451
1542135069,-2.9416,-1.3604,4.0923,-1.4059,3.5737,-1.7072,-3.7416,-1.9571
1542135070,-2.9414,-1.3847,4.0957,-1.4148,3.5754,-1.7342,-3.7466,-1.9671
1542135071,-2.9411,-1.4069,4.0992,-1.4238,3.5766,-1.759,-3.7517,-1.9758
1542135072,-2.9405,-1.4272,4.1027,-1.4317,3.5771,-1.7811,-3.7565,-1.9835
1542135073,-2.9392,-1.4446,4.1063,-1.4387,3.577,-1.8015,-3.7613,-1.9907
1542135074,-2.9375,-1.4596,4.1095,-1.445,3.5764,-1.8198,-3.7655,-1.9968
1542135075,-2.9364,-1.4725,4.1107,-1.4506,3.5763,-1.8355,-3.7677,-2.0021
1542135076,-2.9362,-1.4834,4.112,-1.4546,3.5768,-1.8489,-3.7697,-2.0069
1542135077,-2.9358,-1.4922,4.1137,-1.4588,3.5769,-1.8598,-3.772,-2.0101
1542135078,-2.935,-1.4991,4.1145,-1.4622,3.5765,-1.868,-3.7732,-2.0124
1542135079,-2.9344,-1.5043,4.1148,-1.4641,3.5764,-1.8736,-3.7739,-2.0143
1542135080,-2.9348,-1.5072,4.1141,-1.4651,3.5771,-1.8768,-3.7734,-2.0155
1542135081,-2.9352,-1.5085,4.1127,-1.465,3.5777,-1.8777,-3.7722,-2.0162
1542135082,-2.9348,-1.5093,4.1121,-1.4647,3.5772,-1.8773,-3.7714,-2.0168
1542135083,-2.9346,-1.5096,4.1112,-1.4643,3.577,-1.877,-3.7705,-2.0171
1542135084,-2.9352,-1.5096,4.1102,-1.4647,3.5775,-1.877,-3.7697,-2.0169
1542135085,-2.9354,-1.51,4.1098,-1.4645,3.5778,-1.8767,-3.7689,-2.017
1542135086,-2.9355,-1.5102,4.109,-1.4645,3.5781,-1.8765,-3.7683,-2.0172
1542135087,-2.9358,-1.5101,4.1094,-1.4648,3.5785,-1.8764,-3.7686,-2.0167
1542135088,-2.9358,-1.5105,4.1093,-1.4645,3.5783,-1.8763,-3.7685,-2.017
1542135089,-2.9366,-1.5105,4.1083,-1.4648,3.579,-1.8761,-3.7675,-2.0168
1542135090,-2.9373,-1.5108,4.1085,-1.4647,3.5798,-1.8757,-3.7677,-2.0168
1542135091,-2.9373,-1.5116,4.1091,-1.4645,3.5798,-1.8751,-3.7682,-2.0171
1542135092,-2.9369,-1.5116,4.1091,-1.4648,3.5796,-1.8751,-3.7682,-2.0167
1542135093,-2.9367,-1.5114,4.1092,-1.4651,3.5793,-1.8753,-3.7681,-2.0164
1542135094,-2.9367,-1.5116,4.1096,-1.4652,3.5794,-1.8751,-3.7686,-2.0163
1542135095,-2.9367,-1.5117,4.1093,-1.4647,3.5793,-1.8748,-3.7684,-2.0168
