fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane
4266,000000,00,00,1440462850,000,0,0,0,00,ACQUIRING,MIXED,0,0,0,0,0,0,0.0,0.0,0.0,0.0,estimate
4266,000000,00,00,1440462900,000,0,0,0,00,ACQUIRING,MIXED,0,0,0,0,0,0,0.0,0.0,0.0,0.0,estimate
4266,000000,00,00,1440462950,000,0,0,0,00,ACQUIRING,MIXED,0,0,0,0,0,0,0.0,0.0,0.0,0.0,estimate
4266,000000,00,00,1440463000,000,0,0,0,00,ACQUIRING,MIXED,0,0,0,0,0,0,0.0,0.0,0.0,0.0,estimate
4266,000000,00,00,1440463050,000,0,0,0,00,ACQUIRING,MIXED,0,0,0,0,0,0,0.0,0.0,0.0,0.0,estimate
4266,000000,00,00,1440463100,000,0,0,0,00,ACQUIRING,MIXED,0,0,0,0,0,0,0.0,0.0,0.0,0.0,estimate
4266,000000,00,00,1440463150,000,0,0,0,00,ACQUIRING,MIXED,0,0,0,0,0,0,0.0,0.0,0.0,0.0,estimate
4266,000000,00,00,1440463200,000,0,0,0,00,ACQUIRING,MIXED,0,0,0,0,0,0,0.0,0.0,0.0,0.0,estimate
4266,000000,00,00,1440463250,000,0,0,0,00,ACQUIRING,MIXED,0,0,0,0,0,0,0.0,0.0,0.0,0.0,estimate
4266,254991,63,20,1440463274,386,1,0,3,32,ACQUIRING,CROSSING,30,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,63,24,1440463275,807,1,0,3,32,ACQUIRING,CROSSING,28,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,63,64,1440463290,443,1,0,3,32,ACQUIRING,CROSSING,30,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,4,1440463291,863,1,0,3,32,ACQUIRING,CROSSING,28,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,8,1440463293,276,1,0,3,32,ACQUIRING,CROSSING,27,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,12,1440463294,795,1,0,3,32,ACQUIRING,CROSSING,25,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,16,1440463296,222,1,0,3,32,ACQUIRING,CROSSING,24,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,20,1440463297,656,1,0,3,32,ACQUIRING,CROSSING,22,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,24,1440463299,174,1,0,3,32,ACQUIRING,CROSSING,21,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,28,1440463300,593,1,0,3,32,ACQUIRING,CROSSING,19,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,32,1440463302,31,1,0,3,32,ACQUIRING,CROSSING,18,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,36,1440463303,480,1,0,3,32,ACQUIRING,CROSSING,17,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,40,1440463305,27,1,0,3,32,ACQUIRING,CROSSING,15,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,44,1440463306,460,1,0,3,32,ACQUIRING,CROSSING,14,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,48,1440463307,885,1,0,3,32,ACQUIRING,CROSSING,12,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,52,1440463309,323,1,0,3,32,ACQUIRING,CROSSING,11,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,56,1440463310,754,1,0,3,32,ACQUIRING,CROSSING,9,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,60,1440463312,273,1,0,3,32,ACQUIRING,CROSSING,8,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,64,64,1440463313,686,1,0,3,32,ACQUIRING,CROSSING,6,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,65,4,1440463315,223,1,0,3,32,ACQUIRING,CROSSING,5,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,65,8,1440463316,639,1,0,3,32,ACQUIRING,CROSSING,3,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,65,12,1440463318,49,1,0,3,32,ACQUIRING,CROSSING,2,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,65,16,1440463319,562,1,0,3,32,ACQUIRING,CROSSING,0,0,0.05013,0.16309,-0.05013,-0.16293,0,0,0,-0
4266,254991,68,4,1440463385,80,1,1,3,32,ACQUIRING,CROSSING,29,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,8,1440463386,603,1,1,3,32,ACQUIRING,CROSSING,27,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,12,1440463388,37,1,1,3,32,ACQUIRING,CROSSING,26,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,16,1440463389,468,1,1,3,32,ACQUIRING,CROSSING,24,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,20,1440463390,889,1,1,3,32,ACQUIRING,CROSSING,23,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,24,1440463392,414,1,1,3,32,ACQUIRING,CROSSING,22,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,28,1440463393,829,1,1,3,32,ACQUIRING,CROSSING,20,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,32,1440463395,346,1,1,3,32,ACQUIRING,CROSSING,19,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,36,1440463396,759,1,1,3,32,ACQUIRING,CROSSING,17,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,40,1440463398,173,1,1,3,32,ACQUIRING,CROSSING,16,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,44,1440463399,698,1,1,3,32,ACQUIRING,CROSSING,14,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,48,1440463401,120,1,1,3,32,ACQUIRING,CROSSING,13,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,52,1440463402,569,1,1,3,32,ACQUIRING,CROSSING,11,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,56,1440463403,999,1,1,3,32,ACQUIRING,CROSSING,10,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
4266,254991,68,60,1440463405,523,1,1,3,32,ACQUIRING,CROSSING,8,-0.61121,0.05013,-0.14251,-0.05013,0.14268,0,-0.305605,0,0.305605
