fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst
4689,263233,65,16,1449134042,13,1,1,3,32,ACQUIRING,CROSSING,60,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3137.89,-72.6992,446.177,545.069,LHC.BPM.1R5.B1_DOROS,2970.36,-455.903,487.488,580.021,LHC.BPM.1L5.B2_DOROS,-7856.54,95.1172,595.059,506.578,LHC.BPM.1R5.B2_DOROS,-3711.82,-583.667,594.13,486.659,0.000638672
4689,263233,65,20,1449134043,449,1,1,3,32,ACQUIRING,CROSSING,58,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3138.21,-73.1602,440.887,536.807,LHC.BPM.1R5.B1_DOROS,2970.41,-456.422,483.364,582.561,LHC.BPM.1L5.B2_DOROS,-7856.61,95.3419,600.577,506.967,LHC.BPM.1R5.B2_DOROS,-3711.99,-583.385,598.619,492.827,0.000643702
4689,263233,65,24,1449134044,871,1,1,3,32,ACQUIRING,CROSSING,57,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3138.18,-73.3317,446.151,545.041,LHC.BPM.1R5.B1_DOROS,2970.47,-456.521,487.452,580.003,LHC.BPM.1L5.B2_DOROS,-7856.27,95.475,594.952,506.553,LHC.BPM.1R5.B2_DOROS,-3711.17,-582.982,593.99,486.65,0.000643702
4689,263233,65,28,1449134046,388,1,1,3,32,ACQUIRING,CROSSING,55,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3137.65,-72.5864,446.114,545.005,LHC.BPM.1R5.B1_DOROS,2969.98,-455.917,487.401,579.965,LHC.BPM.1L5.B2_DOROS,-7856.6,95.5703,594.94,506.528,LHC.BPM.1R5.B2_DOROS,-3711.67,-582.754,593.97,486.622,0.000643702
4689,263233,65,32,1449134047,805,1,1,3,32,ACQUIRING,CROSSING,54,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3138.03,-73.2337,440.869,536.754,LHC.BPM.1R5.B1_DOROS,2970.27,-456.274,483.335,582.541,LHC.BPM.1L5.B2_DOROS,-7856.47,95.3668,600.513,506.91,LHC.BPM.1R5.B2_DOROS,-3711.92,-583.16,598.497,492.84,0.000644991
4689,263233,65,36,1449134049,233,1,1,3,32,ACQUIRING,CROSSING,53,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3137.23,-73.0704,440.84,536.722,LHC.BPM.1R5.B1_DOROS,2969.57,-456.006,483.334,582.511,LHC.BPM.1L5.B2_DOROS,-7855.95,95.574,600.44,506.858,LHC.BPM.1R5.B2_DOROS,-3711.13,-582.781,598.423,492.783,0.000644991
4689,263233,65,40,1449134050,749,1,1,3,32,ACQUIRING,CROSSING,51,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3137.68,-73.0467,446.081,544.932,LHC.BPM.1R5.B1_DOROS,2970.21,-456.208,487.372,579.957,LHC.BPM.1L5.B2_DOROS,-7856.82,95.4304,594.929,506.488,LHC.BPM.1R5.B2_DOROS,-3711.86,-583.451,593.942,486.64,0.000648173
4689,263233,65,44,1449134052,160,1,1,3,32,ACQUIRING,CROSSING,50,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3137.08,-72.7823,446.063,544.895,LHC.BPM.1R5.B1_DOROS,2969.61,-456.221,487.381,579.898,LHC.BPM.1L5.B2_DOROS,-7855.81,95.5104,594.878,506.435,LHC.BPM.1R5.B2_DOROS,-3711.11,-583.287,593.875,486.612,0.000648173
4689,263233,65,48,1449134053,674,1,1,3,32,ACQUIRING,CROSSING,48,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3137.14,-72.73,440.804,536.69,LHC.BPM.1R5.B1_DOROS,2969.37,-455.774,483.366,582.412,LHC.BPM.1L5.B2_DOROS,-7856.75,95.2424,600.486,506.799,LHC.BPM.1R5.B2_DOROS,-3711.5,-583.75,598.403,492.731,0.000648173
4689,263233,65,52,1449134055,87,1,1,3,32,ACQUIRING,CROSSING,47,0,0.08159,0.294,-0.08127,-0.29377,0,0,0,0,LHC.BPM.1L5.B1_DOROS,3138.4,-72.9668,440.717,536.652,LHC.BPM.1R5.B1_DOROS,2970.77,-455.919,483.256,582.334,LHC.BPM.1L5.B2_DOROS,-7856.85,95.3574,600.447,506.727,LHC.BPM.1R5.B2_DOROS,-3711.9,-583.141,598.347,492.656,0.000648173
