sec bpm_5LDOROS_B1hPos bpm_5LDOROS_B1vPos bpm_5LDOROS_B2hPos bpm_5LDOROS_B2vPos bpm_5RDOROS_B1hPos bpm_5RDOROS_B1vPos bpm_5RDOROS_B2hPos bpm_5RDOROS_B2vPos
1501214335 622.414 -1248.46 610.761 -1184.4 -327.705 -1808.83 72.9361 -1572.14
1501214336 622.477 -1248.33 610.527 -1184.53 -327.575 -1808.87 72.9765 -1572.29
1501214337 622.509 -1248.25 610.389 -1184.45 -327.5 -1808.87 72.9193 -1572.23
1501214339 622.339 -1248.3 610.439 -1184.19 -327.478 -1808.84 72.9871 -1572.31
1501214340 622.392 -1248.33 610.686 -1184.31 -327.523 -1808.81 72.9245 -1572.17
1501214342 622.25 -1248.42 610.942 -1184.38 -327.736 -1808.89 72.5996 -1571.93
1501214343 622.203 -1248.48 611.025 -1184.11 -327.957 -1808.85 72.729 -1571.93
1501214356 660.656 -1248.51 569.604 -1184.36 -286.318 -1808.47 32.9945 -1572
1501214358 660.596 -1248.57 570.026 -1184.41 -286.459 -1808.51 32.9514 -1571.79
1501214359 660.568 -1248.61 570.087 -1184.21 -286.478 -1808.55 32.8969 -1571.88
1501214361 660.674 -1248.55 570.307 -1184.46 -286.577 -1808.55 33.123 -1571.74
1501214362 660.757 -1248.45 570.181 -1184.44 -286.46 -1808.61 33.1795 -1571.72
1501214364 661.051 -1248.42 569.845 -1184.02 -286.129 -1808.77 33.339 -1571.82
1501214365 661.054 -1248.45 569.761 -1184.13 -286 -1808.74 33.4282 -1571.98
1501214378 700.358 -1248.39 529.096 -1184.25 -244.883 -1808.4 -6.94952 -1571.8
1501214380 700.256 -1248.37 528.67 -1184.03 -244.73 -1808.3 -7.40566 -1572.07
1501214381 700.264 -1248.36 528.459 -1184.18 -244.628 -1808.42 -7.61003 -1572.15
1501214383 700.392 -1248.23 528.506 -1184.34 -244.839 -1808.49 -7.64511 -1572.13
1501214384 700.208 -1248.23 528.411 -1184.21 -244.872 -1808.41 -7.73592 -1572.02
1501214386 699.931 -1248.22 528.522 -1183.83 -245.151 -1808.4 -7.76564 -1571.8
1501214387 699.782 -1248.41 528.773 -1184.03 -245.194 -1808.39 -7.91318 -1571.76
1501214400 741.401 -1248.65 486.611 -1184.19 -202.379 -1808.08 -48.8745 -1571.9
1501214402 741.479 -1248.67 487.091 -1184 -202.513 -1808.18 -48.9303 -1571.89
1501214403 741.151 -1248.55 487.39 -1184.19 -202.706 -1808.13 -48.8517 -1571.65
1501214404 741.116 -1248.64 487.425 -1184.2 -202.82 -1807.97 -48.7272 -1571.62
1501214406 741.054 -1248.54 487.399 -1183.89 -202.916 -1808.12 -48.584 -1571.9
1501214407 741.167 -1248.52 487.382 -1183.82 -202.838 -1808.13 -48.7522 -1571.97
1501214409 741.056 -1248.52 487.031 -1184.22 -202.668 -1808.05 -48.8458 -1571.9
1501214422 782.136 -1248.45 444.91 -1183.94 -160.391 -1807.57 -90.684 -1571.72
1501214423 782.225 -1248.58 444.832 -1184.06 -160.161 -1807.66 -90.7134 -1571.8
1501214425 782.248 -1248.52 444.481 -1184.37 -160.048 -1807.74 -90.7117 -1571.75
1501214426 782.278 -1248.59 444.433 -1184.03 -159.992 -1807.72 -90.7845 -1571.81
1501214428 782.262 -1248.58 444.574 -1184.06 -160.046 -1807.73 -91.0307 -1571.79
1501214429 782.322 -1248.72 444.518 -1184.23 -159.985 -1807.63 -91.0236 -1571.6
1501214431 782.015 -1248.68 444.901 -1184.21 -160.449 -1807.6 -90.7634 -1571.45
1501214444 822.987 -1248.7 403.892 -1184.09 -119.139 -1807.22 -131.247 -1571.55
1501214445 822.898 -1248.67 404.18 -1184.2 -119.235 -1807.23 -131.188 -1571.46
1501214447 822.801 -1248.88 404.226 -1183.8 -119.232 -1807.19 -131.218 -1571.59
1501214448 822.92 -1248.72 404.412 -1183.71 -119.092 -1807.21 -131.063 -1571.59
1501214450 822.795 -1248.71 404.406 -1184.11 -119.133 -1807.36 -130.795 -1571.45
1501214451 823.028 -1248.79 404.28 -1184.05 -119.061 -1807.36 -130.907 -1571.43
1501214453 823.197 -1248.75 404.125 -1183.92 -118.927 -1807.35 -130.97 -1571.46
1501214466 863.394 -1248.81 362.951 -1184.17 -78.1751 -1807.07 -171.01 -1571.29
1501214467 863.446 -1248.72 363.016 -1184.24 -78.0983 -1807.09 -170.987 -1571.22
1501214469 863.501 -1248.79 362.582 -1184.07 -78.114 -1807.07 -170.929 -1571.47
1501214470 863.518 -1248.75 362.422 -1184.15 -78.1508 -1807.07 -171.102 -1571.71
1501214471 863.63 -1248.75 362.443 -1184.24 -78.1971 -1807.08 -171.165 -1571.72
1501214473 863.691 -1248.77 362.627 -1184.37 -78.0959 -1806.96 -171.308 -1571.57
1501214474 863.59 -1248.85 362.822 -1184.02 -78.233 -1807.06 -171.27 -1571.54
1501214530 741.051 -1372.67 484.01 -1060.14 -201.82 -1927.48 -49.0781 -1449.52
1501214531 740.948 -1372.69 484.066 -1060.08 -201.906 -1927.48 -49.1119 -1449.56
1501214533 740.884 -1372.8 484.073 -1059.92 -202.048 -1927.56 -49.2759 -1449.44
1501214534 740.88 -1372.76 484.044 -1059.96 -201.999 -1927.47 -49.4179 -1449.44
1501214536 740.816 -1372.79 484.108 -1060.18 -201.992 -1927.41 -49.5213 -1449.34
1501214537 740.812 -1372.83 484.114 -1059.85 -202.103 -1927.52 -49.359 -1449.41
1501214539 740.829 -1372.74 484.061 -1059.93 -202.003 -1927.62 -49.2383 -1449.44
1501214552 741.631 -1332 485.042 -1099.99 -202.557 -1890.14 -50.0728 -1489.24
1501214553 741.763 -1331.92 485.014 -1099.72 -202.695 -1890.23 -49.7964 -1489.35
1501214555 741.622 -1331.96 484.937 -1099.86 -202.625 -1890.12 -49.736 -1489.32
1501214556 741.656 -1331.91 484.801 -1100.16 -202.275 -1889.97 -49.8144 -1489.28
1501214557 741.569 -1331.91 484.78 -1099.96 -202.373 -1890.07 -49.687 -1489.35
1501214559 741.902 -1331.85 484.803 -1099.94 -202.409 -1890.16 -49.9387 -1489.36
1501214560 741.827 -1331.88 484.82 -1100.05 -202.34 -1889.99 -50.1364 -1489.15
