fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,atlas_totInst,nominal_separation_plane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,totsize,publishnnb,datasourceid,algoid,channelid,payloadtype,bstar5,xingHmurad
6381,306553,496,36,1510482171,568,1,3,3,32,ACQUIRING,CROSSING,2,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3410.20825195,-1273.17138672,1309.16699219,524.149047852,LHC.BPM.1R5.B1_D,3530.56469727,-1611.05615234,1352.13684082,701.957214355,LHC.BPM.1L5.B2_D,4011.19433594,-1167.19970703,1572.55517578,441.763458252,LHC.BPM.1R5.B2_D,-4030.51196289,-1794.50671387,1551.98596191,666.033691406,266,4,2,0,0,11,311,170
6381,306553,496,40,1510482172,980,1,3,3,32,ACQUIRING,CROSSING,1,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3410.49536133,-1273.14831543,1372.67272949,477.449401855,LHC.BPM.1R5.B1_D,3529.79541016,-1611.02648926,1428.12658691,567.166564941,LHC.BPM.1L5.B2_D,4011.09399414,-1169.4979248,1580.26184082,477.65838623,LHC.BPM.1R5.B2_D,-4031.03588867,-1792.65380859,1619.9798584,746.452880859,266,4,2,0,0,11,311,170
6381,306553,496,44,1510482174,493,1,4,3,32,ACQUIRING,CROSSING,69,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3409.86254883,-1273.25793457,1372.53295898,477.503143311,LHC.BPM.1R5.B1_D,3529.4543457,-1611.0168457,1428.25891113,567.160705566,LHC.BPM.1L5.B2_D,4010.81616211,-1162.51916504,1580.36425781,475.238922119,LHC.BPM.1R5.B2_D,-4030.7121582,-1798.0567627,1619.99560547,748.206665039,266,4,2,0,0,11,311,170
6381,306553,496,48,1510482175,905,1,4,3,32,ACQUIRING,CROSSING,68,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3410.02148438,-1273.31567383,1308.93432617,524.226928711,LHC.BPM.1R5.B1_D,3529.6784668,-1610.97912598,1351.91271973,701.925231934,LHC.BPM.1L5.B2_D,4011.33007812,-1165.62902832,1572.63562012,441.142150879,LHC.BPM.1R5.B2_D,-4031.18652344,-1795.69226074,1552.09228516,666.675109863,266,4,2,0,0,11,311,170
6381,306553,496,52,1510482177,419,1,4,3,32,ACQUIRING,CROSSING,67,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3410.75537109,-1273.31677246,1309.27148438,524.225585938,LHC.BPM.1R5.B1_D,3530.31445312,-1610.88891602,1352.05895996,701.915466309,LHC.BPM.1L5.B2_D,4011.17895508,-1167.65625,1572.52819824,439.578094482,LHC.BPM.1R5.B2_D,-4031.25,-1794.13061523,1552.08190918,667.960144043,266,4,2,0,0,11,311,170
6381,306553,496,56,1510482178,831,1,4,3,32,ACQUIRING,CROSSING,65,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3410.7956543,-1273.35473633,1372.80603027,477.535644531,LHC.BPM.1R5.B1_D,3530.15161133,-1610.91503906,1428.48718262,567.119567871,LHC.BPM.1L5.B2_D,4011.27539062,-1163.03662109,1580.42883301,474.765777588,LHC.BPM.1R5.B2_D,-4031.2109375,-1797.75219727,1620.02539062,748.543273926,266,4,2,0,0,11,311,170
6381,306553,496,60,1510482180,246,1,4,3,32,ACQUIRING,CROSSING,64,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3410.60839844,-1273.23803711,1372.90649414,477.512756348,LHC.BPM.1R5.B1_D,3530.12329102,-1611.00317383,1428.60205078,567.149963379,LHC.BPM.1L5.B2_D,4011.48608398,-1168.91491699,1580.45605469,478.45803833,LHC.BPM.1R5.B2_D,-4031.37719727,-1793.12316895,1620.15722656,745.631896973,266,4,2,0,0,11,311,170
6381,306553,496,64,1510482181,760,1,4,3,32,ACQUIRING,CROSSING,62,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3411.01367188,-1273.15002441,1309.34277344,524.086669922,LHC.BPM.1R5.B1_D,3530.46777344,-1611.11413574,1352.1920166,702.04107666,LHC.BPM.1L5.B2_D,4011.18994141,-1168.17480469,1572.43505859,439.927001953,LHC.BPM.1R5.B2_D,-4031.23803711,-1793.62329102,1551.96496582,667.617797852,266,4,2,0,0,11,311,170
6381,306553,497,4,1510482183,174,1,4,3,32,ACQUIRING,CROSSING,61,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3410.84570312,-1273.49768066,1309.30859375,524.295349121,LHC.BPM.1R5.B1_D,3530.34301758,-1610.84082031,1352.14831543,701.861877441,LHC.BPM.1L5.B2_D,4011.52612305,-1164.27697754,1572.67236328,440.503997803,LHC.BPM.1R5.B2_D,-4031.42114258,-1796.9420166,1552.1776123,667.292602539,266,4,2,0,0,11,311,170
6381,306553,497,8,1510482184,687,1,4,3,32,ACQUIRING,CROSSING,59,-0.0893137305975,0.00224066292867,-0.135048002005,-0.00224066292867,-0.0946158841252,0.0,-0.159488797188,0.0,-0.0701750740409,0,CROSSING,LHC.BPM.1L5.B1_D,-3410.51879883,-1273.42297363,1372.54931641,477.519378662,LHC.BPM.1R5.B1_D,3530.07739258,-1610.8927002,1428.33874512,567.155639648,LHC.BPM.1L5.B2_D,4011.86743164,-1168.71716309,1580.74914551,478.306915283,LHC.BPM.1R5.B2_D,-4031.64160156,-1793.3807373,1620.26367188,745.768188477,266,4,2,0,0,11,311,170
