fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst,nominal_separation_plane,bstar5,ip5xingHmurad
7485,327489,822,56,1543550909,281,1,1,3,2,ACQUIRING,MIXED,9,-0.0561989,0.0302144,-0.19061,-0.0302144,0.19061,0,-0.0280995,-0,0.0280995,LHC.BPM.1L5.B1_DOROS,-2952.48,-1650.99,1172.24,709.232,LHC.BPM.1R5.B1_DOROS,3429.81,-1708.99,1419.61,616.479,LHC.BPM.1L5.B2_DOROS,4036.44,-1427.8,1670.79,629.172,LHC.BPM.1R5.B2_DOROS,-3736.19,-1873.28,1550.55,820.474,0.000178,CROSSING,50,160
7485,327489,822,60,1543550910,693,1,1,3,2,ACQUIRING,MIXED,8,-0.0561989,0.0302144,-0.19061,-0.0302144,0.19061,0,-0.0280995,-0,0.0280995,LHC.BPM.1L5.B1_DOROS,-2951.35,-1650.75,1222.54,631.478,LHC.BPM.1R5.B1_DOROS,3428.52,-1709.14,1367.78,774.25,LHC.BPM.1L5.B2_DOROS,4038.73,-1426.87,1639.2,542.301,LHC.BPM.1R5.B2_DOROS,-3738.42,-1873.95,1494.2,710.152,0.000177573,CROSSING,50,160
7485,327489,822,64,1543550912,205,1,1,3,2,ACQUIRING,MIXED,6,-0.0561989,0.0302144,-0.19061,-0.0302144,0.19061,0,-0.0280995,-0,0.0280995,LHC.BPM.1L5.B1_DOROS,-2946.78,-1650.32,1221.07,631.215,LHC.BPM.1R5.B1_DOROS,3423.89,-1709.69,1366.28,774.527,LHC.BPM.1L5.B2_DOROS,4042.3,-1426.84,1639.86,542.674,LHC.BPM.1R5.B2_DOROS,-3741.96,-1873.96,1494.97,709.881,0.000177573,CROSSING,50,160
7485,327489,823,4,1543550913,624,1,1,3,2,ACQUIRING,MIXED,5,-0.0561989,0.0302144,-0.19061,-0.0302144,0.19061,0,-0.0280995,-0,0.0280995,LHC.BPM.1L5.B1_DOROS,-2945.82,-1650.2,1169.22,709.051,LHC.BPM.1R5.B1_DOROS,3422.85,-1709.81,1416.51,616.752,LHC.BPM.1L5.B2_DOROS,4042.8,-1427.55,1673.49,629.374,LHC.BPM.1R5.B2_DOROS,-3742.35,-1873.23,1553.02,820.184,0.000181303,CROSSING,50,160
7485,327489,823,8,1543550915,36,1,1,3,2,ACQUIRING,MIXED,3,-0.0561989,0.0302144,-0.19061,-0.0302144,0.19061,0,-0.0280995,-0,0.0280995,LHC.BPM.1L5.B1_DOROS,-2946.1,-1650.51,1221.3,631.465,LHC.BPM.1R5.B1_DOROS,3423,-1709.5,1366.41,774.279,LHC.BPM.1L5.B2_DOROS,4042.38,-1427.67,1639.51,542.771,LHC.BPM.1R5.B2_DOROS,-3742.13,-1873.18,1494.79,709.838,0.000178712,CROSSING,50,160
7485,327489,823,12,1543550916,549,1,1,3,2,ACQUIRING,MIXED,2,-0.0561989,0.0302144,-0.19061,-0.0302144,0.19061,0,-0.0280995,-0,0.0280995,LHC.BPM.1L5.B1_DOROS,-2947.76,-1650.92,1222.15,631.491,LHC.BPM.1R5.B1_DOROS,3424.87,-1709.03,1367.28,774.323,LHC.BPM.1L5.B2_DOROS,4039.39,-1427.15,1638.48,542.417,LHC.BPM.1R5.B2_DOROS,-3739.17,-1873.69,1493.78,710.196,0.000181541,CROSSING,50,160
7485,327489,823,16,1543550917,962,1,1,3,2,ACQUIRING,MIXED,1,-0.0561989,0.0302144,-0.19061,-0.0302144,0.19061,0,-0.0280995,-0,0.0280995,LHC.BPM.1L5.B1_DOROS,-2948.82,-1650.54,1170.59,709.059,LHC.BPM.1R5.B1_DOROS,3425.89,-1709.42,1417.99,616.649,LHC.BPM.1L5.B2_DOROS,4038.7,-1427.12,1671.53,629.273,LHC.BPM.1R5.B2_DOROS,-3738.29,-1873.68,1550.91,820.233,0.000181541,CROSSING,50,160
7485,327489,823,40,1543550926,744,1,3,3,2,ACQUIRING,MIXED,9,-0.0421492,0.0302144,-0.183585,-0.0302144,0.183585,0,-0.0210746,-0,0.0210746,LHC.BPM.1L5.B1_DOROS,-2947.25,-1649.2,1221.43,630.772,LHC.BPM.1R5.B1_DOROS,3424.27,-1710.78,1366.51,775.007,LHC.BPM.1L5.B2_DOROS,4040.3,-1427.28,1639.03,542.607,LHC.BPM.1R5.B2_DOROS,-3740.14,-1873.49,1494.32,709.983,0.000356891,CROSSING,50,160
7485,327489,823,44,1543550928,161,1,3,3,2,ACQUIRING,MIXED,8,-0.0421492,0.0302144,-0.183585,-0.0302144,0.183585,0,-0.0210746,-0,0.0210746,LHC.BPM.1L5.B1_DOROS,-2946.6,-1648.31,1221.21,630.674,LHC.BPM.1R5.B1_DOROS,3423.77,-1711.63,1366.36,775.179,LHC.BPM.1L5.B2_DOROS,4038.8,-1427.71,1638.27,542.844,LHC.BPM.1R5.B2_DOROS,-3738.52,-1872.9,1493.48,709.715,0.000356891,CROSSING,50,160
7485,327489,823,48,1543550929,676,1,3,3,2,ACQUIRING,MIXED,6,-0.0421492,0.0302144,-0.183585,-0.0302144,0.183585,0,-0.0210746,-0,0.0210746,LHC.BPM.1L5.B1_DOROS,-2946.79,-1648.51,1169.93,708.252,LHC.BPM.1R5.B1_DOROS,3424.06,-1711.42,1417.48,617.445,LHC.BPM.1L5.B2_DOROS,4037.31,-1427.93,1670.65,629.529,LHC.BPM.1R5.B2_DOROS,-3737.1,-1872.76,1550.29,819.979,0.000360709,CROSSING,50,160
7485,327489,823,52,1543550931,89,1,3,3,2,ACQUIRING,MIXED,5,-0.0421492,0.0302144,-0.183585,-0.0302144,0.183585,0,-0.0210746,-0,0.0210746,LHC.BPM.1L5.B1_DOROS,-2946.77,-1648.43,1169.6,708.264,LHC.BPM.1R5.B1_DOROS,3424.04,-1711.54,1417.11,617.472,LHC.BPM.1L5.B2_DOROS,4034.6,-1427.29,1670.11,629.199,LHC.BPM.1R5.B2_DOROS,-3734.33,-1873.67,1549.9,820.355,0.000349981,CROSSING,50,160
7485,327489,823,56,1543550932,519,1,3,3,2,ACQUIRING,MIXED,4,-0.0421492,0.0302144,-0.183585,-0.0302144,0.183585,0,-0.0210746,-0,0.0210746,LHC.BPM.1L5.B1_DOROS,-2946.29,-1648.05,1221.14,630.292,LHC.BPM.1R5.B1_DOROS,3423.56,-1711.95,1366.33,775.59,LHC.BPM.1L5.B2_DOROS,4034.01,-1427.26,1636.09,542.622,LHC.BPM.1R5.B2_DOROS,-3733.63,-1873.52,1491.04,709.96,0.000349981,CROSSING,50,160
7485,327489,823,60,1543550934,38,1,3,3,2,ACQUIRING,MIXED,2,-0.0421492,0.0302144,-0.183585,-0.0302144,0.183585,0,-0.0210746,-0,0.0210746,LHC.BPM.1L5.B1_DOROS,-2945.23,-1647.78,1168.73,708.05,LHC.BPM.1R5.B1_DOROS,3422.61,-1712.22,1416.35,617.699,LHC.BPM.1L5.B2_DOROS,4033.39,-1427.21,1669.6,629.153,LHC.BPM.1R5.B2_DOROS,-3733.01,-1873.63,1549.4,820.442,0.000351658,CROSSING,50,160
7485,327489,823,64,1543550935,453,1,3,3,2,ACQUIRING,MIXED,1,-0.0421492,0.0302144,-0.183585,-0.0302144,0.183585,0,-0.0210746,-0,0.0210746,LHC.BPM.1L5.B1_DOROS,-2943.6,-1647.68,1168.11,707.973,LHC.BPM.1R5.B1_DOROS,3421.14,-1712.27,1415.75,617.685,LHC.BPM.1L5.B2_DOROS,4034.17,-1427.07,1670.14,629.321,LHC.BPM.1R5.B2_DOROS,-3733.7,-1873.48,1549.92,820.114,0.000351658,CROSSING,50,160
7485,327489,824,24,1543550944,243,1,5,3,2,ACQUIRING,MIXED,9,-0.0280995,0.0302144,-0.17656,-0.0302144,0.17656,0,-0.0140497,-0,0.0140497,LHC.BPM.1L5.B1_DOROS,-2942.11,-1647.06,1219.59,630.16,LHC.BPM.1R5.B1_DOROS,3419.74,-1713.03,1364.93,775.841,LHC.BPM.1L5.B2_DOROS,4032.75,-1426.92,1635.65,542.441,LHC.BPM.1R5.B2_DOROS,-3732.31,-1873.72,1490.86,710.331,0.000567869,CROSSING,50,160
7485,327489,824,28,1543550945,656,1,5,3,2,ACQUIRING,MIXED,8,-0.0280995,0.0302144,-0.17656,-0.0302144,0.17656,0,-0.0140497,-0,0.0140497,LHC.BPM.1L5.B1_DOROS,-2942.9,-1647.32,1168.45,707.83,LHC.BPM.1R5.B1_DOROS,3420.67,-1712.72,1416.24,617.864,LHC.BPM.1L5.B2_DOROS,4031.72,-1426.52,1668.74,628.787,LHC.BPM.1R5.B2_DOROS,-3731.16,-1874.12,1548.13,820.49,0.000565809,CROSSING,50,160
