fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst,nominal_separation_plane,bstar5,ip5xingHmurad
6719,316876,69,60,1527204671,918,1,1,3,32,ACQUIRING,MIXED,10,-0.0446053,-0.00032898,0.0689895,0.00032898,-0.0689895,0,-0.0223027,-0,0.0223027,LHC.BPM.1L5.B1_DOROS,-3066.89,-1457.16,1241.85,555.771,LHC.BPM.1R5.B1_DOROS,3595.87,-1990.82,1463.25,725.144,LHC.BPM.1L5.B2_DOROS,4051.92,-1544.35,1601.97,591.995,LHC.BPM.1R5.B2_DOROS,-3628.46,-1947.69,1394.32,731.242,19287.4,CROSSING,30,160
6719,316876,69,64,1527204673,332,1,1,3,32,ACQUIRING,MIXED,9,-0.0446053,-0.00032898,0.0689895,0.00032898,-0.0689895,0,-0.0223027,-0,0.0223027,LHC.BPM.1L5.B1_DOROS,-3067.83,-1457.31,1242.2,555.866,LHC.BPM.1R5.B1_DOROS,3596.81,-1990.68,1463.64,725.044,LHC.BPM.1L5.B2_DOROS,4049.85,-1543.68,1601.24,591.755,LHC.BPM.1R5.B2_DOROS,-3626.42,-1948.39,1393.57,731.493,19287.4,CROSSING,30,160
6719,316876,70,4,1527204674,859,1,1,3,32,ACQUIRING,MIXED,7,-0.0446053,-0.00032898,0.0689895,0.00032898,-0.0689895,0,-0.0223027,-0,0.0223027,LHC.BPM.1L5.B1_DOROS,-3068.33,-1457.23,1177.63,593.776,LHC.BPM.1R5.B1_DOROS,3596.85,-1990.95,1377.83,848.131,LHC.BPM.1L5.B2_DOROS,4049.62,-1543.38,1608.89,632.231,LHC.BPM.1R5.B2_DOROS,-3626.06,-1948.43,1468.75,809.144,19268,CROSSING,30,160
6719,316876,70,8,1527204676,274,1,1,3,32,ACQUIRING,MIXED,6,-0.0446053,-0.00032898,0.0689895,0.00032898,-0.0689895,0,-0.0223027,-0,0.0223027,LHC.BPM.1L5.B1_DOROS,-3068.54,-1456.79,1177.59,593.851,LHC.BPM.1R5.B1_DOROS,3597.71,-1991.29,1378.3,847.986,LHC.BPM.1L5.B2_DOROS,4049.47,-1543.73,1608.87,632.331,LHC.BPM.1R5.B2_DOROS,-3626.19,-1948.27,1468.87,809.105,19268,CROSSING,30,160
6719,316876,70,12,1527204677,687,1,1,3,32,ACQUIRING,MIXED,4,-0.0446053,-0.00032898,0.0689895,0.00032898,-0.0689895,0,-0.0223027,-0,0.0223027,LHC.BPM.1L5.B1_DOROS,-3068.12,-1456.81,1242.08,555.46,LHC.BPM.1R5.B1_DOROS,3597.18,-1991.13,1463.43,725.342,LHC.BPM.1L5.B2_DOROS,4049.49,-1543.75,1601.16,591.952,LHC.BPM.1R5.B2_DOROS,-3626.08,-1948.2,1393.47,731.352,19269,CROSSING,30,160
6719,316876,70,16,1527204679,200,1,1,3,32,ACQUIRING,MIXED,3,-0.0446053,-0.00032898,0.0689895,0.00032898,-0.0689895,0,-0.0223027,-0,0.0223027,LHC.BPM.1L5.B1_DOROS,-3067.61,-1456.95,1241.84,555.504,LHC.BPM.1R5.B1_DOROS,3596.73,-1991.01,1463.26,725.307,LHC.BPM.1L5.B2_DOROS,4049.13,-1543.86,1600.95,591.857,LHC.BPM.1R5.B2_DOROS,-3625.75,-1948.08,1393.31,731.353,19256.5,CROSSING,30,160
6719,316876,70,20,1527204680,615,1,1,3,32,ACQUIRING,MIXED,1,-0.0446053,-0.00032898,0.0689895,0.00032898,-0.0689895,0,-0.0223027,-0,0.0223027,LHC.BPM.1L5.B1_DOROS,-3067.72,-1457.23,1177.52,594.138,LHC.BPM.1R5.B1_DOROS,3596.18,-1990.89,1377.69,847.833,LHC.BPM.1L5.B2_DOROS,4048.76,-1543.36,1608.5,632.117,LHC.BPM.1R5.B2_DOROS,-3625.28,-1948.39,1468.4,809.255,19255,CROSSING,30,160
6719,316876,70,40,1527204687,881,1,3,3,32,ACQUIRING,MIXED,10,-0.033454,-0.00032898,0.0745651,0.00032898,-0.0745651,0,-0.016727,-0,0.016727,LHC.BPM.1L5.B1_DOROS,-3063.32,-1456.77,1239.75,555.17,LHC.BPM.1R5.B1_DOROS,3600.49,-1992.25,1464.83,725.902,LHC.BPM.1L5.B2_DOROS,4037.87,-1542.75,1596.93,591.573,LHC.BPM.1R5.B2_DOROS,-3621.95,-1948.16,1391.83,731.548,19265.7,CROSSING,30,160
6719,316876,70,44,1527204689,394,1,3,3,32,ACQUIRING,MIXED,8,-0.033454,-0.00032898,0.0745651,0.00032898,-0.0745651,0,-0.016727,-0,0.016727,LHC.BPM.1L5.B1_DOROS,-3064.7,-1456.7,1240.65,555.19,LHC.BPM.1R5.B1_DOROS,3601.82,-1992.33,1465.7,725.965,LHC.BPM.1L5.B2_DOROS,4037.65,-1543.03,1596.82,591.791,LHC.BPM.1R5.B2_DOROS,-3621.97,-1947.94,1391.84,731.245,19265.7,CROSSING,30,160
6719,316876,70,48,1527204690,808,1,3,3,32,ACQUIRING,MIXED,7,-0.033454,-0.00032898,0.0745651,0.00032898,-0.0745651,0,-0.016727,-0,0.016727,LHC.BPM.1L5.B1_DOROS,-3064.71,-1456.29,1176.35,593.72,LHC.BPM.1R5.B1_DOROS,3602.36,-1992.56,1380.15,848.496,LHC.BPM.1L5.B2_DOROS,4037.6,-1543.47,1603.79,632.265,LHC.BPM.1R5.B2_DOROS,-3621.77,-1947.71,1467.09,808.828,19270.9,CROSSING,30,160
