fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst,nominal_separation_plane,bstar5,ip5xingHmurad
6574,314649,72,32,1524084178,371,1,1,3,2,ACQUIRING,MIXED,10,-0.0430916,-0.00711593,-0.137211,0.00711593,0.137211,0,-0.0215458,-0,0.0215458,LHC.BPM.1L5.B1_DOROS,-3053.88,-1535.06,1162.88,631.82,LHC.BPM.1R5.B1_DOROS,3731.17,-1959.53,1437.65,847.49,LHC.BPM.1L5.B2_DOROS,4042.65,-1498.18,1601.01,614.84,LHC.BPM.1R5.B2_DOROS,-3728.9,-2051.32,1492.89,848.529,0,CROSSING,30,160
6574,314649,72,36,1524084179,784,1,1,3,2,ACQUIRING,MIXED,9,-0.0430916,-0.00711593,-0.137211,0.00711593,0.137211,0,-0.0215458,-0,0.0215458,LHC.BPM.1L5.B1_DOROS,-3053.28,-1535.68,1236.96,575.514,LHC.BPM.1R5.B1_DOROS,3730.43,-1959.14,1500.08,695.485,LHC.BPM.1L5.B2_DOROS,4043.27,-1498.18,1585.92,566.234,LHC.BPM.1R5.B2_DOROS,-3729.39,-2051.23,1437.83,765.003,0,CROSSING,30,160
6574,314649,72,40,1524084181,297,1,1,3,2,ACQUIRING,MIXED,7,-0.0430916,-0.00711593,-0.137211,0.00711593,0.137211,0,-0.0215458,-0,0.0215458,LHC.BPM.1L5.B1_DOROS,-3053.98,-1535.21,1237.38,575.309,LHC.BPM.1R5.B1_DOROS,3731.14,-1959.26,1500.57,695.707,LHC.BPM.1L5.B2_DOROS,4044.72,-1497.56,1586.67,565.96,LHC.BPM.1R5.B2_DOROS,-3730.87,-2051.77,1438.46,765.066,0,CROSSING,30,160
6574,314649,72,44,1524084182,709,1,1,3,2,ACQUIRING,MIXED,6,-0.0430916,-0.00711593,-0.137211,0.00711593,0.137211,0,-0.0215458,-0,0.0215458,LHC.BPM.1L5.B1_DOROS,-3053.32,-1534.89,1162.48,631.41,LHC.BPM.1R5.B1_DOROS,3730.66,-1959.74,1437.33,847.748,LHC.BPM.1L5.B2_DOROS,4044.7,-1497.51,1601.39,614.587,LHC.BPM.1R5.B2_DOROS,-3730.78,-2051.9,1493.37,848.993,0,CROSSING,30,160
6574,314649,72,48,1524084184,225,1,1,3,2,ACQUIRING,MIXED,4,-0.0430916,-0.00711593,-0.137211,0.00711593,0.137211,0,-0.0215458,-0,0.0215458,LHC.BPM.1L5.B1_DOROS,-3052.36,-1535.49,1162.05,631.961,LHC.BPM.1R5.B1_DOROS,3729.47,-1959.05,1436.84,847.227,LHC.BPM.1L5.B2_DOROS,4046.41,-1497.95,1602.46,614.532,LHC.BPM.1R5.B2_DOROS,-3732.51,-2051.48,1494.4,848.98,0,CROSSING,30,160
6574,314649,72,52,1524084185,639,1,1,3,2,ACQUIRING,MIXED,3,-0.0430916,-0.00711593,-0.137211,0.00711593,0.137211,0,-0.0215458,-0,0.0215458,LHC.BPM.1L5.B1_DOROS,-3051.51,-1535.51,1236.4,575.246,LHC.BPM.1R5.B1_DOROS,3728.59,-1958.97,1499.44,695.62,LHC.BPM.1L5.B2_DOROS,4047.05,-1497.66,1587.46,566.132,LHC.BPM.1R5.B2_DOROS,-3733.29,-2051.81,1439.41,765.013,0,CROSSING,30,160
6574,314649,72,56,1524084187,152,1,1,3,2,ACQUIRING,MIXED,1,-0.0430916,-0.00711593,-0.137211,0.00711593,0.137211,0,-0.0215458,-0,0.0215458,LHC.BPM.1L5.B1_DOROS,-3051.88,-1533.98,1236.46,574.854,LHC.BPM.1R5.B1_DOROS,3728.92,-1960.57,1499.52,695.998,LHC.BPM.1L5.B2_DOROS,4045.16,-1497.35,1586.28,565.672,LHC.BPM.1R5.B2_DOROS,-3731.34,-2052.13,1438.26,765.527,0,CROSSING,30,160
6574,314649,73,16,1524084195,831,1,3,3,2,ACQUIRING,MIXED,10,-0.0323187,-0.00711593,-0.131824,0.00711593,0.131824,0,-0.0161594,-0,0.0161594,LHC.BPM.1L5.B1_DOROS,-3049.09,-1531.08,1235.51,573.731,LHC.BPM.1R5.B1_DOROS,3726.19,-1963.51,1498.71,697.08,LHC.BPM.1L5.B2_DOROS,4040.37,-1498.65,1585.02,566.492,LHC.BPM.1R5.B2_DOROS,-3726.57,-2050.77,1436.72,764.682,0,CROSSING,30,160
6574,314649,73,20,1524084197,344,1,3,3,2,ACQUIRING,MIXED,9,-0.0323187,-0.00711593,-0.131824,0.00711593,0.131824,0,-0.0161594,-0,0.0161594,LHC.BPM.1L5.B1_DOROS,-3050.02,-1530.86,1236,573.315,LHC.BPM.1R5.B1_DOROS,3727.05,-1963.73,1499.23,697.536,LHC.BPM.1L5.B2_DOROS,4040.41,-1498.34,1584.62,566.521,LHC.BPM.1R5.B2_DOROS,-3726.86,-2051.24,1436.44,764.642,0,CROSSING,30,160
6574,314649,73,24,1524084198,756,1,3,3,2,ACQUIRING,MIXED,7,-0.0323187,-0.00711593,-0.131824,0.00711593,0.131824,0,-0.0161594,-0,0.0161594,LHC.BPM.1L5.B1_DOROS,-3049.91,-1530.24,1161.19,629.75,LHC.BPM.1R5.B1_DOROS,3727.05,-1964.33,1435.86,849.533,LHC.BPM.1L5.B2_DOROS,4041.34,-1498.49,1600.8,614.807,LHC.BPM.1R5.B2_DOROS,-3727.76,-2050.81,1493.02,848.566,0,CROSSING,30,160
