fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst,nominal_separation_plane,bstar5,ip5xingHmurad
7457,326965,9,28,1542732900,123,1,1,3,2,ACQUIRING,MIXED,10,-0.0561984,0.0265017,-0.175033,-0.0265017,0.175033,0,-0.0280992,-0,0.0280992,LHC.BPM.1L5.B1_DOROS,-2823.69,-1352.43,1133.52,494.456,LHC.BPM.1R5.B1_DOROS,3537.83,-1809.12,1369.16,794.513,LHC.BPM.1L5.B2_DOROS,4081.5,-1392.91,1598.43,509.645,LHC.BPM.1R5.B2_DOROS,-3745,-1906.11,1458.82,705.977,0,CROSSING,50,160
7457,326965,9,32,1542732901,636,1,1,3,2,ACQUIRING,MIXED,9,-0.0561984,0.0265017,-0.175033,-0.0265017,0.175033,0,-0.0280992,-0,0.0280992,LHC.BPM.1L5.B1_DOROS,-2823.67,-1352.22,1089.14,570.506,LHC.BPM.1R5.B1_DOROS,3537.75,-1809.41,1422.97,634.061,LHC.BPM.1L5.B2_DOROS,4081.73,-1393.07,1630.72,593.219,LHC.BPM.1R5.B2_DOROS,-3745.3,-1905.83,1507.53,805.8,0.000166474,CROSSING,50,160
7457,326965,9,36,1542732903,47,1,1,3,2,ACQUIRING,MIXED,8,-0.0561984,0.0265017,-0.175033,-0.0265017,0.175033,0,-0.0280992,-0,0.0280992,LHC.BPM.1L5.B1_DOROS,-2823.96,-1351.84,1133.74,494.156,LHC.BPM.1R5.B1_DOROS,3538.11,-1809.74,1369.44,794.781,LHC.BPM.1L5.B2_DOROS,4081.54,-1393.35,1598.28,509.863,LHC.BPM.1R5.B2_DOROS,-3745.11,-1905.62,1458.68,705.815,0.000167688,CROSSING,50,160
7457,326965,9,40,1542732904,560,1,1,3,2,ACQUIRING,MIXED,6,-0.0561984,0.0265017,-0.175033,-0.0265017,0.175033,0,-0.0280992,-0,0.0280992,LHC.BPM.1L5.B1_DOROS,-2823.92,-1352.25,1133.71,494.387,LHC.BPM.1R5.B1_DOROS,3538.09,-1809.33,1369.54,794.586,LHC.BPM.1L5.B2_DOROS,4081.71,-1393.03,1598.32,509.745,LHC.BPM.1R5.B2_DOROS,-3745.23,-1906.01,1458.71,705.995,0.000170054,CROSSING,50,160
7457,326965,9,44,1542732905,973,1,1,3,2,ACQUIRING,MIXED,5,-0.0561984,0.0265017,-0.175033,-0.0265017,0.175033,0,-0.0280992,-0,0.0280992,LHC.BPM.1L5.B1_DOROS,-2823.92,-1352.33,1089.15,570.671,LHC.BPM.1R5.B1_DOROS,3538.06,-1809.33,1422.85,633.933,LHC.BPM.1L5.B2_DOROS,4081.37,-1393.06,1630.55,593.114,LHC.BPM.1R5.B2_DOROS,-3744.83,-1905.99,1507.28,805.913,0.000170054,CROSSING,50,160
7457,326965,9,48,1542732907,486,1,1,3,2,ACQUIRING,MIXED,3,-0.0561984,0.0265017,-0.175033,-0.0265017,0.175033,0,-0.0280992,-0,0.0280992,LHC.BPM.1L5.B1_DOROS,-2822.96,-1352.06,1089.08,570.347,LHC.BPM.1R5.B1_DOROS,3537.09,-1809.33,1422.82,634.172,LHC.BPM.1L5.B2_DOROS,4081.02,-1393.13,1630.27,593.189,LHC.BPM.1R5.B2_DOROS,-3744.38,-1905.96,1506.82,805.859,0.000169078,CROSSING,50,160
7457,326965,9,52,1542732908,899,1,1,3,2,ACQUIRING,MIXED,2,-0.0561984,0.0265017,-0.175033,-0.0265017,0.175033,0,-0.0280992,-0,0.0280992,LHC.BPM.1L5.B1_DOROS,-2823.2,-1351.96,1133.21,494.423,LHC.BPM.1R5.B1_DOROS,3537.27,-1809.64,1368.92,794.594,LHC.BPM.1L5.B2_DOROS,4081.43,-1393.34,1598.64,509.888,LHC.BPM.1R5.B2_DOROS,-3744.81,-1905.59,1459.13,705.729,0.000169078,CROSSING,50,160
7457,326965,10,12,1542732917,675,1,3,3,2,ACQUIRING,MIXED,10,-0.0421488,0.0265017,-0.168008,-0.0265017,0.168008,0,-0.0210744,-0,0.0210744,LHC.BPM.1L5.B1_DOROS,-2821.59,-1351.29,1088.28,570.152,LHC.BPM.1R5.B1_DOROS,3535.89,-1810.16,1422.23,634.449,LHC.BPM.1L5.B2_DOROS,4078.88,-1391.65,1629.36,592.64,LHC.BPM.1R5.B2_DOROS,-3742.27,-1907.31,1505.93,806.628,0.000166099,CROSSING,50,160
7457,326965,10,16,1542732919,88,1,3,3,2,ACQUIRING,MIXED,9,-0.0421488,0.0265017,-0.168008,-0.0265017,0.168008,0,-0.0210744,-0,0.0210744,LHC.BPM.1L5.B1_DOROS,-2822.24,-1351.27,1088.67,570.189,LHC.BPM.1R5.B1_DOROS,3536.35,-1810.14,1422.5,634.319,LHC.BPM.1L5.B2_DOROS,4078.7,-1391.75,1629.51,592.519,LHC.BPM.1R5.B2_DOROS,-3742.18,-1907.21,1506.09,806.692,0.000345405,CROSSING,50,160
7457,326965,10,20,1542732920,500,1,3,3,2,ACQUIRING,MIXED,8,-0.0421488,0.0265017,-0.168008,-0.0265017,0.168008,0,-0.0210744,-0,0.0210744,LHC.BPM.1L5.B1_DOROS,-2822.57,-1351.47,1133.13,494.188,LHC.BPM.1R5.B1_DOROS,3536.78,-1809.92,1368.88,794.678,LHC.BPM.1L5.B2_DOROS,4078.23,-1391.36,1596.9,508.99,LHC.BPM.1R5.B2_DOROS,-3741.9,-1907.7,1457.59,706.576,0.000345405,CROSSING,50,160
7457,326965,10,24,1542732922,13,1,3,3,2,ACQUIRING,MIXED,6,-0.0421488,0.0265017,-0.168008,-0.0265017,0.168008,0,-0.0210744,-0,0.0210744,LHC.BPM.1L5.B1_DOROS,-2822.02,-1351.72,1088.24,570.393,LHC.BPM.1R5.B1_DOROS,3536.28,-1809.64,1422.11,634.096,LHC.BPM.1L5.B2_DOROS,4078.17,-1391.19,1629.46,592.386,LHC.BPM.1R5.B2_DOROS,-3741.58,-1907.73,1505.84,806.717,0.000354243,CROSSING,50,160
7457,326965,10,28,1542732923,427,1,3,3,2,ACQUIRING,MIXED,5,-0.0421488,0.0265017,-0.168008,-0.0265017,0.168008,0,-0.0210744,-0,0.0210744,LHC.BPM.1L5.B1_DOROS,-2821.36,-1351.6,1088.2,570.351,LHC.BPM.1R5.B1_DOROS,3535.53,-1809.83,1422.07,634.122,LHC.BPM.1L5.B2_DOROS,4079.07,-1391.42,1629.43,592.365,LHC.BPM.1R5.B2_DOROS,-3742.45,-1907.53,1505.75,806.644,0.00035666,CROSSING,50,160
7457,326965,10,32,1542732924,941,1,3,3,2,ACQUIRING,MIXED,3,-0.0421488,0.0265017,-0.168008,-0.0265017,0.168008,0,-0.0210744,-0,0.0210744,LHC.BPM.1L5.B1_DOROS,-2821.54,-1351.78,1132.81,494.281,LHC.BPM.1R5.B1_DOROS,3535.68,-1809.54,1368.45,794.581,LHC.BPM.1L5.B2_DOROS,4078.58,-1391.3,1597.26,509.098,LHC.BPM.1R5.B2_DOROS,-3741.97,-1907.7,1457.99,706.627,0.00035666,CROSSING,50,160
7457,326965,10,36,1542732926,352,1,3,3,2,ACQUIRING,MIXED,2,-0.0421488,0.0265017,-0.168008,-0.0265017,0.168008,0,-0.0210744,-0,0.0210744,LHC.BPM.1L5.B1_DOROS,-2821.62,-1351.9,1132.84,494.368,LHC.BPM.1R5.B1_DOROS,3535.95,-1809.53,1368.61,794.471,LHC.BPM.1L5.B2_DOROS,4078.51,-1391.33,1596.98,509.028,LHC.BPM.1R5.B2_DOROS,-3741.94,-1907.71,1457.66,706.745,0.000352704,CROSSING,50,160
7457,326965,10,60,1542732935,137,1,5,3,2,ACQUIRING,MIXED,10,-0.0280992,0.0265017,-0.160984,-0.0265017,0.160984,0,-0.0140496,-0,0.0140496,LHC.BPM.1L5.B1_DOROS,-2821.7,-1352.47,1088.39,570.744,LHC.BPM.1R5.B1_DOROS,3535.99,-1808.9,1422.16,633.77,LHC.BPM.1L5.B2_DOROS,4076.26,-1391.72,1628.47,592.595,LHC.BPM.1R5.B2_DOROS,-3739.89,-1907.37,1505.02,806.757,0.000503697,CROSSING,50,160
