fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst,nominal_separation_plane,bstar5,ip5xingHmurad
6747,317279,49,36,1527786821,980,1,1,3,32,ACQUIRING,MIXED,9,-0.0446045,0.00136284,0.0665035,-0.00136284,-0.0665035,0,-0.0223023,-0,0.0223023,LHC.BPM.1L5.B1_DOROS,-3053.62,-1403.4,1236.92,534.579,LHC.BPM.1R5.B1_DOROS,3567.89,-2004.92,1452.36,732.711,LHC.BPM.1L5.B2_DOROS,4008.21,-1522.43,1575.99,581.17,LHC.BPM.1R5.B2_DOROS,-3589.21,-1950.7,1379.81,733.229,7574.45,CROSSING,30,160
6747,317279,49,40,1527786823,397,1,1,3,32,ACQUIRING,MIXED,8,-0.0446045,0.00136284,0.0665035,-0.00136284,-0.0665035,0,-0.0223023,-0,0.0223023,LHC.BPM.1L5.B1_DOROS,-3052.75,-1403.3,1236.85,534.727,LHC.BPM.1R5.B1_DOROS,3567.15,-2005.07,1452.27,732.593,LHC.BPM.1L5.B2_DOROS,4007.64,-1523.05,1575.45,581.419,LHC.BPM.1R5.B2_DOROS,-3588.54,-1950.17,1379.36,732.979,7574.45,CROSSING,30,160
6747,317279,49,44,1527786824,911,1,1,3,32,ACQUIRING,MIXED,6,-0.0446045,0.00136284,0.0665035,-0.00136284,-0.0665035,0,-0.0223023,-0,0.0223023,LHC.BPM.1L5.B1_DOROS,-3052.18,-1402.92,1172.59,573.074,LHC.BPM.1R5.B1_DOROS,3566.6,-2005.39,1367.25,853.056,LHC.BPM.1L5.B2_DOROS,4006.59,-1523.12,1584.66,620.417,LHC.BPM.1R5.B2_DOROS,-3587.41,-1950.02,1453.92,809.757,7575.92,CROSSING,30,160
6747,317279,49,48,1527786826,328,1,1,3,32,ACQUIRING,MIXED,5,-0.0446045,0.00136284,0.0665035,-0.00136284,-0.0665035,0,-0.0223023,-0,0.0223023,LHC.BPM.1L5.B1_DOROS,-3052.08,-1402.74,1172.74,573.069,LHC.BPM.1R5.B1_DOROS,3566.47,-2005.37,1367.38,852.906,LHC.BPM.1L5.B2_DOROS,4005.21,-1523.25,1584.11,620.396,LHC.BPM.1R5.B2_DOROS,-3585.98,-1950,1453.25,809.808,7576.91,CROSSING,30,160
6747,317279,49,52,1527786827,843,1,1,3,32,ACQUIRING,MIXED,3,-0.0446045,0.00136284,0.0665035,-0.00136284,-0.0665035,0,-0.0223023,-0,0.0223023,LHC.BPM.1L5.B1_DOROS,-3052.01,-1403.02,1236.57,534.807,LHC.BPM.1R5.B1_DOROS,3566.36,-2005.02,1451.96,732.455,LHC.BPM.1L5.B2_DOROS,4004.47,-1523.29,1574.33,581.573,LHC.BPM.1R5.B2_DOROS,-3585.27,-1950.18,1378.34,733.056,7578.96,CROSSING,30,160
6747,317279,49,56,1527786829,260,1,1,3,32,ACQUIRING,MIXED,2,-0.0446045,0.00136284,0.0665035,-0.00136284,-0.0665035,0,-0.0223023,-0,0.0223023,LHC.BPM.1L5.B1_DOROS,-3051.43,-1403.06,1236.26,534.626,LHC.BPM.1R5.B1_DOROS,3565.92,-2004.92,1451.66,732.549,LHC.BPM.1L5.B2_DOROS,4000.93,-1522.72,1572.95,581.282,LHC.BPM.1R5.B2_DOROS,-3581.88,-1950.63,1377.13,733.281,7578.96,CROSSING,30,160
6747,317279,49,60,1527786830,680,1,1,3,32,ACQUIRING,MIXED,1,-0.0446045,0.00136284,0.0665035,-0.00136284,-0.0665035,0,-0.0223023,-0,0.0223023,LHC.BPM.1L5.B1_DOROS,-3050.92,-1403.11,1172.19,573.325,LHC.BPM.1R5.B1_DOROS,3565.41,-2004.76,1366.94,852.607,LHC.BPM.1L5.B2_DOROS,4000.57,-1522.76,1582.44,620.266,LHC.BPM.1R5.B2_DOROS,-3581.42,-1950.66,1451.43,809.964,7576.04,CROSSING,30,160
6747,317279,50,16,1527786837,954,1,3,3,32,ACQUIRING,MIXED,9,-0.0334534,0.00136284,0.072079,-0.00136284,-0.072079,0,-0.0167267,-0,0.0167267,LHC.BPM.1L5.B1_DOROS,-3045.95,-1402.71,1234.1,534.362,LHC.BPM.1R5.B1_DOROS,3568.72,-2005.84,1452.81,733.113,LHC.BPM.1L5.B2_DOROS,3991.92,-1522.55,1569.43,581.065,LHC.BPM.1R5.B2_DOROS,-3580.79,-1950.12,1376.7,733.09,7571.62,CROSSING,30,160
6747,317279,50,20,1527786839,470,1,3,3,32,ACQUIRING,MIXED,8,-0.0334534,0.00136284,0.072079,-0.00136284,-0.072079,0,-0.0167267,-0,0.0167267,LHC.BPM.1L5.B1_DOROS,-3045.57,-1402.65,1234.21,534.603,LHC.BPM.1R5.B1_DOROS,3568.34,-2005.93,1452.94,732.873,LHC.BPM.1L5.B2_DOROS,3992.32,-1522.13,1569.59,580.735,LHC.BPM.1R5.B2_DOROS,-3580.98,-1950.53,1376.73,733.309,7571.62,CROSSING,30,160
6747,317279,50,24,1527786840,884,1,3,3,32,ACQUIRING,MIXED,6,-0.0334534,0.00136284,0.072079,-0.00136284,-0.072079,0,-0.0167267,-0,0.0167267,LHC.BPM.1L5.B1_DOROS,-3046.45,-1402.23,1170.73,572.67,LHC.BPM.1R5.B1_DOROS,3569.19,-2006.17,1368.66,853.417,LHC.BPM.1L5.B2_DOROS,3991.97,-1521.83,1579.03,620.081,LHC.BPM.1R5.B2_DOROS,-3580.67,-1950.88,1451.27,810.124,7571.47,CROSSING,30,160
