fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst,nominal_separation_plane,bstar5,ip5xingHmurad
7058,321390,770,64,1534482614,500,1,1,3,32,ACQUIRING,MIXED,9,-0.043092,-0.00460104,0.0503816,0.00460104,-0.0503816,0,-0.021546,-0,0.021546,LHC.BPM.1L5.B1_DOROS,-3066.08,-1417.87,1241.85,540.71,LHC.BPM.1R5.B1_DOROS,3562.26,-1952.76,1452.79,712.421,LHC.BPM.1L5.B2_DOROS,4059.64,-1530.42,1595.94,585.291,LHC.BPM.1R5.B2_DOROS,-3675.74,-1892.71,1414.06,710.273,18844,CROSSING,30,160
7058,321390,771,4,1534482615,915,1,1,3,32,ACQUIRING,MIXED,8,-0.043092,-0.00460104,0.0503816,0.00460104,-0.0503816,0,-0.021546,-0,0.021546,LHC.BPM.1L5.B1_DOROS,-3065.74,-1417.76,1179.73,579.543,LHC.BPM.1R5.B1_DOROS,3561.86,-1952.83,1364.76,832.641,LHC.BPM.1L5.B2_DOROS,4059.13,-1530.72,1606.33,622.748,LHC.BPM.1R5.B2_DOROS,-3675.2,-1892.51,1489.06,787.316,18850.8,CROSSING,30,160
7058,321390,771,8,1534482617,428,1,1,3,32,ACQUIRING,MIXED,6,-0.043092,-0.00460104,0.0503816,0.00460104,-0.0503816,0,-0.021546,-0,0.021546,LHC.BPM.1L5.B1_DOROS,-3064.11,-1416.42,1179.02,578.835,LHC.BPM.1R5.B1_DOROS,3560.39,-1954.03,1364.11,833.317,LHC.BPM.1L5.B2_DOROS,4060.37,-1532.44,1607.1,624.099,LHC.BPM.1R5.B2_DOROS,-3676.46,-1890.64,1489.9,785.893,18850.8,CROSSING,30,160
7058,321390,771,12,1534482618,839,1,1,3,32,ACQUIRING,MIXED,5,-0.043092,-0.00460104,0.0503816,0.00460104,-0.0503816,0,-0.021546,-0,0.021546,LHC.BPM.1L5.B1_DOROS,-3062.82,-1415.29,1240.25,539.466,LHC.BPM.1R5.B1_DOROS,3559.06,-1955.13,1451.23,713.568,LHC.BPM.1L5.B2_DOROS,4061.29,-1533.88,1596.88,586.427,LHC.BPM.1R5.B2_DOROS,-3677.27,-1888.93,1414.86,708.852,18845.7,CROSSING,30,160
7058,321390,771,16,1534482620,251,1,1,3,32,ACQUIRING,MIXED,4,-0.043092,-0.00460104,0.0503816,0.00460104,-0.0503816,0,-0.021546,-0,0.021546,LHC.BPM.1L5.B1_DOROS,-3062.41,-1413.39,1240.3,538.769,LHC.BPM.1R5.B1_DOROS,3558.56,-1957.15,1451.31,714.369,LHC.BPM.1L5.B2_DOROS,4062.62,-1532.2,1596.94,585.153,LHC.BPM.1R5.B2_DOROS,-3678.61,-1890.72,1414.9,710.2,18844.3,CROSSING,30,160
7058,321390,771,20,1534482621,763,1,1,3,32,ACQUIRING,MIXED,2,-0.043092,-0.00460104,0.0503816,0.00460104,-0.0503816,0,-0.021546,-0,0.021546,LHC.BPM.1L5.B1_DOROS,-3061.93,-1412.78,1178.28,577.575,LHC.BPM.1R5.B1_DOROS,3558.16,-1957.73,1363.33,834.593,LHC.BPM.1L5.B2_DOROS,4061.86,-1530.07,1607.5,622.387,LHC.BPM.1R5.B2_DOROS,-3677.91,-1892.96,1490.37,787.752,18844.3,CROSSING,30,160
7058,321390,771,24,1534482623,175,1,1,3,32,ACQUIRING,MIXED,1,-0.043092,-0.00460104,0.0503816,0.00460104,-0.0503816,0,-0.021546,-0,0.021546,LHC.BPM.1L5.B1_DOROS,-3062.41,-1412.93,1178.4,577.374,LHC.BPM.1R5.B1_DOROS,3558.59,-1957.53,1363.47,834.77,LHC.BPM.1L5.B2_DOROS,4060.12,-1528.85,1606.97,622.525,LHC.BPM.1R5.B2_DOROS,-3676.15,-1894.12,1489.83,787.58,18842.9,CROSSING,30,160
7058,321390,771,52,1534482633,367,1,3,3,32,ACQUIRING,MIXED,10,-0.032319,-0.00460104,0.0557681,0.00460104,-0.0557681,0,-0.0161595,-0,0.0161595,LHC.BPM.1L5.B1_DOROS,-3062.98,-1414.86,1178.55,578.142,LHC.BPM.1R5.B1_DOROS,3566.93,-1955.73,1366.6,834.031,LHC.BPM.1L5.B2_DOROS,4056.33,-1526.36,1605.95,621.087,LHC.BPM.1R5.B2_DOROS,-3680.66,-1896.55,1492.06,789.005,18842.9,CROSSING,30,160
7058,321390,771,56,1534482634,889,1,3,3,32,ACQUIRING,MIXED,8,-0.032319,-0.00460104,0.0557681,0.00460104,-0.0557681,0,-0.0161595,-0,0.0161595,LHC.BPM.1L5.B1_DOROS,-3062.4,-1415.06,1240.42,539.997,LHC.BPM.1R5.B1_DOROS,3566.29,-1955.6,1454.47,713.241,LHC.BPM.1L5.B2_DOROS,4059.84,-1525.98,1596.91,583.216,LHC.BPM.1R5.B2_DOROS,-3684.19,-1896.94,1418.2,712.093,18819.1,CROSSING,30,160
7058,321390,771,60,1534482636,301,1,3,3,32,ACQUIRING,MIXED,7,-0.032319,-0.00460104,0.0557681,0.00460104,-0.0557681,0,-0.0161595,-0,0.0161595,LHC.BPM.1L5.B1_DOROS,-3062.45,-1414.86,1240.34,539.488,LHC.BPM.1R5.B1_DOROS,3566.18,-1955.72,1454.3,713.728,LHC.BPM.1L5.B2_DOROS,4065.87,-1525.68,1598.75,583.224,LHC.BPM.1R5.B2_DOROS,-3690.31,-1897.09,1420.02,712.102,18819.1,CROSSING,30,160
