fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst,nominal_separation_plane,bstar5,ip5xingHmurad
7487,327517,75,24,1543633528,425,1,1,3,2,ACQUIRING,MIXED,10,-0.0561968,0.0273741,-0.190636,-0.0273741,0.190636,0,-0.0280984,-0,0.0280984,LHC.BPM.1L5.B1_DOROS,-3048.26,-1689.3,1224.38,629.157,LHC.BPM.1R5.B1_DOROS,3538.67,-1746.55,1369.29,765.862,LHC.BPM.1L5.B2_DOROS,4137.67,-1472.06,1653.03,627.06,LHC.BPM.1R5.B2_DOROS,-3827.81,-1896.17,1487.74,699.265,0.000170191,CROSSING,50,160
7487,327517,75,28,1543633529,896,1,1,3,2,ACQUIRING,MIXED,8,-0.0561968,0.0273741,-0.190636,-0.0273741,0.190636,0,-0.0280984,-0,0.0280984,LHC.BPM.1L5.B1_DOROS,-3048.28,-1689.46,1174.22,700.885,LHC.BPM.1R5.B1_DOROS,3538.64,-1746.38,1419.05,610.699,LHC.BPM.1L5.B2_DOROS,4137.77,-1472.14,1620.67,538.536,LHC.BPM.1R5.B2_DOROS,-3828.13,-1896.15,1545.69,805.591,0.000161526,CROSSING,50,160
7487,327517,75,32,1543633531,365,1,1,3,2,ACQUIRING,MIXED,7,-0.0561968,0.0273741,-0.190636,-0.0273741,0.190636,0,-0.0280984,-0,0.0280984,LHC.BPM.1L5.B1_DOROS,-3048.26,-1688.83,1174.27,700.616,LHC.BPM.1R5.B1_DOROS,3538.8,-1746.91,1419.26,610.933,LHC.BPM.1L5.B2_DOROS,4137.19,-1472.16,1620.16,538.507,LHC.BPM.1R5.B2_DOROS,-3827.5,-1896.21,1545.33,805.698,0.000161526,CROSSING,50,160
7487,327517,75,36,1543633532,756,1,1,3,2,ACQUIRING,MIXED,5,-0.0561968,0.0273741,-0.190636,-0.0273741,0.190636,0,-0.0280984,-0,0.0280984,LHC.BPM.1L5.B1_DOROS,-3048.18,-1688.93,1224.26,629.016,LHC.BPM.1R5.B1_DOROS,3538.52,-1746.82,1368.99,765.987,LHC.BPM.1L5.B2_DOROS,4137.03,-1471.71,1652.93,626.76,LHC.BPM.1R5.B2_DOROS,-3827.31,-1896.46,1487.44,699.408,0.000165081,CROSSING,50,160
7487,327517,75,40,1543633534,228,1,1,3,2,ACQUIRING,MIXED,4,-0.0561968,0.0273741,-0.190636,-0.0273741,0.190636,0,-0.0280984,-0,0.0280984,LHC.BPM.1L5.B1_DOROS,-3048.49,-1688.43,1224.44,628.843,LHC.BPM.1R5.B1_DOROS,3539.03,-1747.24,1369.38,766.181,LHC.BPM.1L5.B2_DOROS,4135.54,-1471.68,1652.33,626.845,LHC.BPM.1R5.B2_DOROS,-3825.84,-1896.57,1486.89,699.295,0.000166057,CROSSING,50,160
7487,327517,75,44,1543633535,697,1,1,3,2,ACQUIRING,MIXED,2,-0.0561968,0.0273741,-0.190636,-0.0273741,0.190636,0,-0.0280984,-0,0.0280984,LHC.BPM.1L5.B1_DOROS,-3048.17,-1688.25,1174.1,700.251,LHC.BPM.1R5.B1_DOROS,3538.65,-1747.41,1419,611.202,LHC.BPM.1L5.B2_DOROS,4135.68,-1471.7,1619.73,538.407,LHC.BPM.1R5.B2_DOROS,-3825.97,-1896.47,1544.85,805.816,0.000166057,CROSSING,50,160
7487,327517,75,48,1543633537,166,1,1,3,2,ACQUIRING,MIXED,1,-0.0561968,0.0273741,-0.190636,-0.0273741,0.190636,0,-0.0280984,-0,0.0280984,LHC.BPM.1L5.B1_DOROS,-3047.24,-1687.97,1173.86,700.106,LHC.BPM.1R5.B1_DOROS,3537.71,-1747.8,1418.82,611.399,LHC.BPM.1L5.B2_DOROS,4134.96,-1471.78,1618.99,538.341,LHC.BPM.1R5.B2_DOROS,-3825.09,-1896.5,1543.99,805.864,0.000168998,CROSSING,50,160
7487,327517,76,8,1543633545,903,1,3,3,2,ACQUIRING,MIXED,10,-0.0421476,0.0273741,-0.183612,-0.0273741,0.183612,0,-0.0210738,-0,0.0210738,LHC.BPM.1L5.B1_DOROS,-3048.69,-1686.25,1175.11,699.579,LHC.BPM.1R5.B1_DOROS,3539.18,-1749.46,1419.99,611.88,LHC.BPM.1L5.B2_DOROS,4131.15,-1469.93,1617.27,538.018,LHC.BPM.1R5.B2_DOROS,-3821.3,-1898.33,1542.26,806.301,0.000319999,CROSSING,50,160
7487,327517,76,12,1543633547,374,1,3,3,2,ACQUIRING,MIXED,8,-0.0421476,0.0273741,-0.183612,-0.0273741,0.183612,0,-0.0210738,-0,0.0210738,LHC.BPM.1L5.B1_DOROS,-3052.35,-1686.19,1175.82,699.369,LHC.BPM.1R5.B1_DOROS,3543.26,-1749.56,1420.85,612.015,LHC.BPM.1L5.B2_DOROS,4126.35,-1470.52,1615.97,538.304,LHC.BPM.1R5.B2_DOROS,-3816.51,-1897.8,1540.98,806.02,0.000342426,CROSSING,50,160
7487,327517,76,16,1543633548,845,1,3,3,2,ACQUIRING,MIXED,7,-0.0421476,0.0273741,-0.183612,-0.0273741,0.183612,0,-0.0210738,-0,0.0210738,LHC.BPM.1L5.B1_DOROS,-3050.09,-1685.99,1224.28,627.966,LHC.BPM.1R5.B1_DOROS,3540.91,-1749.7,1369.36,767.184,LHC.BPM.1L5.B2_DOROS,4128.07,-1470.9,1650.08,626.328,LHC.BPM.1R5.B2_DOROS,-3818.17,-1897.51,1484.59,699.921,0.000341675,CROSSING,50,160
