dummy,fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,atlas_totInst,nominal_separation_plane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,totsize,publishnnb,datasourceid,algoid,channelid,payloadtype,bstar5,xingHmurad
0,7442,326676,120,60,1542137522,586,1,1,3,32,ACQUIRING,MIXED,72,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2972.66137695,-1521.0255127,1192.85388184,558.024719238,LHC.BPM.1R5.B1_D,3609.20288086,-1883.52026367,1453.8861084,656.307250977,LHC.BPM.1L5.B2_D,4084.60620117,-1439.49133301,1619.55371094,614.727844238,LHC.BPM.1R5.B2_D,-3737.48974609,-2003.8807373,1496.15673828,835.681640625,266,4,2,0,0,11,50,160
1,7442,326676,120,64,1542137524,107,1,1,3,32,ACQUIRING,MIXED,71,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2973.10375977,-1521.40429688,1193.08325195,558.409851074,LHC.BPM.1R5.B1_D,3609.82592773,-1883.04663086,1454.2286377,655.977172852,LHC.BPM.1L5.B2_D,4084.92138672,-1439.67150879,1619.39343262,614.638305664,LHC.BPM.1R5.B2_D,-3737.89086914,-2003.80090332,1496.09924316,835.807678223,266,4,2,0,0,11,50,160
2,7442,326676,121,4,1542137525,521,1,1,3,32,ACQUIRING,MIXED,69,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2972.91967773,-1521.51660156,1146.15661621,639.584594727,LHC.BPM.1R5.B1_D,3609.52392578,-1882.85437012,1398.75341797,832.709106445,LHC.BPM.1L5.B2_D,4084.59765625,-1439.30871582,1612.56652832,525.023132324,LHC.BPM.1R5.B2_D,-3737.34838867,-2004.03552246,1451.00280762,746.936523438,266,4,2,0,0,11,50,160
3,7442,326676,121,8,1542137527,34,1,1,3,32,ACQUIRING,MIXED,68,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2972.95239258,-1521.15332031,1193.11096191,558.124938965,LHC.BPM.1R5.B1_D,3609.72875977,-1883.33947754,1454.39379883,656.360595703,LHC.BPM.1L5.B2_D,4084.24511719,-1439.35388184,1619.11401367,614.675598145,LHC.BPM.1R5.B2_D,-3737.13769531,-2004.02026367,1495.93212891,835.79699707,266,4,2,0,0,11,50,160
4,7442,326676,121,12,1542137528,447,1,1,3,32,ACQUIRING,MIXED,66,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2973.45141602,-1521.57543945,1193.20703125,558.426635742,LHC.BPM.1R5.B1_D,3610.13793945,-1882.96655273,1454.3885498,656.121337891,LHC.BPM.1L5.B2_D,4083.84570312,-1438.44970703,1618.83789062,614.229675293,LHC.BPM.1R5.B2_D,-3736.6940918,-2005.00061035,1495.64538574,836.316162109,266,4,2,0,0,11,50,160
5,7442,326676,121,16,1542137529,860,1,1,3,32,ACQUIRING,MIXED,65,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2973.39135742,-1521.52954102,1146.41125488,639.583312988,LHC.BPM.1R5.B1_D,3610.07324219,-1882.91174316,1399.03564453,832.616821289,LHC.BPM.1L5.B2_D,4083.80883789,-1438.6361084,1612.50292969,524.905700684,LHC.BPM.1R5.B2_D,-3736.58325195,-2004.77172852,1450.85852051,747.016784668,266,4,2,0,0,11,50,160
6,7442,326676,121,20,1542137531,375,1,1,3,32,ACQUIRING,MIXED,63,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2972.47509766,-1521.10046387,1145.94396973,639.45300293,LHC.BPM.1R5.B1_D,3609.04272461,-1883.3425293,1398.6003418,832.819580078,LHC.BPM.1L5.B2_D,4084.73779297,-1439.16333008,1612.90270996,524.95098877,LHC.BPM.1R5.B2_D,-3737.57983398,-2004.20666504,1451.265625,747.074829102,266,4,2,0,0,11,50,160
7,7442,326676,121,24,1542137532,787,1,1,3,32,ACQUIRING,MIXED,62,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2972.45800781,-1520.70690918,1192.95166016,557.910949707,LHC.BPM.1R5.B1_D,3609.02758789,-1883.71228027,1454.01220703,656.55291748,LHC.BPM.1L5.B2_D,4084.54272461,-1439.31518555,1619.02709961,614.724975586,LHC.BPM.1R5.B2_D,-3737.39135742,-2004.15917969,1495.88928223,835.781005859,266,4,2,0,0,11,50,160
8,7442,326676,121,28,1542137534,302,1,1,3,32,ACQUIRING,MIXED,60,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2972.15429688,-1521.19287109,1192.40551758,558.128112793,LHC.BPM.1R5.B1_D,3608.69506836,-1883.19628906,1453.48730469,656.38494873,LHC.BPM.1L5.B2_D,4084.83276367,-1438.49523926,1619.2109375,614.420837402,LHC.BPM.1R5.B2_D,-3737.75366211,-2004.89282227,1496.17871094,836.136108398,266,4,2,0,0,11,50,160
9,7442,326676,121,32,1542137535,715,1,1,3,32,ACQUIRING,MIXED,59,0.0,-0.0518624186516,0.0433422215283,0.0518624186516,-0.0433422215283,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2971.62695312,-1520.86889648,1145.83935547,639.369628906,LHC.BPM.1R5.B1_D,3608.20458984,-1883.58251953,1398.4777832,832.89453125,LHC.BPM.1L5.B2_D,4084.49169922,-1438.69677734,1612.67370605,524.766052246,LHC.BPM.1R5.B2_D,-3737.37719727,-2004.79003906,1450.9654541,747.222290039,266,4,2,0,0,11,50,160
