dummy,fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,atlas_totInst,nominal_separation_plane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,totsize,publishnnb,datasourceid,algoid,channelid,payloadtype,bstar5,xingHmurad
0,7483,327463,102,56,1543464175,860,1,1,3,32,ACQUIRING,MIXED,73,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2827.23168945,-1521.51647949,1088.18945312,639.401245117,LHC.BPM.1R5.B1_D,3511.46899414,-1762.88098145,1411.08691406,613.406494141,LHC.BPM.1L5.B2_D,4036.75317383,-1482.72155762,1583.11706543,551.880554199,LHC.BPM.1R5.B2_D,-3708.80297852,-1909.81323242,1493.9206543,810.101013184,266,4,2,0,0,11,50,160
1,7483,327463,102,60,1543464177,273,1,1,3,32,ACQUIRING,MIXED,71,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2827.76538086,-1521.76464844,1088.10827637,639.451660156,LHC.BPM.1R5.B1_D,3511.69116211,-1762.76867676,1411.04162598,613.401184082,LHC.BPM.1L5.B2_D,4036.46191406,-1482.6451416,1583.08117676,551.999389648,LHC.BPM.1R5.B2_D,-3708.23364258,-1910.04052734,1493.60070801,809.959960938,266,4,2,0,0,11,50,160
2,7483,327463,102,64,1543464178,785,1,1,3,32,ACQUIRING,MIXED,70,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2827.25366211,-1521.71984863,1134.11230469,557.337890625,LHC.BPM.1R5.B1_D,3511.38891602,-1762.76855469,1355.35583496,775.907043457,LHC.BPM.1L5.B2_D,4035.79858398,-1482.63220215,1610.07971191,621.896362305,LHC.BPM.1R5.B2_D,-3707.55224609,-1910.02758789,1443.26196289,705.346374512,266,4,2,0,0,11,50,160
3,7483,327463,103,4,1543464180,200,1,1,3,32,ACQUIRING,MIXED,68,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2827.25952148,-1521.63000488,1134.21875,557.255187988,LHC.BPM.1R5.B1_D,3511.421875,-1762.76831055,1355.48547363,775.981628418,LHC.BPM.1L5.B2_D,4035.44702148,-1482.21118164,1610.05187988,621.83770752,LHC.BPM.1R5.B2_D,-3707.37207031,-1910.47937012,1443.2253418,705.416015625,266,4,2,0,0,11,50,160
4,7483,327463,103,8,1543464181,712,1,1,3,32,ACQUIRING,MIXED,67,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2827.15087891,-1521.63952637,1087.9407959,639.478820801,LHC.BPM.1R5.B1_D,3511.45849609,-1762.78601074,1410.99084473,613.342956543,LHC.BPM.1L5.B2_D,4035.71459961,-1482.08337402,1583.08044434,551.626647949,LHC.BPM.1R5.B2_D,-3707.421875,-1910.56445312,1493.57800293,810.322692871,266,4,2,0,0,11,50,160
5,7483,327463,103,12,1543464183,129,1,1,3,32,ACQUIRING,MIXED,65,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2827.1809082,-1521.39050293,1087.89916992,639.457336426,LHC.BPM.1R5.B1_D,3511.26489258,-1762.91967773,1410.92675781,613.335021973,LHC.BPM.1L5.B2_D,4035.85375977,-1482.20568848,1582.98388672,551.574584961,LHC.BPM.1R5.B2_D,-3707.81787109,-1910.23669434,1493.57775879,810.232299805,266,4,2,0,0,11,50,160
6,7483,327463,103,16,1543464184,643,1,1,3,32,ACQUIRING,MIXED,64,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2826.84228516,-1521.73974609,1134.02539062,557.360900879,LHC.BPM.1R5.B1_D,3510.9387207,-1762.66308594,1355.14575195,775.903564453,LHC.BPM.1L5.B2_D,4036.0168457,-1482.01623535,1610.36071777,621.845581055,LHC.BPM.1R5.B2_D,-3708.06103516,-1910.48620605,1443.70385742,705.450256348,266,4,2,0,0,11,50,160
7,7483,327463,103,20,1543464186,55,1,1,3,32,ACQUIRING,MIXED,63,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2826.62036133,-1521.69909668,1087.72094727,639.427185059,LHC.BPM.1R5.B1_D,3510.60351562,-1762.73120117,1410.66394043,613.387023926,LHC.BPM.1L5.B2_D,4036.05322266,-1482.32873535,1583.00622559,551.822509766,LHC.BPM.1R5.B2_D,-3707.86645508,-1910.31616211,1493.41809082,810.101745605,266,4,2,0,0,11,50,160
8,7483,327463,103,24,1543464187,568,1,1,3,32,ACQUIRING,MIXED,61,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2826.16918945,-1521.38208008,1087.74987793,639.270141602,LHC.BPM.1R5.B1_D,3510.38574219,-1762.99829102,1410.75878906,613.501525879,LHC.BPM.1L5.B2_D,4035.79663086,-1482.59448242,1582.95507812,551.733520508,LHC.BPM.1R5.B2_D,-3707.70825195,-1909.98999023,1493.53295898,809.991699219,266,4,2,0,0,11,50,160
9,7483,327463,103,28,1543464188,982,1,1,3,32,ACQUIRING,MIXED,60,0.0,-0.0596146695316,0.0485053099692,0.0596146695316,-0.0485053099692,0.0,0.0,0.0,0.0,0,NONE,LHC.BPM.1L5.B1_D,-2826.046875,-1521.61352539,1133.56884766,557.459594727,LHC.BPM.1R5.B1_D,3510.15795898,-1762.69177246,1354.7208252,775.77130127,LHC.BPM.1L5.B2_D,4036.19433594,-1482.4107666,1610.54394531,622.005065918,LHC.BPM.1R5.B2_D,-3708.04833984,-1910.09790039,1443.75500488,705.390319824,266,4,2,0,0,11,50,160
