Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1530352202,0.170023,0.0298462,1.55968,0.0229745,-0.220867,-0.100617,0.31615,-0.452029
1530352205,0.0471422,0.337911,1.51268,-0.158561,-0.224894,-0.39573,0.0910582,-0.606069
1530352206,0.319942,0.336993,1.9143,-0.688769,-0.0995133,0.0367378,0.774524,-0.342223
1530352208,0.447043,0.806644,1.23721,-0.294526,-0.153007,-0.197158,0.788626,0.123992
1530352211,0.725188,0.485406,0.9043,-0.108738,0.171703,0.0656561,0.659362,-1.09797
1530352212,0.391159,-0.217845,0.313214,-0.426221,0.135482,0.193945,1.88327,-0.2021
1530352215,0.943028,0.101616,0.452013,0.0805432,0.20542,-0.117047,0.460003,-0.192244
1530352216,-0.093446,0.219343,0.92606,0.1834,0.0915596,-0.147279,0.968129,-0.61551
1530352218,0.304632,0.0817012,1.2124,-0.0993926,0.150995,-0.320743,0.957685,-0.0832338
1530352220,-0.0321444,-0.457633,0.975228,-0.412677,0.293194,0.14929,1.5027,0.401305
1530352222,0.312283,-0.0535877,0.285386,-0.638361,-0.111427,-0.325574,1.15143,0.0814128
1530352225,-0.141271,-0.385168,-0.128406,-0.288187,-0.338177,-0.0983571,1.53428,0.973105
1530352227,-0.387958,-0.619506,-0.183869,0.150704,-0.32165,0.279804,1.30043,0.247188
1530352228,0.137361,-0.312989,0.116468,-0.195039,-0.388938,0.14387,0.706472,-0.384203
1530352230,-0.334601,-0.825995,-0.110724,-0.126725,-0.378804,0.634025,0.959582,-0.108642
1530352232,-0.409431,-0.667576,0.606218,-0.0797687,-0.220754,0.27793,0.712215,-0.344285
1530352234,-0.299205,-0.899571,0.478498,-0.546126,0.068344,0.167038,0.429956,0.212506
1530352236,-0.727653,-0.690976,0.336737,-0.82299,-0.422841,-0.282904,1.00759,0.573609
1530352239,-1.06516,-1.01751,0.378506,-0.851279,-0.598156,-0.339243,0.662305,0.559766
1530352241,-1.23231,-0.929455,0.609468,-1.07496,-0.412742,-0.221605,1.01624,0.0160293
1530352242,-1.46415,-1.16745,0.310549,-0.804744,-0.471553,-0.31836,1.02131,0.496886
1530352245,-1.33592,-1.03646,-0.0788767,-0.907316,-0.651748,-0.161361,0.982282,0.694641
1530352247,-1.24858,-0.932988,0.158871,-1.2083,-0.375169,-0.108142,0.236888,-0.168607
1530352249,-1.51231,-1.19666,0.111037,-0.930202,-0.273355,-0.193284,0.556034,-0.125916
1530352250,-1.29863,-1.03654,-0.0682779,-0.774539,-0.794562,-0.627007,0.549303,0.244123
1530352252,-1.26207,-1.01754,0.152713,-1.01232,-0.453378,-0.718608,0.995373,0.617904
1530352254,-1.07975,-1.20973,0.929728,-0.840026,-1.03494,-0.806815,0.914416,0.469231
1530352256,-1.3046,-1.1197,0.960716,-0.779563,-0.943999,-0.15723,1.10333,0.699548
1530352258,-1.48463,-1.14081,0.96345,-0.869421,-1.00117,-0.365441,0.446943,0.169277
1530352260,-1.2379,-1.23637,0.729768,-1.08508,-0.658295,-0.269908,0.368015,0.698415
1530352262,-1.59444,-1.25163,0.0155182,-0.574637,-1.02947,-0.432608,0.603694,0.331426
1530352264,-1.29659,-1.07691,0.681835,-0.862574,-0.895784,-0.68882,1.26099,0.696057
1530352266,-1.55526,-1.38879,1.48288,-0.587939,-0.240938,-0.470622,0.889324,0.571339
1530352269,-1.9152,-1.72229,1.15453,-0.806967,-0.262473,-0.770452,0.392487,0.206649
1530352270,-1.63384,-1.8058,0.606656,-0.926074,-0.452897,-0.526128,0.683963,0.38519
1530352272,-1.6576,-1.27196,2.06007,-1.30322,-0.624844,-0.507024,0.630709,0.949502
1530352274,-0.948795,-0.914672,1.24984,-0.933794,-0.816714,-0.833551,0.840615,0.523711
1530352277,-0.41758,-1.16134,1.42434,-0.986448,-0.641352,-0.723765,0.539895,-0.141133
1530352279,-0.327412,-1.70517,0.399588,-1.14856,-0.811089,-0.635673,0.474243,0.0425945
1530352281,-0.58249,-1.65421,0.324922,-1.30207,-1.0027,-0.755609,0.17295,0.227121
1530352282,-0.890911,-1.47577,0.332097,-0.627237,-0.933839,-0.814402,0.290334,-0.790117
1530352285,-0.548542,-1.03492,0.560487,-0.192382,-0.950807,-1.03448,0.740563,-0.345098
1530352287,0.238764,-0.979543,1.63405,-0.837673,-0.577003,-1.04484,0.895983,-0.0293312
1530352289,-0.579072,-1.03873,1.74225,-0.819377,-0.532967,-0.938353,0.72259,0.111619
1530352291,-0.709849,-1.15665,1.54949,-1.24527,-0.0136069,-0.921295,0.283091,0.30943
1530352292,-0.909742,-1.33519,1.69347,-0.702258,-0.204229,-0.934683,0.852534,0.380673
1530352294,-0.741412,-0.440923,1.02543,-0.526367,-0.435697,-1.00436,0.686866,0.160522
1530352296,-0.341039,-0.277515,-0.376483,-0.0808241,-0.470795,-0.795843,0.274907,-0.256354
1530352298,-0.514324,-0.716786,0.269748,-0.625522,-0.349751,-1.0278,0.597962,-0.483591
1530352300,-0.431581,-0.85694,1.03069,-0.497847,-0.510934,-0.828072,0.917387,-0.101381
1530352302,-1.1267,-1.07195,1.18614,-0.539842,-0.501596,-0.855452,0.553604,-0.394241
1530352305,-0.390992,-1.1362,1.04255,-0.756617,-0.229149,-0.501648,0.321344,-1.24691
1530352307,-1.02875,-1.33486,1.02638,-0.713754,-0.479746,-0.915972,0.587488,-1.54407
1530352309,-0.644613,-0.792418,0.359855,-0.769102,-0.0534116,-0.725154,0.591232,-1.74627
1530352311,-0.709077,-0.89428,0.827181,-0.847472,-0.457275,-0.754824,0.598561,-0.883705
1530352312,-0.634154,-1.32398,1.25484,-1.18822,-0.732499,-0.574956,0.452481,-1.2236
1530352315,-0.622773,-1.44848,0.871138,-0.849578,-0.613956,-0.494279,0.0318789,-1.52006
1530352317,-0.798368,-1.86706,0.275716,-1.20302,-0.609652,-0.494932,0.284409,-2.02446
1530352319,-0.920096,-1.77382,0.452084,-0.821932,-0.611341,-0.351528,0.521793,-1.77551
1530352321,-0.497974,-1.51487,1.8061,-0.564877,-0.767971,-0.876197,0.0909149,-0.739524
1530352322,-0.547445,-1.36184,1.08547,-0.654121,-0.764952,-0.512929,0.6659,-0.988103
1530352325,-0.649887,-1.2783,0.656531,-1.30552,-0.749571,-0.822401,-0.170387,-1.2442
1530352327,-0.726587,-1.3418,0.0643377,-0.933778,-1.14792,-0.701199,-0.109433,-0.94963
1530352329,-0.729308,-1.12153,0.356008,-0.412168,-0.726419,-0.817884,0.457674,-0.756374
1530352331,-0.602547,-1.13391,0.89756,-1.07451,-0.384453,-0.99513,1.15181,-1.03639
1530352332,-0.435116,-0.911139,0.618871,-0.44754,-0.706938,-0.978425,-0.270511,-0.422585
1530352335,-0.751619,-1.60855,1.41324,-0.485936,-0.960942,-0.841051,-0.745129,-0.583514
1530352336,-0.420389,-1.3995,1.40597,-0.137308,-0.887603,-0.526964,0.324285,-0.251764
1530352338,-0.0184921,-1.53307,1.11024,0.38281,-0.964191,-0.531066,0.608234,-0.954057
1530352340,-0.647826,-1.47323,0.496152,-0.0144361,-0.733363,-0.803027,-0.061384,-0.967744
1530352343,-0.830501,-1.25038,0.623338,-0.393686,-0.831869,-0.936466,-0.230626,-0.419769
1530352345,-0.865391,-1.42573,1.01219,-0.780034,-0.539959,-0.498404,0.292953,-0.0930791
1530352347,-0.673566,-1.38559,0.489107,-0.517011,-0.466757,-0.775701,1.01912,-0.163866
1530352349,-0.986224,-1.67315,0.0925769,-0.355311,-0.902642,-0.983587,1.13741,-0.590839
1530352351,-1.40409,-1.77299,-0.122962,-0.97564,-0.744394,-1.14375,0.929975,-0.0773018
1530352352,-1.11713,-1.64513,-0.363714,-0.439762,-1.31444,-1.35014,0.789206,0.438683
1530352355,-1.03971,-1.42182,0.337006,-0.937099,-0.956927,-1.06482,0.140226,0.316987
1530352357,-1.39722,-1.32473,0.97599,-0.673871,-1.32535,-1.24372,0.782924,-0.070428
1530352359,-1.48927,-1.44522,0.184045,-0.278393,-0.932904,-1.492,0.433802,-0.0868043
1530352361,-1.441,-1.70547,-0.057415,0.575335,-1.22324,-1.55825,0.999218,0.0479842
1530352362,-1.21945,-1.32518,0.115881,-0.149322,-1.26331,-1.13278,0.849499,0.458315
1530352365,-1.25365,-1.45032,1.08458,-0.475883,-1.30325,-1.54753,0.677896,0.460414
1530352367,-0.534328,-1.70741,1.01249,-0.295787,-1.05734,-1.54609,0.951867,-0.595033
1530352369,-0.484784,-1.62097,1.05725,-1.07866,-0.677741,-1.23124,0.672131,-0.523472
1530352371,-0.493973,-1.58879,0.469448,-0.372003,-1.216,-1.35341,0.668529,0.165164
1530352372,-0.887806,-1.11888,0.255523,-0.343805,-0.877873,-1.40926,0.282246,-0.311696
1530352375,-0.397895,-1.00576,0.738506,-1.19883,-1.05896,-1.08165,0.691398,-0.379494
1530352377,-0.649657,-1.06821,0.812595,-1.03379,-1.07276,-1.24202,0.991094,0.34371
1530352379,-1.13014,-1.18036,0.625761,-0.63953,-1.23972,-0.943265,1.07465,-0.24842
1530352381,-1.20015,-1.3141,0.232069,-0.694144,-1.2182,-1.01861,1.29523,-0.393164
1530352382,-0.810106,-1.02082,0.144626,-0.673199,-1.50697,-1.24052,0.973262,-0.286531
1530352385,-0.82502,-1.30565,0.354279,-1.00134,-1.27089,-0.910552,1.17221,0.149655
1530352387,-0.86978,-1.22259,0.701627,-0.727696,-1.76681,-1.10076,0.789111,0.23917
1530352389,-1.16512,-1.5457,0.496809,-1.53903,-1.19119,-1.33948,0.16943,0.970986
1530352391,-1.09496,-1.28046,0.838121,-0.786897,-1.22417,-1.40612,0.156759,0.408728
1530352392,-0.850383,-1.54743,-1.00403,-1.13338,-0.950272,-1.50964,-0.0227958,0.465499
1530352394,-1.13523,-1.78633,-0.778311,-1.21191,-1.10837,-1.71633,0.401199,0.542836
1530352397,-1.22646,-1.83925,-0.42992,-1.14936,-1.12074,-1.26202,0.335965,0.286331
1530352399,-1.02572,-1.24421,-0.143225,-0.554214,-1.47086,-1.71959,0.209918,0.168552
1530352401,-1.35076,-1.35453,0.410254,-0.571238,-0.991201,-1.29982,0.884754,0.0743778
1530352402,-1.52428,-1.96731,0.828728,-1.1406,-0.857263,-1.03623,0.810438,0.89898
1530352404,-1.26065,-1.37914,0.278644,-0.768843,-1.26737,-1.67707,1.05199,-0.188119
1530352406,-0.592917,-1.31219,-0.261067,-1.10943,-1.15858,-1.69952,0.749293,0.27201
1530352409,-0.471357,-1.37713,-0.428798,-0.841493,-1.2591,-1.45039,0.533585,0.038138
1530352411,-0.750093,-1.1958,-0.397012,-0.430961,-1.22721,-1.77043,0.82854,0.250383
1530352412,-0.484151,-1.62032,-0.34296,-1.418,-0.864153,-1.89472,1.16012,0.817824
1530352415,-0.915546,-1.8253,0.226188,-1.27424,-0.856061,-1.71825,0.838029,0.398605
1530352416,-0.869179,-1.70676,0.526901,-1.8027,-1.08839,-1.68675,1.21212,0.986161
