Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1543463701,0.0747701,-0.0233514,-0.0400974,-0.0259868,-0.013677,0.039996,-0.0183028,-0.0315141
1543463702,0.121342,0.0888144,-0.0279401,-0.0295936,0.00628936,0.0233169,0.00756935,0.00479015
1543463703,0.0367381,0.00657542,-0.0347827,-0.0167463,-0.0394216,-0.0479198,0.019094,0.0846471
1543463704,0.0498653,-0.0619145,0.111796,0.101883,-0.0557805,-0.0053467,0.0234559,0.0144137
1543463705,-0.0387469,-0.128075,0.179043,0.118299,-0.0910777,-0.0502645,0.0803444,0.0242389
1543463706,-0.0174468,-0.096224,0.288911,0.114186,-0.130504,-0.0650772,0.0478945,0.00654508
1543463707,-0.0672269,-0.12401,0.250084,-0.0733525,-0.123026,0.0189193,0.010645,0.00017166
1543463708,-0.0743215,-0.147316,0.173561,-0.0314184,-0.149167,-0.0402068,0.0157423,0.0503258
1543463709,-0.0578881,-0.0780346,0.0948684,0.0415239,-0.0649081,-0.0445223,0.0130012,-0.0195869
1543463710,-0.150423,-0.103344,0.131944,0.141758,-0.0701657,-0.0217953,0.0264015,0.0175939
1543463711,-0.200659,-0.138946,0.149997,-0.0029914,-0.106586,-0.0182516,0.00454377,-0.0489924
1543463712,-0.106967,-0.0640023,0.164939,-0.0798661,-0.019748,0.0797472,-0.0268396,-0.094543
1543463713,-0.163563,-0.098311,0.157252,-0.183992,-0.0262385,0.0867434,-0.0409195,-0.228304
1543463714,-0.137046,-0.0689032,0.351111,-0.161113,-0.0477768,0.0628015,0.0247991,-0.22318
1543463715,-0.0941488,0.00820043,0.411603,-0.0439133,-0.0456619,0.060274,0.0475141,-0.196791
1543463716,-0.103731,0.0890838,0.334767,-0.0168014,-0.0491031,0.0298787,0.0357427,-0.142704
1543463717,-0.132431,-0.0304838,0.197673,-0.0315973,-0.0570876,0.00582385,0.0707483,-0.140991
1543463718,-0.0714432,0.0138097,0.163445,-0.0793546,-0.0503564,0.101823,0.100185,-0.189988
1543463719,-0.065177,-0.0478923,0.21607,-0.125472,-0.0297935,0.111652,0.0977482,-0.158114
1543463720,-0.0094924,0.0310298,0.0522345,-0.0773238,-0.00116404,0.0970056,-0.0346564,0.0098239
1543463721,-0.0769815,-0.00853561,-0.0775739,-0.124297,-0.024093,0.0265676,-0.0593365,-0.109837
1543463722,-0.0489526,0.0134403,-0.0217175,-0.030413,-0.0672637,0.0693742,-0.0238501,-0.0591368
1543463723,-0.0836609,0.0193036,0.14117,-0.0619929,-0.0399995,0.146691,0.026149,-0.0670175
1543463724,-0.196038,-0.0455483,0.248957,-0.00297695,-0.0388151,0.102649,0.0942168,0.0623902
1543463725,-0.127391,-0.0696995,0.117357,0.0551167,-0.00996403,0.0819357,0.115142,0.0714893
1543463726,-0.0871631,0.00816722,0.103733,0.0417043,-0.0190247,0.110816,0.0786254,-0.00959176
1543463727,-0.133965,-0.00850898,0.139311,-0.0253133,-0.0379155,0.0920278,0.0557328,-0.126338
1543463728,0.0323125,0.0684617,0.210922,0.0273156,-0.00771947,0.0607788,-0.0073104,-0.0984296
1543463729,-0.0667519,0.0330121,0.185876,-0.0881021,0.0227174,-0.0122006,-0.00643664,-0.129705
1543463730,-0.0467134,-0.00788508,0.20272,-0.105815,0.0189439,-0.0226133,-0.00993167,-0.0104848
1543463731,-0.0776553,0.0105203,0.290567,-0.122234,-0.0927221,-0.112294,0.0878509,0.00356863
1543463732,-0.149199,-0.0352895,0.198107,-0.0365222,-0.0187093,-0.0677171,0.0750164,-0.0113496
1543463733,-0.097478,-0.0352687,0.28531,0.0183949,0.0135856,-0.0382122,0.0395165,0.0436642
1543463734,-0.0515784,-0.0588598,0.38131,0.157238,-0.0174578,-0.00844167,0.0569858,-0.113192
1543463735,-0.165293,-0.0605033,0.363867,0.107609,0.014509,0.0108204,0.0979755,-0.0160754
1543463736,-0.118055,-0.0108999,0.524228,0.109209,0.000145683,-0.0656514,0.137578,0.0247004
1543463737,-0.0530923,-0.12564,0.544114,0.0667859,0.00648206,0.0152271,0.0499416,-0.0434724
1543463738,-0.109656,-0.072123,0.373309,0.0971511,0.00785709,-0.0844789,0.0285299,-0.0397067
1543463739,-0.087542,-0.209274,0.440067,0.0446252,-0.073152,-0.0799017,0.0773584,-0.229265
1543463740,-0.0399554,-0.060958,0.431846,-0.0273763,-0.0502902,-0.0744342,0.0610411,-0.0623411
1543463741,0.0165587,-0.00144136,0.488705,-0.0157647,0.0063693,-0.0630806,0.0484327,0.0124447
1543463742,0.0550092,0.0534624,0.506165,0.0583844,0.0537449,-0.0231973,0.00931333,0.107787
1543463743,0.0717825,0.0819024,0.492772,0.0224058,-0.00263221,-0.0746764,0.0161326,0.052347
1543463744,-0.0264714,-0.0382987,0.501401,0.0049271,-0.107842,-0.097767,0.0538471,0.0560162
1543463745,-0.0158261,-0.0180657,0.569355,-0.0278535,-0.106091,-0.109939,0.0865628,-0.0333467
1543463746,-0.0382307,-0.0921391,0.580745,-0.050435,-0.1543,-0.0766332,0.0782381,-0.135299
1543463747,0.0212249,-0.0938845,0.567987,-0.0753578,-0.133819,-0.0477267,0.0747471,-0.148217
1543463748,-0.0923004,-0.144178,0.561506,-0.057897,-0.152494,-0.0813975,0.098994,-0.0174017
1543463749,-0.106438,-0.179669,0.548048,0.0131848,-0.130875,-0.0892439,0.089725,-0.0176839
1543463750,0.0300986,-0.0493696,0.452126,0.0259655,-0.147436,-0.132104,0.125367,0.0253333
1543463751,-0.0620067,-0.121769,0.38884,0.0141966,-0.140408,-0.0710681,0.173241,0.0752027
1543463752,-0.0319735,-0.0771269,0.144447,-0.0687657,-0.0715122,-0.0681134,0.151943,0.0775594
1543463753,-0.00315771,-0.108944,0.249062,-0.0406827,-0.0826807,-0.0737792,0.168846,-0.00990283
1543463754,-0.0374857,-0.104619,0.266237,-0.0468562,-0.0439961,-0.0376276,0.145642,-0.0390329
1543463755,-0.11904,-0.183288,0.312994,0.0277537,-0.0510297,-0.0361035,0.215319,-0.0491587
1543463756,0.0687667,-0.106926,0.338625,0.0746061,0.0179601,0.0438712,0.105276,-0.0891888
1543463757,-0.0600533,-0.139318,0.276331,-0.00957516,-0.0166734,-0.0722111,0.136713,-0.0302746
1543463758,0.0585234,-0.0916819,0.171709,0.00456005,0.00683756,0.00950514,0.167667,0.0518576
1543463759,-0.042429,-0.165261,0.34692,0.0540303,-0.0439614,-0.00163177,0.1625,0.0598402
1543463760,0.104749,-0.0129039,0.201852,0.0838746,0.0125296,0.0304486,0.148498,-0.00193961
1543463761,-0.00112588,-0.0499762,0.177237,0.0610338,0.0285751,0.0675379,0.112048,-0.0280619
1543463762,-0.0628125,-0.115536,0.292896,0.114802,0.0155194,0.0761785,0.147478,-0.0849409
1543463763,-0.0266458,-0.170035,0.336261,-0.00886763,-0.030797,0.0515951,0.0734324,-0.0871962
1543463764,0.0981275,-0.0425941,0.14641,-0.0535383,-0.0160257,0.0746937,0.126506,-0.071987
1543463765,0.161572,-0.00394534,0.19392,-0.00345846,-0.0645989,0.144393,0.1654,-0.0638233
1543463766,0.130015,0.0184284,0.289772,-0.114367,-0.0438862,0.0884333,0.0754395,-0.0119152
1543463767,0.0921186,-0.0174037,0.157605,0.0468919,0.0251971,0.0758706,0.0834685,-0.047982
1543463768,0.161479,-0.0682884,0.16545,0.0492763,-0.0130449,0.115148,0.0827186,-0.00440548
1543463769,0.140089,-0.0527246,0.187079,-0.0510009,-0.00839043,0.152339,0.115985,-0.00678121
1543463770,0.180683,-0.0241096,0.309833,-0.0289762,0.0453438,0.125299,0.0865735,0.00287525
1543463771,0.201452,-0.0758602,0.361489,-0.00279687,-0.0194517,0.0689144,0.118334,-0.00466104
1543463772,0.161015,-0.0368362,0.327496,0.105855,0.0237806,0.0623157,0.15697,0.0239404
1543463773,0.161395,-0.106256,0.441211,0.177023,-0.020779,0.0881685,0.169449,-0.0100995
1543463774,0.175892,-0.0464284,0.493306,0.0236656,-0.0253285,0.0853135,0.110964,-0.129691
1543463775,0.121807,-0.0405256,0.454568,0.126618,0.0455261,0.047626,0.0916822,-0.0383687
1543463776,0.101291,-0.0782766,0.355614,0.0880824,-0.012428,0.0650113,0.104765,-0.0324356
1543463777,0.0811065,-0.0431461,0.261365,0.0620765,0.0375172,0.0429944,0.107433,-0.000252924
1543463778,0.097644,-0.118261,0.174783,0.0150649,0.107002,0.0253969,0.0990125,-0.109177
1543463779,0.163169,-0.0825707,0.267457,0.106712,0.00942133,0.0229198,0.14155,-0.129953
1543463780,0.0389746,-0.121748,0.268824,0.18046,0.0192691,-0.0510254,0.147498,-0.098038
1543463781,0.219867,-0.0365842,0.143845,0.0408287,0.0412802,-0.0215368,0.155693,-0.0137997
1543463782,0.220522,-0.0093662,0.19439,0.0998046,0.0887621,0.0288246,0.0936644,-0.103504
1543463783,0.229221,0.0477292,0.0900145,0.102563,0.0847557,0.0201452,0.0532747,-0.125339
1543463784,0.133761,-0.0457233,0.163021,0.156213,0.0815111,0.0468644,0.112347,-0.0998527
1543463785,0.08807,-0.0483117,0.146215,0.204533,0.0189144,-0.00882699,0.0634945,-0.167211
1543463786,0.114091,-0.0405194,0.278288,0.139348,0.0536234,0.0184069,0.0967144,-0.155742
1543463787,0.118671,-0.120283,0.237577,0.0771884,0.036222,0.0415613,0.151762,-0.14802
1543463788,0.174203,-0.124697,0.201889,-0.0134003,-0.00793162,0.00842569,0.181652,-0.143818
1543463789,0.202453,-0.100006,0.0687803,0.0312358,0.00361242,0.0332826,0.154498,-0.173894
1543463790,0.0780663,-0.135543,-0.0223505,0.0256675,0.00907297,0.0849937,0.105815,-0.161286
1543463791,0.153004,-0.108056,0.110767,-0.0552305,-0.0252938,0.0319197,0.0809228,-0.0354971
1543463792,0.215781,-0.0717588,0.106874,-0.02316,-0.0115936,0.0287943,0.0455134,-0.0376809
1543463793,0.218499,-0.115881,0.238477,-0.0297184,-0.0254714,0.0283102,0.123216,-0.0784667
1543463794,0.178952,-0.123446,0.128195,-0.016333,-0.0431687,0.0511108,0.137813,-0.125899
1543463795,0.185127,-0.112009,0.269439,0.00844273,-0.0508932,0.10152,0.00157317,-0.0842595
1543463796,0.0734362,-0.172269,0.344467,0.0219469,-0.0586244,0.156739,-0.0061465,0.0108416
1543463797,0.149952,-0.0572936,0.258186,-0.00224578,-0.0723301,0.211689,0.0138458,0.00410661
1543463798,0.0814489,-0.0903827,0.209571,-0.026263,-0.0550232,0.10269,0.0154482,0.000675956
