#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306552:6381,96:0,1510470467,FLAT TOP,2510,0.103722643,0,0.0,BCM1F
306552:6381,97:0,1510470489,FLAT TOP,2510,0.109071056,0,0.0,BCM1F
306552:6381,98:0,1510470512,ADJUST,2510,0.113266579,0,0.0,BCM1F
306552:6381,99:0,1510470536,ADJUST,2510,0.111971058,0,0.0,BCM1F
306552:6381,100:0,1510470559,ADJUST,2510,0.115536659,0,0.0,BCM1F
306552:6381,101:0,1510470582,ADJUST,2510,0.108892783,0,0.0,BCM1F
306552:6381,102:0,1510470606,ADJUST,2510,0.113052604,0,0.0,BCM1F
306553:6381,1:1,1510470620,ADJUST,2510,0.112807723,0.110985952,0.0,BCM1F
306553:6381,2:2,1510470644,ADJUST,2510,135.341570256,129.346704403,1.9,BCM1F
306553:6381,3:3,1510470667,ADJUST,2510,224.835202760,220.924414487,3.1,BCM1F
306553:6381,4:4,1510470690,ADJUST,2510,221.868049398,217.981971839,3.1,BCM1F
306553:6381,5:5,1510470714,ADJUST,2510,218.192224891,214.380997988,3.0,BCM1F
306553:6381,6:6,1510470737,ADJUST,2510,188.556904478,185.342238617,2.6,BCM1F
306553:6381,7:7,1510470760,ADJUST,2510,205.420384945,201.865043055,2.9,BCM1F
306553:6381,8:8,1510470784,ADJUST,2510,204.490298636,200.955809410,2.8,BCM1F
306553:6381,9:9,1510470807,ADJUST,2510,206.711723823,203.130623614,2.9,BCM1F
306553:6381,10:10,1510470830,ADJUST,2510,222.438570791,218.531553956,3.1,BCM1F
306553:6381,11:11,1510470854,ADJUST,2510,222.176984759,218.282528078,3.1,BCM1F
306553:6381,12:12,1510470877,ADJUST,2510,221.770331981,217.874735165,3.1,BCM1F
306553:6381,13:13,1510470900,ADJUST,2510,221.304730237,217.423830037,3.1,BCM1F
306553:6381,14:14,1510470923,ADJUST,2510,221.059759256,217.180616915,3.1,BCM1F
306553:6381,15:15,1510470947,ADJUST,2510,220.775734587,213.794824873,3.1,BCM1F
306553:6381,16:16,1510470970,ADJUST,2510,220.443409797,216.575682604,3.1,BCM1F
306553:6381,17:17,1510470993,ADJUST,2510,220.245859455,216.397596040,3.1,BCM1F
306553:6381,18:18,1510471017,STABLE BEAMS,2510,219.731387118,211.859366281,3.1,BCM1F
306553:6381,19:19,1510471040,STABLE BEAMS,2510,219.556370494,21.740394225,3.1,BCM1F
306553:6381,20:20,1510471063,STABLE BEAMS,2510,219.193501584,193.369408023,3.0,BCM1F
306553:6381,21:21,1510471087,STABLE BEAMS,2510,218.798091894,209.549466167,3.0,BCM1F
306553:6381,22:22,1510471110,STABLE BEAMS,2510,218.551457031,209.417450510,3.0,BCM1F
306553:6381,23:23,1510471133,STABLE BEAMS,2510,218.081125108,209.082754165,3.0,BCM1F
306553:6381,24:24,1510471157,STABLE BEAMS,2510,217.855550239,208.861370700,3.0,BCM1F
306553:6381,25:25,1510471180,STABLE BEAMS,2510,217.634729318,208.673213881,3.0,BCM1F
306553:6381,26:26,1510471203,STABLE BEAMS,2510,217.399171156,208.465300476,3.0,BCM1F
306553:6381,27:27,1510471227,STABLE BEAMS,2510,217.023609202,208.142534892,3.0,BCM1F
306553:6381,28:28,1510471250,STABLE BEAMS,2510,216.719879414,207.819875509,3.0,BCM1F
306553:6381,29:29,1510471273,STABLE BEAMS,2510,216.384131782,204.581388335,3.0,BCM1F
306553:6381,30:30,1510471296,STABLE BEAMS,2510,216.140349288,150.565445780,3.0,BCM1F
306553:6381,31:31,1510471320,STABLE BEAMS,2510,215.759962077,60.723925207,3.0,BCM1F
306553:6381,32:32,1510471343,STABLE BEAMS,2510,215.713373379,26.856284230,3.0,BCM1F
306553:6381,33:33,1510471366,STABLE BEAMS,2510,215.332843548,20.937380812,3.0,BCM1F
306553:6381,34:34,1510471390,STABLE BEAMS,2510,215.087420943,62.482507998,3.0,BCM1F
306553:6381,35:35,1510471413,STABLE BEAMS,2510,214.852528333,205.234185225,3.0,BCM1F
306553:6381,36:36,1510471436,STABLE BEAMS,2510,214.657735282,205.270177154,3.0,BCM1F
306553:6381,37:37,1510471460,STABLE BEAMS,2510,214.444948535,205.024800219,3.0,BCM1F
306553:6381,38:38,1510471483,STABLE BEAMS,2510,214.170384223,204.769793551,3.0,BCM1F
306553:6381,39:39,1510471506,STABLE BEAMS,2510,213.916927443,204.550812604,3.0,BCM1F
306553:6381,40:40,1510471530,STABLE BEAMS,2510,213.590307393,204.251120784,3.0,BCM1F
306553:6381,41:41,1510471553,STABLE BEAMS,2510,213.236827531,203.937182018,3.0,BCM1F
306553:6381,42:42,1510471576,STABLE BEAMS,2510,213.010040404,203.678350908,3.0,BCM1F
306553:6381,43:43,1510471599,STABLE BEAMS,2510,212.954133967,200.732668309,3.0,BCM1F
306553:6381,44:44,1510471623,STABLE BEAMS,2510,212.524020451,203.261334682,3.0,BCM1F
306553:6381,45:45,1510471646,STABLE BEAMS,2510,212.301107792,203.084124259,2.9,BCM1F
306553:6381,46:46,1510471669,STABLE BEAMS,2510,212.055922884,202.844400192,2.9,BCM1F
306553:6381,47:47,1510471693,STABLE BEAMS,2510,211.723574325,202.554792990,2.9,BCM1F
306553:6381,48:48,1510471716,STABLE BEAMS,2510,211.463747254,202.371970916,2.9,BCM1F
306553:6381,49:49,1510471739,STABLE BEAMS,2510,211.230922613,199.242576365,2.9,BCM1F
306553:6381,50:50,1510471763,STABLE BEAMS,2510,210.851557500,201.742729134,2.9,BCM1F
306553:6381,51:51,1510471786,STABLE BEAMS,2510,210.677990830,201.551180071,2.9,BCM1F
306553:6381,52:52,1510471809,STABLE BEAMS,2510,210.476304553,201.409734503,2.9,BCM1F
306553:6381,53:53,1510471833,STABLE BEAMS,2510,210.178065576,201.815132645,2.9,BCM1F
306553:6381,54:54,1510471856,STABLE BEAMS,2510,209.911012503,201.604759446,2.9,BCM1F
306553:6381,55:55,1510471879,STABLE BEAMS,2510,209.683322126,201.347030107,2.9,BCM1F
306553:6381,56:56,1510471903,STABLE BEAMS,2510,209.545624000,201.269385656,2.9,BCM1F
306553:6381,57:57,1510471926,STABLE BEAMS,2510,209.294045031,201.043227545,2.9,BCM1F
306553:6381,58:58,1510471949,STABLE BEAMS,2510,208.997921561,200.739159287,2.9,BCM1F
306553:6381,59:59,1510471973,STABLE BEAMS,2510,208.760461819,200.537579017,2.9,BCM1F
306553:6381,60:60,1510471996,STABLE BEAMS,2510,208.648672714,200.438775873,2.9,BCM1F
306553:6381,61:61,1510472019,STABLE BEAMS,2510,208.313400476,200.136565327,2.9,BCM1F
306553:6381,62:62,1510472042,STABLE BEAMS,2510,207.908316500,199.760714503,2.9,BCM1F
306553:6381,63:63,1510472066,STABLE BEAMS,2510,207.616115039,199.715369847,2.9,BCM1F
306553:6381,64:64,1510472089,STABLE BEAMS,2510,207.268149758,199.409321754,2.9,BCM1F
306553:6381,65:65,1510472112,STABLE BEAMS,2510,206.869222146,199.029081910,2.9,BCM1F
306553:6381,66:66,1510472136,STABLE BEAMS,2510,206.656102622,198.821732924,2.9,BCM1F
306553:6381,67:67,1510472159,STABLE BEAMS,2510,206.374288538,198.588621364,2.9,BCM1F
306553:6381,68:68,1510472182,STABLE BEAMS,2510,206.214413241,198.428783952,2.9,BCM1F
306553:6381,69:69,1510472206,STABLE BEAMS,2510,205.910683453,198.160021662,2.9,BCM1F
306553:6381,70:70,1510472229,STABLE BEAMS,2510,205.715771553,197.976086587,2.9,BCM1F
306553:6381,71:71,1510472252,STABLE BEAMS,2510,205.417485037,192.036707605,2.9,BCM1F
306553:6381,72:72,1510472276,STABLE BEAMS,2510,205.107979201,197.417879912,2.8,BCM1F
306553:6381,73:73,1510472299,STABLE BEAMS,2510,204.794456279,197.141070009,2.8,BCM1F
306553:6381,74:74,1510472322,STABLE BEAMS,2510,204.543519093,196.903219950,2.8,BCM1F
306553:6381,75:75,1510472346,STABLE BEAMS,2510,204.301685718,196.685956510,2.8,BCM1F
306553:6381,76:76,1510472369,STABLE BEAMS,2510,204.183050927,196.528145624,2.8,BCM1F
306553:6381,77:77,1510472392,STABLE BEAMS,2510,203.857381665,196.250378948,2.8,BCM1F
306553:6381,78:78,1510472415,STABLE BEAMS,2510,203.627623321,196.007841824,2.8,BCM1F
306553:6381,79:79,1510472439,STABLE BEAMS,2510,203.237466744,187.263311400,2.8,BCM1F
306553:6381,80:80,1510472462,STABLE BEAMS,2510,203.116526287,195.559702397,2.8,BCM1F
306553:6381,81:81,1510472485,STABLE BEAMS,2510,202.879256704,195.347352436,2.8,BCM1F
306553:6381,82:82,1510472509,STABLE BEAMS,2510,202.558056154,195.012778173,2.8,BCM1F
306553:6381,83:83,1510472532,STABLE BEAMS,2510,202.373674251,194.855288089,2.8,BCM1F
306553:6381,84:84,1510472555,STABLE BEAMS,2510,202.164215268,194.671048468,2.8,BCM1F
306553:6381,85:85,1510472579,STABLE BEAMS,2510,201.795784237,194.297714091,2.8,BCM1F
306553:6381,86:86,1510472602,STABLE BEAMS,2510,201.492482305,194.039015308,2.8,BCM1F
306553:6381,87:87,1510472625,STABLE BEAMS,2510,201.273111338,193.858532480,2.8,BCM1F
306553:6381,88:88,1510472649,STABLE BEAMS,2510,201.108553401,193.656083247,2.8,BCM1F
306553:6381,89:89,1510472672,STABLE BEAMS,2510,200.880340090,193.461039926,2.8,BCM1F
306553:6381,90:90,1510472695,STABLE BEAMS,2510,200.647967074,193.240786395,2.8,BCM1F
306553:6381,91:91,1510472718,STABLE BEAMS,2510,200.545424398,190.409053246,2.8,BCM1F
306553:6381,92:92,1510472742,STABLE BEAMS,2510,200.264370946,192.932137303,2.8,BCM1F
306553:6381,93:93,1510472765,STABLE BEAMS,2510,200.022347414,192.692177744,2.8,BCM1F
306553:6381,94:94,1510472788,STABLE BEAMS,2510,199.770245510,193.279717650,2.8,BCM1F
306553:6381,95:95,1510472812,STABLE BEAMS,2510,199.600006604,193.072113364,2.8,BCM1F
306553:6381,96:96,1510472835,STABLE BEAMS,2510,199.430670949,192.935394383,2.8,BCM1F
306553:6381,97:97,1510472858,STABLE BEAMS,2510,199.147680263,192.686344437,2.8,BCM1F
306553:6381,98:98,1510472882,STABLE BEAMS,2510,199.003647500,192.534097244,2.8,BCM1F
306553:6381,99:99,1510472905,STABLE BEAMS,2510,198.887163870,192.425269508,2.8,BCM1F
306553:6381,100:100,1510472928,STABLE BEAMS,2510,198.517437388,192.102074073,2.8,BCM1F
306553:6381,101:101,1510472952,STABLE BEAMS,2510,198.324379528,189.132398715,2.8,BCM1F
306553:6381,102:102,1510472975,STABLE BEAMS,2510,198.104259815,191.675372566,2.8,BCM1F
306553:6381,103:103,1510472998,STABLE BEAMS,2510,197.805937644,191.403298196,2.7,BCM1F
306553:6381,104:104,1510473021,STABLE BEAMS,2510,197.656402185,191.285287452,2.7,BCM1F
306553:6381,105:105,1510473045,STABLE BEAMS,2510,197.393080962,191.015121961,2.7,BCM1F
306553:6381,106:106,1510473068,STABLE BEAMS,2510,197.212573527,190.843057925,2.7,BCM1F
306553:6381,107:107,1510473091,STABLE BEAMS,2510,197.001379352,190.644266787,2.7,BCM1F
