#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306629:6386,320:320,1510667227,STABLE BEAMS,2510,1083.509942946,1055.212227815,4.2,BCM1FSI
306629:6386,321:321,1510667251,STABLE BEAMS,2510,1083.378424201,1055.042566073,4.2,BCM1FSI
306629:6386,322:322,1510667274,STABLE BEAMS,2510,1083.514307067,1055.244706560,4.2,BCM1FSI
306629:6386,323:323,1510667297,STABLE BEAMS,2510,1082.891328757,1053.179622271,4.2,BCM1FSI
306629:6386,324:324,1510667321,STABLE BEAMS,2510,1081.871314596,1053.541357191,4.2,BCM1FSI
306629:6386,325:325,1510667344,STABLE BEAMS,2510,1081.541823441,1053.444320332,4.2,BCM1FSI
306629:6386,326:326,1510667367,STABLE BEAMS,2510,1080.741602297,1051.075524189,4.2,BCM1FSI
306629:6386,327:327,1510667390,STABLE BEAMS,2510,1079.352026413,1051.410644082,4.2,BCM1FSI
306629:6386,328:328,1510667414,STABLE BEAMS,2510,1078.493385554,1050.628222890,4.2,BCM1FSI
306629:6386,329:329,1510667437,STABLE BEAMS,2510,1077.894608280,1049.807810804,4.2,BCM1FSI
306629:6386,330:330,1510667460,STABLE BEAMS,2510,1077.692668487,1049.689990066,4.2,BCM1FSI
306629:6386,331:331,1510667484,STABLE BEAMS,2510,1075.962889514,1048.037973269,4.2,BCM1FSI
306629:6386,332:332,1510667507,STABLE BEAMS,2510,1076.993714793,1047.626190053,4.2,BCM1FSI
306629:6386,333:333,1510667530,STABLE BEAMS,2510,1076.847814284,1048.906606469,4.2,BCM1FSI
306629:6386,334:334,1510667554,STABLE BEAMS,2510,1075.271870586,1047.396243260,4.2,BCM1FSI
306629:6386,335:335,1510667577,STABLE BEAMS,2510,1075.541751812,1047.764682662,4.2,BCM1FSI
306629:6386,336:336,1510667600,STABLE BEAMS,2510,1073.505790058,1045.734238247,4.2,BCM1FSI
306629:6386,337:337,1510667624,STABLE BEAMS,2510,1073.874161567,1045.941743349,4.2,BCM1FSI
306629:6386,338:338,1510667647,STABLE BEAMS,2510,1072.693765950,1045.043878823,4.2,BCM1FSI
306629:6386,339:339,1510667670,STABLE BEAMS,2510,1070.981939384,1043.168196469,4.2,BCM1FSI
306629:6386,340:340,1510667694,STABLE BEAMS,2510,1071.547390641,1043.731666760,4.2,BCM1FSI
306629:6386,341:341,1510667717,STABLE BEAMS,2510,1070.373640391,1042.665139736,4.2,BCM1FSI
306629:6386,342:342,1510667740,STABLE BEAMS,2510,1070.068350272,1042.350302493,4.2,BCM1FSI
306629:6386,343:343,1510667764,STABLE BEAMS,2510,1070.044645158,1042.291827671,4.2,BCM1FSI
306629:6386,344:344,1510667787,STABLE BEAMS,2510,1069.574411092,1042.022185605,4.2,BCM1FSI
306629:6386,345:345,1510667810,STABLE BEAMS,2510,1069.346584125,1041.259229075,4.2,BCM1FSI
306629:6386,346:346,1510667833,STABLE BEAMS,2510,1068.082675097,1037.541306049,4.2,BCM1FSI
306629:6386,347:347,1510667857,STABLE BEAMS,2510,1066.973097266,1039.343437925,4.2,BCM1FSI
306629:6386,348:348,1510667880,STABLE BEAMS,2510,1067.146769455,1039.615592387,4.2,BCM1FSI
306629:6386,349:349,1510667903,STABLE BEAMS,2510,1067.201023417,1039.775228202,4.2,BCM1FSI
306629:6386,350:350,1510667927,STABLE BEAMS,2510,1065.807182597,1038.438921773,4.2,BCM1FSI
306629:6386,351:351,1510667950,STABLE BEAMS,2510,1064.361468244,1021.278396943,4.2,BCM1FSI
306629:6386,352:352,1510667973,STABLE BEAMS,2510,1064.778341009,1035.791405899,4.2,BCM1FSI
306629:6386,353:353,1510667997,STABLE BEAMS,2510,1063.105394797,1033.767058500,4.1,BCM1FSI
306629:6386,354:354,1510668020,STABLE BEAMS,2510,1062.794252787,1033.598714544,4.1,BCM1FSI
306629:6386,355:355,1510668043,STABLE BEAMS,2510,1061.696676290,1031.063546882,4.1,BCM1FSI
306629:6386,356:356,1510668067,STABLE BEAMS,2510,1060.662280366,1031.577115710,4.1,BCM1FSI
306629:6386,357:357,1510668090,STABLE BEAMS,2510,1060.981952248,1032.058946028,4.1,BCM1FSI
306629:6386,358:358,1510668113,STABLE BEAMS,2510,1061.706396378,1032.898965352,4.1,BCM1FSI
306629:6386,359:359,1510668136,STABLE BEAMS,2510,1060.236084251,1031.374991172,4.1,BCM1FSI
306629:6386,360:360,1510668160,STABLE BEAMS,2510,1060.162390112,1032.272449464,4.1,BCM1FSI
306629:6386,361:361,1510668183,STABLE BEAMS,2510,1059.238386619,1030.774290308,4.1,BCM1FSI
306629:6386,362:362,1510668206,STABLE BEAMS,2510,1058.687813048,1015.081757341,4.1,BCM1FSI
306629:6386,363:363,1510668230,STABLE BEAMS,2510,1057.860415331,1029.193965967,4.1,BCM1FSI
306629:6386,364:364,1510668253,STABLE BEAMS,2510,1056.129148589,1027.462517400,4.1,BCM1FSI
306629:6386,365:365,1510668276,STABLE BEAMS,2510,1056.829986790,1026.350126315,4.1,BCM1FSI
306629:6386,366:366,1510668300,STABLE BEAMS,2510,1056.219803289,1027.359296897,4.1,BCM1FSI
306629:6386,367:367,1510668323,STABLE BEAMS,2510,1056.550286291,1027.947064360,4.1,BCM1FSI
306629:6386,368:368,1510668346,STABLE BEAMS,2510,1054.869405312,1026.152936848,4.1,BCM1FSI
306629:6386,369:369,1510668370,STABLE BEAMS,2510,1054.884282998,1026.164723538,4.1,BCM1FSI
306629:6386,370:370,1510668393,STABLE BEAMS,2510,1054.963432289,1026.591389791,4.1,BCM1FSI
306629:6386,371:371,1510668416,STABLE BEAMS,2510,1054.250989492,1023.867981988,4.1,BCM1FSI
306629:6386,372:372,1510668440,STABLE BEAMS,2510,1052.590143798,1024.209229078,4.1,BCM1FSI
306629:6386,373:373,1510668463,STABLE BEAMS,2510,1051.262161535,1022.830648736,4.1,BCM1FSI
306629:6386,374:374,1510668486,STABLE BEAMS,2510,1052.151946350,1023.578631165,4.1,BCM1FSI
306629:6386,375:375,1510668509,STABLE BEAMS,2510,1050.249189479,1021.751143694,4.1,BCM1FSI
306629:6386,376:376,1510668533,STABLE BEAMS,2510,1050.241750636,1021.690967266,4.1,BCM1FSI
306629:6386,377:377,1510668556,STABLE BEAMS,2510,1049.840251480,1021.197293863,4.1,BCM1FSI
306629:6386,378:378,1510668579,STABLE BEAMS,2510,1048.450576411,1019.999776786,4.1,BCM1FSI
306629:6386,379:379,1510668603,STABLE BEAMS,2510,1047.801710927,1019.343424206,4.1,BCM1FSI
306629:6386,380:380,1510668626,STABLE BEAMS,2510,1048.633571951,1020.570212860,4.1,BCM1FSI
306629:6386,381:381,1510668649,STABLE BEAMS,2510,1047.862808625,1021.205715520,4.1,BCM1FSI
306629:6386,382:382,1510668673,STABLE BEAMS,2510,1047.139951448,1020.606495700,4.1,BCM1FSI
306629:6386,383:383,1510668696,STABLE BEAMS,2510,1045.534054008,1019.001647585,4.1,BCM1FSI
306629:6386,384:384,1510668719,STABLE BEAMS,2510,1045.481882922,1018.966032703,4.1,BCM1FSI
306629:6386,385:385,1510668743,STABLE BEAMS,2510,1044.937855533,1018.445694455,4.1,BCM1FSI
306629:6386,386:386,1510668766,STABLE BEAMS,2510,1045.833988160,1019.368608635,4.1,BCM1FSI
306629:6386,387:387,1510668789,STABLE BEAMS,2510,1043.940753009,1017.452789157,4.1,BCM1FSI
306629:6386,388:388,1510668812,STABLE BEAMS,2510,1044.030713418,1017.245909535,4.1,BCM1FSI
306629:6386,389:389,1510668836,STABLE BEAMS,2510,1043.802688082,1002.892683681,4.1,BCM1FSI
306629:6386,390:390,1510668859,STABLE BEAMS,2510,1041.531162964,1014.384561746,4.1,BCM1FSI
306629:6386,391:391,1510668882,STABLE BEAMS,2510,1041.197010134,1013.412524960,4.1,BCM1FSI
306629:6386,392:392,1510668906,STABLE BEAMS,2510,1041.979873978,999.583318774,4.1,BCM1FSI
306629:6386,393:393,1510668929,STABLE BEAMS,2510,1040.579288606,1012.749874600,4.1,BCM1FSI
306629:6386,394:394,1510668952,STABLE BEAMS,2510,1040.877933359,1013.056897646,4.1,BCM1FSI
306629:6386,395:395,1510668976,STABLE BEAMS,2510,1040.140694419,1012.109162470,4.1,BCM1FSI
306629:6386,396:396,1510668999,STABLE BEAMS,2510,1038.138356236,1010.293888028,4.0,BCM1FSI
306629:6386,397:397,1510669022,STABLE BEAMS,2510,1039.023876114,996.637343869,4.1,BCM1FSI
306629:6386,398:398,1510669046,STABLE BEAMS,2510,1037.896544244,1010.240774813,4.0,BCM1FSI
306629:6386,399:399,1510669069,STABLE BEAMS,2510,1037.035225402,1009.450482960,4.0,BCM1FSI
306629:6386,400:400,1510669092,STABLE BEAMS,2510,1036.664175910,1008.734570715,4.0,BCM1FSI
306629:6386,401:401,1510669115,STABLE BEAMS,2510,1036.127388995,1008.335186697,4.0,BCM1FSI
306629:6386,402:402,1510669139,STABLE BEAMS,2510,1033.567831874,1007.291764540,4.0,BCM1FSI
306629:6386,403:403,1510669162,STABLE BEAMS,2510,1034.726208516,1007.164180448,4.0,BCM1FSI
306629:6386,404:404,1510669185,STABLE BEAMS,2510,1035.148933171,1007.264998633,4.0,BCM1FSI
306629:6386,405:405,1510669209,STABLE BEAMS,2510,1034.037173279,1006.429513942,4.0,BCM1FSI
306629:6386,406:406,1510669232,STABLE BEAMS,2510,1032.297376664,998.846429895,4.0,BCM1FSI
306629:6386,407:407,1510669255,STABLE BEAMS,2510,1032.439508159,998.580288258,4.0,BCM1FSI
306629:6386,408:408,1510669279,STABLE BEAMS,2510,1032.484537955,998.492186125,4.0,BCM1FSI
306629:6386,409:409,1510669302,STABLE BEAMS,2510,1030.961062896,997.368250276,4.0,BCM1FSI
306629:6386,410:410,1510669325,STABLE BEAMS,2510,1031.439529282,997.497140059,4.0,BCM1FSI
306629:6386,411:411,1510669349,STABLE BEAMS,2510,1029.731868469,996.244593105,4.0,BCM1FSI
306629:6386,412:412,1510669372,STABLE BEAMS,2510,1030.520980941,967.835644208,4.0,BCM1FSI
306629:6386,413:413,1510669395,STABLE BEAMS,2510,1028.957633683,724.958477188,4.0,BCM1FSI
306629:6386,414:414,1510669419,STABLE BEAMS,2510,1030.398686361,997.408902932,4.0,BCM1FSI
306629:6386,415:415,1510669442,STABLE BEAMS,2510,1028.499500135,995.659174349,4.0,BCM1FSI
306629:6386,416:416,1510669465,STABLE BEAMS,2510,1028.396447362,995.562273898,4.0,BCM1FSI
306629:6386,417:417,1510669488,STABLE BEAMS,2510,1027.447548541,994.369978984,4.0,BCM1FSI
306629:6386,418:418,1510669512,STABLE BEAMS,2510,1027.728637625,994.607618848,4.0,BCM1FSI
306629:6386,419:419,1510669535,STABLE BEAMS,2510,1026.845398992,994.311494926,4.0,BCM1FSI
306629:6386,420:420,1510669558,STABLE BEAMS,2510,1026.865037537,992.715807125,4.0,BCM1FSI
306629:6386,421:421,1510669582,STABLE BEAMS,2510,1023.928182297,991.002520796,4.0,BCM1FSI
306629:6386,422:422,1510669605,STABLE BEAMS,2510,1024.703012190,992.169484516,4.0,BCM1FSI
306629:6386,423:423,1510669628,STABLE BEAMS,2510,1023.905369845,993.518081598,4.0,BCM1FSI
306629:6386,424:424,1510669652,STABLE BEAMS,2510,1024.211255071,994.984752534,4.0,BCM1FSI
306629:6386,425:425,1510669675,STABLE BEAMS,2510,1023.118141879,993.842954335,4.0,BCM1FSI
306629:6386,426:426,1510669698,STABLE BEAMS,2510,1022.735091054,993.691747895,4.0,BCM1FSI
306629:6386,427:427,1510669722,STABLE BEAMS,2510,1023.070136546,993.944739656,4.0,BCM1FSI
306629:6386,428:428,1510669745,STABLE BEAMS,2510,1022.047246032,992.953474711,4.0,BCM1FSI
306629:6386,429:429,1510669768,STABLE BEAMS,2510,1020.271941339,991.172870357,4.0,BCM1FSI
306629:6386,430:430,1510669792,STABLE BEAMS,2510,1020.049172786,991.033864741,4.0,BCM1FSI
306629:6386,431:431,1510669815,STABLE BEAMS,2510,1021.359599380,992.257338070,4.0,BCM1FSI
306629:6386,432:432,1510669838,STABLE BEAMS,2510,1020.106303101,989.904513784,4.0,BCM1FSI
306629:6386,433:433,1510669861,STABLE BEAMS,2510,1020.043221711,987.652353039,4.0,BCM1FSI
306629:6386,434:434,1510669885,STABLE BEAMS,2510,1017.852135284,985.202109832,4.0,BCM1FSI
306629:6386,435:435,1510669908,STABLE BEAMS,2510,1018.761657829,986.106355547,4.0,BCM1FSI
306629:6386,436:436,1510669931,STABLE BEAMS,2510,1017.564301650,987.483829406,4.0,BCM1FSI
306629:6386,437:437,1510669955,STABLE BEAMS,2510,1017.327746440,988.490924456,4.0,BCM1FSI
306629:6386,438:438,1510669978,STABLE BEAMS,2510,1017.064708950,986.685297048,4.0,BCM1FSI
306629:6386,439:439,1510670001,STABLE BEAMS,2510,1015.650634476,986.967804624,4.0,BCM1FSI
306629:6386,440:440,1510670025,STABLE BEAMS,2510,1015.161059418,986.445089781,4.0,BCM1FSI
306629:6386,441:441,1510670048,STABLE BEAMS,2510,1013.778922377,984.888332317,4.0,BCM1FSI
306629:6386,442:442,1510670071,STABLE BEAMS,2510,1014.890979822,986.269424150,4.0,BCM1FSI
306629:6386,443:443,1510670095,STABLE BEAMS,2510,1013.371868884,984.470177412,4.0,BCM1FSI
306629:6386,444:444,1510670118,STABLE BEAMS,2510,1012.737881086,984.032836943,3.9,BCM1FSI
306629:6386,445:445,1510670141,STABLE BEAMS,2510,1013.284983198,984.678247292,4.0,BCM1FSI
306629:6386,446:446,1510670165,STABLE BEAMS,2510,1013.208809445,984.576345618,4.0,BCM1FSI
306629:6386,447:447,1510670188,STABLE BEAMS,2510,1010.947599523,982.349643346,3.9,BCM1FSI
306629:6386,448:448,1510670211,STABLE BEAMS,2510,1011.338089191,982.628359994,3.9,BCM1FSI
306629:6386,449:449,1510670234,STABLE BEAMS,2510,1010.953451413,982.354233762,3.9,BCM1FSI
306629:6386,450:450,1510670258,STABLE BEAMS,2510,1010.561473976,982.100636829,3.9,BCM1FSI
306629:6386,451:451,1510670281,STABLE BEAMS,2510,1009.995526796,981.400582844,3.9,BCM1FSI
306629:6386,452:452,1510670304,STABLE BEAMS,2510,1009.615451507,980.989875326,3.9,BCM1FSI
306629:6386,453:453,1510670328,STABLE BEAMS,2510,1008.984141693,980.686667856,3.9,BCM1FSI
306629:6386,454:454,1510670351,STABLE BEAMS,2510,1010.615529569,618.391518066,3.9,BCM1FSI
306629:6386,455:455,1510670374,STABLE BEAMS,2510,1008.085430266,847.866864054,3.9,BCM1FSI
306629:6386,456:456,1510670398,STABLE BEAMS,2510,1008.195425959,978.737016723,3.9,BCM1FSI
