#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306552:6381,96:0,1510470467,FLAT TOP,2510,-0.917972362,0,-0.0,BCM1FSI
306552:6381,97:0,1510470489,FLAT TOP,2510,-1.281000150,0,-0.0,BCM1FSI
306552:6381,98:0,1510470512,ADJUST,2510,-0.604149605,0,-0.0,BCM1FSI
306552:6381,99:0,1510470536,ADJUST,2510,-0.839471456,0,-0.0,BCM1FSI
306552:6381,100:0,1510470559,ADJUST,2510,-1.103496989,0,-0.0,BCM1FSI
306552:6381,101:0,1510470582,ADJUST,2510,-0.724176128,0,-0.0,BCM1FSI
306552:6381,102:0,1510470606,ADJUST,2510,-0.243586210,0,-0.0,BCM1FSI
306553:6381,1:1,1510470620,ADJUST,2510,-0.330808661,-0.325466319,-0.0,BCM1FSI
306553:6381,2:2,1510470644,ADJUST,2510,215.479477729,205.934955963,3.0,BCM1FSI
306553:6381,3:3,1510470667,ADJUST,2510,371.296620942,364.838279663,5.2,BCM1FSI
306553:6381,4:4,1510470690,ADJUST,2510,370.549757741,364.059480741,5.1,BCM1FSI
306553:6381,5:5,1510470714,ADJUST,2510,369.980234527,363.517682416,5.1,BCM1FSI
306553:6381,6:6,1510470737,ADJUST,2510,319.234142587,313.791588773,4.4,BCM1FSI
306553:6381,7:7,1510470760,ADJUST,2510,348.554833774,342.522172497,4.8,BCM1FSI
306553:6381,8:8,1510470784,ADJUST,2510,347.399877629,341.395284096,4.8,BCM1FSI
306553:6381,9:9,1510470807,ADJUST,2510,351.326872479,345.240441031,4.9,BCM1FSI
306553:6381,10:10,1510470830,ADJUST,2510,379.712514069,373.043062905,5.3,BCM1FSI
306553:6381,11:11,1510470854,ADJUST,2510,379.394791300,372.744522905,5.3,BCM1FSI
306553:6381,12:12,1510470877,ADJUST,2510,379.020354483,372.362518546,5.3,BCM1FSI
306553:6381,13:13,1510470900,ADJUST,2510,378.641996082,372.001958172,5.3,BCM1FSI
306553:6381,14:14,1510470923,ADJUST,2510,377.700443606,371.072580679,5.2,BCM1FSI
306553:6381,15:15,1510470947,ADJUST,2510,377.235512514,365.307358097,5.2,BCM1FSI
306553:6381,16:16,1510470970,ADJUST,2510,375.525255103,368.936583469,5.2,BCM1FSI
306553:6381,17:17,1510470993,ADJUST,2510,376.404881299,369.828116869,5.2,BCM1FSI
306553:6381,18:18,1510471017,STABLE BEAMS,2510,376.006220013,362.535550948,5.2,BCM1FSI
306553:6381,19:19,1510471040,STABLE BEAMS,2510,375.398895707,37.171866004,5.2,BCM1FSI
306553:6381,20:20,1510471063,STABLE BEAMS,2510,374.978293407,330.800548801,5.2,BCM1FSI
306553:6381,21:21,1510471087,STABLE BEAMS,2510,374.499090728,358.668962160,5.2,BCM1FSI
306553:6381,22:22,1510471110,STABLE BEAMS,2510,374.104624048,358.469523180,5.2,BCM1FSI
306553:6381,23:23,1510471133,STABLE BEAMS,2510,373.577419194,358.163026076,5.2,BCM1FSI
306553:6381,24:24,1510471157,STABLE BEAMS,2510,372.801963177,357.410811630,5.2,BCM1FSI
306553:6381,25:25,1510471180,STABLE BEAMS,2510,370.634394460,355.372832771,5.1,BCM1FSI
306553:6381,26:26,1510471203,STABLE BEAMS,2510,370.981156807,355.735939165,5.2,BCM1FSI
306553:6381,27:27,1510471227,STABLE BEAMS,2510,371.011089911,355.828515668,5.2,BCM1FSI
306553:6381,28:28,1510471250,STABLE BEAMS,2510,370.448913462,355.235741577,5.1,BCM1FSI
306553:6381,29:29,1510471273,STABLE BEAMS,2510,371.414094723,351.155191095,5.2,BCM1FSI
306553:6381,30:30,1510471296,STABLE BEAMS,2510,370.845911797,258.334828316,5.2,BCM1FSI
306553:6381,31:31,1510471320,STABLE BEAMS,2510,368.818179818,103.800943191,5.1,BCM1FSI
306553:6381,32:32,1510471343,STABLE BEAMS,2510,369.239501903,45.970265343,5.1,BCM1FSI
306553:6381,33:33,1510471366,STABLE BEAMS,2510,368.439920698,35.824386093,5.1,BCM1FSI
306553:6381,34:34,1510471390,STABLE BEAMS,2510,367.850094600,106.859789276,5.1,BCM1FSI
306553:6381,35:35,1510471413,STABLE BEAMS,2510,368.813836292,352.303078666,5.1,BCM1FSI
306553:6381,36:36,1510471436,STABLE BEAMS,2510,366.929366232,350.882561536,5.1,BCM1FSI
306553:6381,37:37,1510471460,STABLE BEAMS,2510,367.472307062,351.329965366,5.1,BCM1FSI
306553:6381,38:38,1510471483,STABLE BEAMS,2510,366.702584500,350.606890842,5.1,BCM1FSI
306553:6381,39:39,1510471506,STABLE BEAMS,2510,365.954703673,349.931783833,5.1,BCM1FSI
306553:6381,40:40,1510471530,STABLE BEAMS,2510,365.354527571,349.379485665,5.1,BCM1FSI
306553:6381,41:41,1510471553,STABLE BEAMS,2510,365.520698490,349.579676655,5.1,BCM1FSI
306553:6381,42:42,1510471576,STABLE BEAMS,2510,364.244322160,348.287257842,5.1,BCM1FSI
306553:6381,43:43,1510471599,STABLE BEAMS,2510,363.389689858,342.534707932,5.0,BCM1FSI
306553:6381,44:44,1510471623,STABLE BEAMS,2510,364.540774059,348.652562303,5.1,BCM1FSI
306553:6381,45:45,1510471646,STABLE BEAMS,2510,363.417240227,347.639598962,5.0,BCM1FSI
306553:6381,46:46,1510471669,STABLE BEAMS,2510,364.602774799,348.764751093,5.1,BCM1FSI
306553:6381,47:47,1510471693,STABLE BEAMS,2510,363.212349870,347.483281320,5.0,BCM1FSI
306553:6381,48:48,1510471716,STABLE BEAMS,2510,362.639600036,347.048094742,5.0,BCM1FSI
306553:6381,49:49,1510471739,STABLE BEAMS,2510,362.197602765,341.641188874,5.0,BCM1FSI
306553:6381,50:50,1510471763,STABLE BEAMS,2510,361.328947076,345.719466163,5.0,BCM1FSI
306553:6381,51:51,1510471786,STABLE BEAMS,2510,361.320433764,345.667620628,5.0,BCM1FSI
306553:6381,52:52,1510471809,STABLE BEAMS,2510,360.777765955,345.236743917,5.0,BCM1FSI
306553:6381,53:53,1510471833,STABLE BEAMS,2510,359.625118084,345.315724120,5.0,BCM1FSI
306553:6381,54:54,1510471856,STABLE BEAMS,2510,359.632489669,345.401704770,5.0,BCM1FSI
306553:6381,55:55,1510471879,STABLE BEAMS,2510,359.059615735,344.784632971,5.0,BCM1FSI
306553:6381,56:56,1510471903,STABLE BEAMS,2510,358.496347200,344.337133763,5.0,BCM1FSI
306553:6381,57:57,1510471926,STABLE BEAMS,2510,358.536952969,344.402661855,5.0,BCM1FSI
306553:6381,58:58,1510471949,STABLE BEAMS,2510,358.112726926,343.961543714,5.0,BCM1FSI
306553:6381,59:59,1510471973,STABLE BEAMS,2510,357.535807307,343.452800326,5.0,BCM1FSI
306553:6381,60:60,1510471996,STABLE BEAMS,2510,357.155239913,343.101914589,5.0,BCM1FSI
306553:6381,61:61,1510472019,STABLE BEAMS,2510,357.166830924,343.147116923,5.0,BCM1FSI
306553:6381,62:62,1510472042,STABLE BEAMS,2510,356.931386959,342.943803730,5.0,BCM1FSI
306553:6381,63:63,1510472066,STABLE BEAMS,2510,355.210928465,341.693523833,4.9,BCM1FSI
306553:6381,64:64,1510472089,STABLE BEAMS,2510,353.879178376,340.461412065,4.9,BCM1FSI
306553:6381,65:65,1510472112,STABLE BEAMS,2510,354.887745263,341.437848453,4.9,BCM1FSI
306553:6381,66:66,1510472136,STABLE BEAMS,2510,353.319062000,339.924673361,4.9,BCM1FSI
306553:6381,67:67,1510472159,STABLE BEAMS,2510,354.058628077,340.701428119,4.9,BCM1FSI
306553:6381,68:68,1510472182,STABLE BEAMS,2510,353.759743803,340.403537614,4.9,BCM1FSI
306553:6381,69:69,1510472206,STABLE BEAMS,2510,352.352887933,339.090010943,4.9,BCM1FSI
306553:6381,70:70,1510472229,STABLE BEAMS,2510,352.311810581,339.056713982,4.9,BCM1FSI
306553:6381,71:71,1510472252,STABLE BEAMS,2510,352.033477393,329.102218116,4.9,BCM1FSI
306553:6381,72:72,1510472276,STABLE BEAMS,2510,350.827491015,337.673940141,4.9,BCM1FSI
306553:6381,73:73,1510472299,STABLE BEAMS,2510,350.812673384,337.702431307,4.9,BCM1FSI
306553:6381,74:74,1510472322,STABLE BEAMS,2510,350.274398742,337.190624686,4.9,BCM1FSI
306553:6381,75:75,1510472346,STABLE BEAMS,2510,350.330814948,337.271575566,4.9,BCM1FSI
306553:6381,76:76,1510472369,STABLE BEAMS,2510,356.061614364,342.712720186,4.9,BCM1FSI
306553:6381,77:77,1510472392,STABLE BEAMS,2510,360.755254077,347.293557592,5.0,BCM1FSI
306553:6381,78:78,1510472415,STABLE BEAMS,2510,357.687359157,344.302635235,5.0,BCM1FSI
306553:6381,79:79,1510472439,STABLE BEAMS,2510,356.232774134,328.233420649,4.9,BCM1FSI
306553:6381,80:80,1510472462,STABLE BEAMS,2510,355.965188072,342.721724891,4.9,BCM1FSI
306553:6381,81:81,1510472485,STABLE BEAMS,2510,353.555374669,340.429610712,4.9,BCM1FSI
306553:6381,82:82,1510472509,STABLE BEAMS,2510,354.563618894,341.356140913,4.9,BCM1FSI
306553:6381,83:83,1510472532,STABLE BEAMS,2510,351.475669292,338.417993593,4.9,BCM1FSI
306553:6381,84:84,1510472555,STABLE BEAMS,2510,350.517437673,337.525595258,4.9,BCM1FSI
306553:6381,85:85,1510472579,STABLE BEAMS,2510,347.856543610,334.931334223,4.8,BCM1FSI
306553:6381,86:86,1510472602,STABLE BEAMS,2510,345.660382078,332.873958384,4.8,BCM1FSI
306553:6381,87:87,1510472625,STABLE BEAMS,2510,345.512056848,332.783946397,4.8,BCM1FSI
306553:6381,88:88,1510472649,STABLE BEAMS,2510,344.552286380,331.784228596,4.8,BCM1FSI
306553:6381,89:89,1510472672,STABLE BEAMS,2510,344.584403657,331.857547852,4.8,BCM1FSI
306553:6381,90:90,1510472695,STABLE BEAMS,2510,344.478893190,331.762006800,4.8,BCM1FSI
306553:6381,91:91,1510472718,STABLE BEAMS,2510,340.905635150,323.674895251,4.7,BCM1FSI
306553:6381,92:92,1510472742,STABLE BEAMS,2510,331.125278973,319.001864812,4.6,BCM1FSI
306553:6381,93:93,1510472765,STABLE BEAMS,2510,331.868518432,319.706614627,4.6,BCM1FSI
306553:6381,94:94,1510472788,STABLE BEAMS,2510,332.420518619,321.620188310,4.6,BCM1FSI
306553:6381,95:95,1510472812,STABLE BEAMS,2510,333.943210139,323.021639237,4.6,BCM1FSI
306553:6381,96:96,1510472835,STABLE BEAMS,2510,335.422143732,324.497747902,4.7,BCM1FSI
306553:6381,97:97,1510472858,STABLE BEAMS,2510,334.609904249,323.753503818,4.6,BCM1FSI
