#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306542:6380,20:20,1510427683,FLAT TOP,2510,0.071830327,0.051862361,0.0,HFOC
306542:6380,21:21,1510427707,FLAT TOP,2510,0.018657045,0.007437812,0.0,HFOC
306542:6380,22:0,1510427730,FLAT TOP,2510,0.111106205,0,0.0,HFOC
306542:6380,23:0,1510427753,FLAT TOP,2510,0.020591477,0,0.0,HFOC
306542:6380,31:0,1510427940,FLAT TOP,2510,0.066318822,0,0.0,HFOC
306542:6380,33:0,1510427986,ADJUST,2510,0.052917902,0,0.0,HFOC
306542:6380,34:0,1510428010,ADJUST,2510,0.100873283,0,0.0,HFOC
306542:6380,35:0,1510428033,ADJUST,2510,0.068607560,0,0.0,HFOC
306542:6380,36:0,1510428056,ADJUST,2510,0.028304057,0,0.0,HFOC
306542:6380,37:0,1510428080,ADJUST,2510,0.072420039,0,0.0,HFOC
306542:6380,38:0,1510428103,ADJUST,2510,0.030763464,0,0.0,HFOC
306542:6380,39:0,1510428126,ADJUST,2510,1.177214927,0,0.4,HFOC
306545:6380,1:1,1510428150,ADJUST,2510,0.090303983,0.081113522,0.0,HFOC
306545:6380,3:3,1510428196,ADJUST,2510,0.074160172,0.056419215,0.0,HFOC
306545:6380,4:4,1510428220,ADJUST,2510,0.021380824,0.020614062,0.0,HFOC
306545:6380,5:5,1510428243,ADJUST,2510,2.825977734,2.725286282,0.9,HFOC
306545:6380,6:6,1510428266,ADJUST,2510,3.966654132,3.824902819,1.3,HFOC
306545:6380,7:7,1510428290,ADJUST,2510,3.966259391,3.025068060,1.3,HFOC
306545:6380,8:8,1510428313,ADJUST,2510,3.768935814,3.742584747,1.2,HFOC
306545:6380,9:9,1510428336,ADJUST,2510,3.845772813,3.818655803,1.2,HFOC
306545:6380,10:10,1510428360,ADJUST,2510,3.797804490,3.771079051,1.2,HFOC
306545:6380,11:11,1510428383,ADJUST,2510,3.835741187,3.808862516,1.2,HFOC
306545:6380,12:12,1510428406,ADJUST,2510,3.909352786,3.882057256,1.3,HFOC
306545:6380,13:13,1510428430,ADJUST,2510,3.964566098,3.936863752,1.3,HFOC
306545:6380,14:14,1510428453,ADJUST,2510,3.965526524,3.880449987,1.3,HFOC
306545:6380,15:15,1510428476,ADJUST,2510,3.965974103,3.755954136,1.3,HFOC
306545:6380,16:16,1510428499,ADJUST,2510,3.963087729,2.762119568,1.3,HFOC
306545:6380,17:17,1510428523,ADJUST,2510,3.963671837,3.822135696,1.3,HFOC
