#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306552:6381,102:0,1510470606,ADJUST,2510,0.024197773,0,0.0,HFOC
306553:6381,2:2,1510470644,ADJUST,2510,222.761840791,212.894751542,3.1,HFOC
306553:6381,3:3,1510470667,ADJUST,2510,364.746426709,358.402019647,5.1,HFOC
306553:6381,4:4,1510470690,ADJUST,2510,364.337311698,357.955847334,5.1,HFOC
306553:6381,5:5,1510470714,ADJUST,2510,360.307368594,354.013775238,5.0,HFOC
306553:6381,6:6,1510470737,ADJUST,2510,310.841718252,305.542245063,4.3,HFOC
306553:6381,7:7,1510470760,ADJUST,2510,338.428372130,332.570975996,4.7,HFOC
306553:6381,8:8,1510470784,ADJUST,2510,338.691195512,332.837126202,4.7,HFOC
306553:6381,9:9,1510470807,ADJUST,2510,345.065693512,339.087731525,4.8,HFOC
306553:6381,10:10,1510470830,ADJUST,2510,370.200134333,363.697763130,5.1,HFOC
306553:6381,11:11,1510470854,ADJUST,2510,369.648136076,363.168713130,5.1,HFOC
306553:6381,12:12,1510470877,ADJUST,2510,369.200113757,362.714779246,5.1,HFOC
306553:6381,13:13,1510470900,ADJUST,2510,368.546141269,362.083148852,5.1,HFOC
306553:6381,14:14,1510470923,ADJUST,2510,368.083252509,361.624151428,5.1,HFOC
306553:6381,15:15,1510470947,ADJUST,2510,367.609068789,355.985301693,5.1,HFOC
306553:6381,16:16,1510470970,ADJUST,2510,367.191073382,360.748626765,5.1,HFOC
306553:6381,17:17,1510470993,ADJUST,2510,366.711874524,360.304471932,5.1,HFOC
306553:6381,18:18,1510471017,STABLE BEAMS,2510,366.143750479,353.026410844,5.1,HFOC
306553:6381,19:19,1510471040,STABLE BEAMS,2510,365.688331407,36.210329358,5.1,HFOC
306553:6381,20:20,1510471063,STABLE BEAMS,2510,365.164847251,322.143265350,5.1,HFOC
306553:6381,21:21,1510471087,STABLE BEAMS,2510,364.599405503,349.187738004,5.1,HFOC
306553:6381,22:22,1510471110,STABLE BEAMS,2510,364.064856706,348.849351761,5.1,HFOC
306553:6381,23:23,1510471133,STABLE BEAMS,2510,363.645005904,348.640439814,5.1,HFOC
306553:6381,24:24,1510471157,STABLE BEAMS,2510,363.122378193,348.130848896,5.0,HFOC
306553:6381,25:25,1510471180,STABLE BEAMS,2510,362.693716254,347.759126783,5.0,HFOC
306553:6381,26:26,1510471203,STABLE BEAMS,2510,362.223822139,347.338481193,5.0,HFOC
306553:6381,27:27,1510471227,STABLE BEAMS,2510,361.736068641,346.933048279,5.0,HFOC
306553:6381,28:28,1510471250,STABLE BEAMS,2510,361.227642280,346.393159003,5.0,HFOC
306553:6381,29:29,1510471273,STABLE BEAMS,2510,360.776328336,341.097665165,5.0,HFOC
306553:6381,30:30,1510471296,STABLE BEAMS,2510,360.298370732,250.987309782,5.0,HFOC
306553:6381,31:31,1510471320,STABLE BEAMS,2510,359.842725283,101.274872901,5.0,HFOC
306553:6381,32:32,1510471343,STABLE BEAMS,2510,359.381971724,44.743004241,5.0,HFOC
306553:6381,33:33,1510471366,STABLE BEAMS,2510,358.950052893,34.901661195,5.0,HFOC
306553:6381,34:34,1510471390,STABLE BEAMS,2510,358.442114023,104.126787881,5.0,HFOC
306553:6381,35:35,1510471413,STABLE BEAMS,2510,357.950815707,341.926364945,5.0,HFOC
306553:6381,36:36,1510471436,STABLE BEAMS,2510,357.543312930,341.906985504,5.0,HFOC
306553:6381,37:37,1510471460,STABLE BEAMS,2510,357.140251677,341.451777021,5.0,HFOC
306553:6381,38:38,1510471483,STABLE BEAMS,2510,356.637170456,340.983278487,5.0,HFOC
306553:6381,39:39,1510471506,STABLE BEAMS,2510,356.172600699,340.577979363,4.9,HFOC
306553:6381,40:40,1510471530,STABLE BEAMS,2510,355.743257156,340.188465818,4.9,HFOC
