#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306542:6380,20:20,1510427683,FLAT TOP,2510,0.074584102,0.053850620,0.0,HFOC
306542:6380,21:21,1510427707,FLAT TOP,2510,0.019372179,0.007722907,0.0,HFOC
306542:6380,22:0,1510427730,FLAT TOP,2510,0.115366261,0,0.0,HFOC
306542:6380,23:0,1510427753,FLAT TOP,2510,0.021380764,0,0.0,HFOC
306542:6380,31:0,1510427940,FLAT TOP,2510,0.068861256,0,0.0,HFOC
306542:6380,33:0,1510427986,ADJUST,2510,0.054946499,0,0.0,HFOC
306542:6380,34:0,1510428010,ADJUST,2510,0.104740853,0,0.0,HFOC
306542:6380,35:0,1510428033,ADJUST,2510,0.071237756,0,0.0,HFOC
306542:6380,36:0,1510428056,ADJUST,2510,0.029389000,0,0.0,HFOC
306542:6380,37:0,1510428080,ADJUST,2510,0.075196428,0,0.0,HFOC
306542:6380,38:0,1510428103,ADJUST,2510,0.031942691,0,0.0,HFOC
306542:6380,39:0,1510428126,ADJUST,2510,1.222509360,0,0.4,HFOC
306545:6380,1:1,1510428150,ADJUST,2510,0.093766192,0.084223374,0.0,HFOC
306545:6380,3:3,1510428196,ADJUST,2510,0.077003290,0.058582189,0.0,HFOC
306545:6380,4:4,1510428220,ADJUST,2510,0.022200368,0.021404215,0.0,HFOC
306545:6380,5:5,1510428243,ADJUST,2510,2.935284622,2.830698499,0.9,HFOC
306545:6380,6:6,1510428266,ADJUST,2510,4.120629873,3.973376125,1.3,HFOC
306545:6380,7:7,1510428290,ADJUST,2510,4.120219687,3.142493669,1.3,HFOC
306545:6380,8:8,1510428313,ADJUST,2510,3.915147044,3.887773719,1.3,HFOC
306545:6380,9:9,1510428336,ADJUST,2510,3.995000409,3.966831177,1.3,HFOC
306545:6380,10:10,1510428360,ADJUST,2510,3.945148884,3.917386571,1.3,HFOC
306545:6380,11:11,1510428383,ADJUST,2510,3.984574871,3.956653259,1.3,HFOC
306545:6380,12:12,1510428406,ADJUST,2510,4.061077305,4.032722419,1.3,HFOC
306545:6380,13:13,1510428430,ADJUST,2510,4.118459993,4.089682315,1.3,HFOC
306545:6380,14:14,1510428453,ADJUST,2510,4.119458113,4.031079125,1.3,HFOC
306545:6380,15:15,1510428476,ADJUST,2510,4.119923309,3.901750891,1.3,HFOC
306545:6380,16:16,1510428499,ADJUST,2510,4.116923455,2.869337115,1.3,HFOC
306545:6380,17:17,1510428523,ADJUST,2510,4.117530642,3.970500451,1.3,HFOC
306545:6380,18:18,1510428546,ADJUST,2510,4.112996393,2.510646263,1.3,HFOC
306545:6380,19:0,1510428569,ADJUST,2510,4.109031950,0,1.3,HFOC
306545:6380,20:0,1510428593,ADJUST,2510,4.100374521,0,1.3,HFOC
306545:6380,21:0,1510428616,STABLE BEAMS,2510,4.100103275,0,1.3,HFOC
306545:6380,22:0,1510428639,STABLE BEAMS,2510,4.108627981,0,1.3,HFOC
306545:6380,23:0,1510428663,STABLE BEAMS,2510,4.093473175,0,1.3,HFOC
306545:6380,24:0,1510428686,STABLE BEAMS,2510,4.104963088,0,1.3,HFOC
306546:6380,1:1,1510428696,STABLE BEAMS,2510,4.100320203,2.044182857,1.3,HFOC
306546:6380,2:2,1510428719,STABLE BEAMS,2510,4.096104763,3.949471740,1.3,HFOC
306546:6380,3:3,1510428742,STABLE BEAMS,2510,4.097602260,3.030074724,1.3,HFOC
306546:6380,4:4,1510428766,STABLE BEAMS,2510,4.090019344,3.856720578,1.3,HFOC
306546:6380,5:5,1510428789,STABLE BEAMS,2510,4.091901461,3.858413008,1.3,HFOC
306546:6380,6:6,1510428812,STABLE BEAMS,2510,4.090253791,4.002371569,1.3,HFOC
306546:6380,7:7,1510428836,STABLE BEAMS,2510,4.088835769,3.797460650,1.3,HFOC
306546:6380,8:8,1510428859,STABLE BEAMS,2510,4.077794523,3.990249298,1.3,HFOC
306546:6380,9:9,1510428882,STABLE BEAMS,2510,4.084840279,3.822770027,1.3,HFOC
306546:6380,10:10,1510428905,STABLE BEAMS,2510,4.082194089,3.994333563,1.3,HFOC
306546:6380,11:11,1510428929,STABLE BEAMS,2510,4.077968111,3.903305768,1.3,HFOC
306546:6380,12:12,1510428952,STABLE BEAMS,2510,4.076051778,3.465001065,1.3,HFOC
306546:6380,13:13,1510428975,STABLE BEAMS,2510,4.072137372,3.602993781,1.3,HFOC
306546:6380,14:14,1510428999,STABLE BEAMS,2510,4.075320999,3.904616874,1.3,HFOC
306546:6380,15:15,1510429022,STABLE BEAMS,2510,4.075076261,4.045669724,1.3,HFOC
306546:6380,16:16,1510429045,STABLE BEAMS,2510,4.067750791,3.949704109,1.3,HFOC
306546:6380,17:17,1510429069,STABLE BEAMS,2510,4.066402048,3.681096479,1.3,HFOC
306546:6380,18:18,1510429092,STABLE BEAMS,2510,4.058833279,3.804055469,1.3,HFOC
306546:6380,19:19,1510429115,STABLE BEAMS,2510,4.063471219,3.975976325,1.3,HFOC
306546:6380,20:20,1510429139,STABLE BEAMS,2510,4.059105145,3.798852069,1.3,HFOC
306546:6380,21:21,1510429162,STABLE BEAMS,2510,4.054096143,3.967173568,1.3,HFOC
306546:6380,22:22,1510429185,STABLE BEAMS,2510,4.058892395,4.029678652,1.3,HFOC
306546:6380,23:23,1510429208,STABLE BEAMS,2510,4.052022335,3.673049490,1.3,HFOC
306546:6380,24:24,1510429232,STABLE BEAMS,2510,4.055272939,3.910764715,1.3,HFOC
306546:6380,25:25,1510429255,STABLE BEAMS,2510,4.050564430,3.963355173,1.3,HFOC
306546:6380,26:26,1510429278,STABLE BEAMS,2510,4.046233752,3.901859611,1.3,HFOC
306546:6380,27:27,1510429302,STABLE BEAMS,2510,4.044411952,3.955018818,1.3,HFOC
306546:6380,28:28,1510429325,STABLE BEAMS,2510,4.041757817,3.779252345,1.3,HFOC
306546:6380,29:29,1510429348,STABLE BEAMS,2510,4.044823325,3.425584987,1.3,HFOC
306546:6380,30:30,1510429372,STABLE BEAMS,2510,4.043111513,4.011643885,1.3,HFOC
306546:6380,31:31,1510429395,STABLE BEAMS,2510,4.035908423,4.004442270,1.3,HFOC
306546:6380,32:32,1510429418,STABLE BEAMS,2510,4.035030052,4.003476993,1.3,HFOC
306546:6380,33:33,1510429442,STABLE BEAMS,2510,4.036130078,4.004618109,1.3,HFOC
