#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306552:6381,102:0,1510470606,ADJUST,2510,0.024982974,0,0.0,HFOC
306553:6381,2:2,1510470644,ADJUST,2510,230.026937641,219.838045705,3.2,HFOC
306553:6381,3:3,1510470667,ADJUST,2510,376.679800556,370.127824137,5.2,HFOC
306553:6381,4:4,1510470690,ADJUST,2510,376.257192933,369.666948697,5.2,HFOC
306553:6381,5:5,1510470714,ADJUST,2510,372.094355018,365.594874950,5.2,HFOC
306553:6381,6:6,1510470737,ADJUST,2510,320.999369036,315.526720258,4.5,HFOC
306553:6381,7:7,1510470760,ADJUST,2510,349.494261690,343.445341134,4.9,HFOC
306553:6381,8:8,1510470784,ADJUST,2510,349.765743265,343.720257198,4.9,HFOC
306553:6381,9:9,1510470807,ADJUST,2510,356.350266555,350.176809189,5.0,HFOC
306553:6381,10:10,1510470830,ADJUST,2510,382.313394182,375.598259923,5.3,HFOC
306553:6381,11:11,1510470854,ADJUST,2510,381.743186800,375.051754265,5.3,HFOC
306553:6381,12:12,1510470877,ADJUST,2510,381.280385596,374.582850165,5.3,HFOC
306553:6381,13:13,1510470900,ADJUST,2510,380.604841070,373.930381819,5.3,HFOC
306553:6381,14:14,1510470923,ADJUST,2510,380.126683757,373.456245324,5.3,HFOC
306553:6381,15:15,1510470947,ADJUST,2510,379.636859230,367.632774437,5.3,HFOC
306553:6381,16:16,1510470970,ADJUST,2510,379.205076636,372.551841740,5.3,HFOC
306553:6381,17:17,1510470993,ADJUST,2510,378.710072159,372.093030098,5.3,HFOC
306553:6381,18:18,1510471017,STABLE BEAMS,2510,378.123209860,364.576698247,5.3,HFOC
306553:6381,19:19,1510471040,STABLE BEAMS,2510,377.652770177,37.395043857,5.2,HFOC
306553:6381,20:20,1510471063,STABLE BEAMS,2510,377.112020854,332.682892987,5.2,HFOC
306553:6381,21:21,1510471087,STABLE BEAMS,2510,376.527930563,360.612042654,5.2,HFOC
306553:6381,22:22,1510471110,STABLE BEAMS,2510,375.975752506,360.262450834,5.2,HFOC
306553:6381,23:23,1510471133,STABLE BEAMS,2510,375.542055435,360.046598330,5.2,HFOC
306553:6381,24:24,1510471157,STABLE BEAMS,2510,375.002192321,359.520204181,5.2,HFOC
306553:6381,25:25,1510471180,STABLE BEAMS,2510,374.559394107,359.136213245,5.2,HFOC
306553:6381,26:26,1510471203,STABLE BEAMS,2510,374.074004275,358.701688176,5.2,HFOC
306553:6381,27:27,1510471227,STABLE BEAMS,2510,373.570166444,358.282869268,5.2,HFOC
306553:6381,28:28,1510471250,STABLE BEAMS,2510,373.044974392,357.725190449,5.2,HFOC
306553:6381,29:29,1510471273,STABLE BEAMS,2510,372.578778386,352.256346705,5.2,HFOC
306553:6381,30:30,1510471296,STABLE BEAMS,2510,372.085060461,259.198031191,5.2,HFOC
306553:6381,31:31,1510471320,STABLE BEAMS,2510,371.614390721,104.587914509,5.2,HFOC
306553:6381,32:32,1510471343,STABLE BEAMS,2510,371.138444739,46.206683455,5.2,HFOC
306553:6381,33:33,1510471366,STABLE BEAMS,2510,370.692284527,36.043389374,5.2,HFOC
306553:6381,34:34,1510471390,STABLE BEAMS,2510,370.167598054,107.533019852,5.1,HFOC
306553:6381,35:35,1510471413,STABLE BEAMS,2510,369.660101152,353.111458630,5.1,HFOC
306553:6381,36:36,1510471436,STABLE BEAMS,2510,369.239162872,353.091344578,5.1,HFOC
306553:6381,37:37,1510471460,STABLE BEAMS,2510,368.822812785,352.621146007,5.1,HFOC
306553:6381,38:38,1510471483,STABLE BEAMS,2510,368.303145421,352.137198268,5.1,HFOC
306553:6381,39:39,1510471506,STABLE BEAMS,2510,367.823259529,351.718527049,5.1,HFOC
306553:6381,40:40,1510471530,STABLE BEAMS,2510,367.379761477,351.316166689,5.1,HFOC
306553:6381,41:41,1510471553,STABLE BEAMS,2510,366.883599822,350.883139383,5.1,HFOC
306553:6381,42:42,1510471576,STABLE BEAMS,2510,366.505694357,350.449562299,5.1,HFOC
306553:6381,43:43,1510471599,STABLE BEAMS,2510,366.046587795,345.039126149,5.1,HFOC
306553:6381,44:44,1510471623,STABLE BEAMS,2510,365.580312177,349.646793002,5.1,HFOC
306553:6381,45:45,1510471646,STABLE BEAMS,2510,365.154978166,349.301893574,5.1,HFOC
306553:6381,46:46,1510471669,STABLE BEAMS,2510,364.533692301,348.698669478,5.1,HFOC
306553:6381,47:47,1510471693,STABLE BEAMS,2510,364.069957077,348.303749475,5.1,HFOC
306553:6381,48:48,1510471716,STABLE BEAMS,2510,363.609489635,347.976284430,5.1,HFOC
306553:6381,49:49,1510471739,STABLE BEAMS,2510,363.085161466,342.478374453,5.0,HFOC
306553:6381,50:50,1510471763,STABLE BEAMS,2510,362.626430825,346.960898361,5.0,HFOC
306553:6381,51:51,1510471786,STABLE BEAMS,2510,362.159981784,346.470798471,5.0,HFOC
306553:6381,52:52,1510471809,STABLE BEAMS,2510,361.753379378,346.170331386,5.0,HFOC
306553:6381,53:53,1510471833,STABLE BEAMS,2510,361.281818458,346.906504798,5.0,HFOC
306553:6381,54:54,1510471856,STABLE BEAMS,2510,360.839766322,346.561209058,5.0,HFOC
