#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306552:6381,96:0,1510470467,FLAT TOP,2510,0.042241456,0,0.0,PLTZERO
306552:6381,97:0,1510470489,FLAT TOP,2510,0.045848993,0,0.0,PLTZERO
306552:6381,98:0,1510470512,ADJUST,2510,0.050425966,0,0.0,PLTZERO
306552:6381,99:0,1510470536,ADJUST,2510,0.051523738,0,0.0,PLTZERO
306552:6381,100:0,1510470559,ADJUST,2510,0.049329398,0,0.0,PLTZERO
306552:6381,101:0,1510470582,ADJUST,2510,0.047390552,0,0.0,PLTZERO
306552:6381,102:0,1510470606,ADJUST,2510,0.050346503,0,0.0,PLTZERO
306553:6381,1:1,1510470620,ADJUST,2510,0.051073621,0.050248816,0.0,PLTZERO
306553:6381,2:2,1510470644,ADJUST,2510,216.354739844,206.771448918,3.0,PLTZERO
306553:6381,3:3,1510470667,ADJUST,2510,364.389288298,358.051093309,5.1,PLTZERO
306553:6381,4:4,1510470690,ADJUST,2510,363.925548970,357.551296739,5.1,PLTZERO
306553:6381,5:5,1510470714,ADJUST,2510,359.747779071,353.463960228,5.0,PLTZERO
306553:6381,6:6,1510470737,ADJUST,2510,310.780437965,305.482009531,4.3,PLTZERO
306553:6381,7:7,1510470760,ADJUST,2510,339.029379851,333.161581693,4.7,PLTZERO
306553:6381,8:8,1510470784,ADJUST,2510,338.580713790,332.728554088,4.7,PLTZERO
306553:6381,9:9,1510470807,ADJUST,2510,343.650726499,337.697277581,4.8,PLTZERO
306553:6381,10:10,1510470830,ADJUST,2510,369.630446544,363.138081608,5.1,PLTZERO
306553:6381,11:11,1510470854,ADJUST,2510,369.021202918,362.552769247,5.1,PLTZERO
306553:6381,12:12,1510470877,ADJUST,2510,368.347299986,361.876945921,5.1,PLTZERO
306553:6381,13:13,1510470900,ADJUST,2510,367.901693074,361.450001993,5.1,PLTZERO
306553:6381,14:14,1510470923,ADJUST,2510,367.522803443,361.073537086,5.1,PLTZERO
306553:6381,15:15,1510470947,ADJUST,2510,367.043684933,355.437795227,5.1,PLTZERO
306553:6381,16:16,1510470970,ADJUST,2510,366.523295710,360.092565396,5.1,PLTZERO
306553:6381,17:17,1510470993,ADJUST,2510,365.981409005,359.586769530,5.1,PLTZERO
306553:6381,18:18,1510471017,STABLE BEAMS,2510,365.433014653,352.341137594,5.1,PLTZERO
306553:6381,19:19,1510471040,STABLE BEAMS,2510,364.986017219,36.140786455,5.1,PLTZERO
306553:6381,20:20,1510471063,STABLE BEAMS,2510,364.554371155,321.604711970,5.1,PLTZERO
306553:6381,21:21,1510471087,STABLE BEAMS,2510,363.872041656,348.491119928,5.1,PLTZERO
306553:6381,22:22,1510471110,STABLE BEAMS,2510,363.295586556,348.112232019,5.0,PLTZERO
306553:6381,23:23,1510471133,STABLE BEAMS,2510,362.963390677,347.986949105,5.0,PLTZERO
306553:6381,24:24,1510471157,STABLE BEAMS,2510,362.345803915,347.386335534,5.0,PLTZERO
306553:6381,25:25,1510471180,STABLE BEAMS,2510,361.980096439,347.074891594,5.0,PLTZERO
306553:6381,26:26,1510471203,STABLE BEAMS,2510,361.525812666,346.669155943,5.0,PLTZERO
306553:6381,27:27,1510471227,STABLE BEAMS,2510,360.907836557,346.138709239,5.0,PLTZERO
306553:6381,28:28,1510471250,STABLE BEAMS,2510,360.618301916,345.808842332,5.0,PLTZERO
306553:6381,29:29,1510471273,STABLE BEAMS,2510,360.032975281,340.394858546,5.0,PLTZERO
306553:6381,30:30,1510471296,STABLE BEAMS,2510,359.614706046,250.511062387,5.0,PLTZERO
306553:6381,31:31,1510471320,STABLE BEAMS,2510,359.081106857,101.060521453,5.0,PLTZERO
306553:6381,32:32,1510471343,STABLE BEAMS,2510,358.588361225,44.644199847,5.0,PLTZERO
306553:6381,33:33,1510471366,STABLE BEAMS,2510,358.129516537,34.821878279,5.0,PLTZERO
306553:6381,34:34,1510471390,STABLE BEAMS,2510,357.776629680,103.933465879,5.0,PLTZERO
306553:6381,35:35,1510471413,STABLE BEAMS,2510,357.210825985,341.219502480,5.0,PLTZERO
306553:6381,36:36,1510471436,STABLE BEAMS,2510,356.718664372,341.118401037,5.0,PLTZERO
306553:6381,37:37,1510471460,STABLE BEAMS,2510,356.409857086,340.753467240,5.0,PLTZERO
306553:6381,38:38,1510471483,STABLE BEAMS,2510,355.878037765,340.257466442,4.9,PLTZERO
306553:6381,39:39,1510471506,STABLE BEAMS,2510,355.494865324,339.929917878,4.9,PLTZERO
306553:6381,40:40,1510471530,STABLE BEAMS,2510,354.989549367,339.467713727,4.9,PLTZERO
306553:6381,41:41,1510471553,STABLE BEAMS,2510,354.385673159,338.930270012,4.9,PLTZERO
306553:6381,42:42,1510471576,STABLE BEAMS,2510,354.106678680,338.593731179,4.9,PLTZERO
306553:6381,43:43,1510471599,STABLE BEAMS,2510,353.629757196,333.334899085,4.9,PLTZERO
306553:6381,44:44,1510471623,STABLE BEAMS,2510,353.419204246,338.015717022,4.9,PLTZERO
306553:6381,45:45,1510471646,STABLE BEAMS,2510,352.851426008,337.532496130,4.9,PLTZERO
306553:6381,46:46,1510471669,STABLE BEAMS,2510,352.181583402,336.883125319,4.9,PLTZERO
306553:6381,47:47,1510471693,STABLE BEAMS,2510,351.840933145,336.604308735,4.9,PLTZERO
306553:6381,48:48,1510471716,STABLE BEAMS,2510,351.456453612,336.345762015,4.9,PLTZERO
306553:6381,49:49,1510471739,STABLE BEAMS,2510,350.884948773,330.970581091,4.9,PLTZERO
306553:6381,50:50,1510471763,STABLE BEAMS,2510,350.548553516,335.404787705,4.9,PLTZERO
306553:6381,51:51,1510471786,STABLE BEAMS,2510,350.098969710,334.932283190,4.9,PLTZERO
306553:6381,52:52,1510471809,STABLE BEAMS,2510,349.670494038,334.607933740,4.9,PLTZERO
306553:6381,53:53,1510471833,STABLE BEAMS,2510,349.285513917,335.387530230,4.9,PLTZERO
306553:6381,54:54,1510471856,STABLE BEAMS,2510,348.834400535,335.030899845,4.8,PLTZERO
306553:6381,55:55,1510471879,STABLE BEAMS,2510,348.195900312,334.352821732,4.8,PLTZERO
306553:6381,56:56,1510471903,STABLE BEAMS,2510,347.979256871,334.235427658,4.8,PLTZERO
306553:6381,57:57,1510471926,STABLE BEAMS,2510,347.497079212,333.798003460,4.8,PLTZERO
306553:6381,58:58,1510471949,STABLE BEAMS,2510,346.942149404,333.232382755,4.8,PLTZERO
306553:6381,59:59,1510471973,STABLE BEAMS,2510,346.502271446,332.853865306,4.8,PLTZERO
306553:6381,60:60,1510471996,STABLE BEAMS,2510,346.226002391,332.602720123,4.8,PLTZERO
306553:6381,61:61,1510472019,STABLE BEAMS,2510,345.488858486,331.927534849,4.8,PLTZERO
306553:6381,62:62,1510472042,STABLE BEAMS,2510,345.025703177,331.504685088,4.8,PLTZERO
306553:6381,63:63,1510472066,STABLE BEAMS,2510,344.671342367,331.555017314,4.8,PLTZERO
306553:6381,64:64,1510472089,STABLE BEAMS,2510,344.146614712,331.097870579,4.8,PLTZERO
306553:6381,65:65,1510472112,STABLE BEAMS,2510,343.613655163,330.591035290,4.8,PLTZERO
306553:6381,66:66,1510472136,STABLE BEAMS,2510,343.040843233,330.036103700,4.8,PLTZERO
306553:6381,67:67,1510472159,STABLE BEAMS,2510,342.869113677,329.934048838,4.8,PLTZERO
306553:6381,68:68,1510472182,STABLE BEAMS,2510,342.321136482,329.396795140,4.8,PLTZERO
306553:6381,69:69,1510472206,STABLE BEAMS,2510,341.774883536,328.910172067,4.7,PLTZERO
306553:6381,70:70,1510472229,STABLE BEAMS,2510,341.245873071,328.407112418,4.7,PLTZERO
306553:6381,71:71,1510472252,STABLE BEAMS,2510,340.951082254,318.741723855,4.7,PLTZERO
306553:6381,72:72,1510472276,STABLE BEAMS,2510,340.348374085,327.587716017,4.7,PLTZERO
306553:6381,73:73,1510472299,STABLE BEAMS,2510,339.996822130,327.290779898,4.7,PLTZERO
306553:6381,74:74,1510472322,STABLE BEAMS,2510,339.650748835,326.963799199,4.7,PLTZERO
306553:6381,75:75,1510472346,STABLE BEAMS,2510,339.206309963,326.561757406,4.7,PLTZERO
306553:6381,76:76,1510472369,STABLE BEAMS,2510,338.746046941,326.046320401,4.7,PLTZERO
306553:6381,77:77,1510472392,STABLE BEAMS,2510,338.228800299,325.607685567,4.7,PLTZERO
306553:6381,78:78,1510472415,STABLE BEAMS,2510,337.795402177,325.155038786,4.7,PLTZERO
306553:6381,79:79,1510472439,STABLE BEAMS,2510,337.227095540,310.721559446,4.7,PLTZERO
