#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306547:6380,301:301,1510437361,STABLE BEAMS,2510,3.767049778,3.740810528,1.2,PLTZERO
306547:6380,302:302,1510437384,STABLE BEAMS,2510,3.769527287,3.743328299,1.2,PLTZERO
306547:6380,303:303,1510437408,STABLE BEAMS,2510,3.766398770,3.740105932,1.2,PLTZERO
306547:6380,304:304,1510437431,STABLE BEAMS,2510,3.759081325,3.732885847,1.2,PLTZERO
306547:6380,305:305,1510437454,STABLE BEAMS,2510,3.756359519,3.730203853,1.2,PLTZERO
306547:6380,306:306,1510437478,STABLE BEAMS,2510,3.748389496,0.885732118,1.2,PLTZERO
306547:6380,307:0,1510437501,STABLE BEAMS,2510,3.751231094,0,1.2,PLTZERO
306547:6380,308:0,1510437524,STABLE BEAMS,2510,3.744872887,0,1.2,PLTZERO
306547:6380,309:0,1510437548,STABLE BEAMS,2510,3.731723963,0,1.2,PLTZERO
306547:6380,310:0,1510437571,STABLE BEAMS,2510,3.726311983,0,1.2,PLTZERO
306547:6380,311:0,1510437594,STABLE BEAMS,2510,3.744035235,0,1.2,PLTZERO
306547:6380,312:0,1510437617,STABLE BEAMS,2510,3.725144566,0,1.2,PLTZERO
306548:6380,1:1,1510437634,STABLE BEAMS,2510,3.733310430,3.706341656,1.2,PLTZERO
306548:6380,2:2,1510437657,STABLE BEAMS,2510,3.690536609,3.612271608,1.2,PLTZERO
306548:6380,3:3,1510437680,STABLE BEAMS,2510,3.652668454,3.627227190,1.2,PLTZERO
306548:6380,4:4,1510437704,STABLE BEAMS,2510,3.606284478,3.564466054,1.2,PLTZERO
306548:6380,5:5,1510437727,STABLE BEAMS,2510,3.563289691,3.522114411,1.2,PLTZERO
306548:6380,6:6,1510437750,STABLE BEAMS,2510,3.609145144,3.567520716,1.2,PLTZERO
306548:6380,7:7,1510437774,STABLE BEAMS,2510,3.743163262,3.647080286,1.2,PLTZERO
306548:6380,8:8,1510437797,STABLE BEAMS,2510,3.728314808,2.643701615,1.2,PLTZERO
306548:6380,9:0,1510437820,STABLE BEAMS,2510,3.755825163,0,1.2,PLTZERO
306548:6380,10:0,1510437844,STABLE BEAMS,2510,3.748975448,0,1.2,PLTZERO
306548:6380,11:0,1510437870,STABLE BEAMS,2510,3.760921510,0,1.2,PLTZERO
306548:6380,12:0,1510437894,STABLE BEAMS,2510,3.742864229,0,1.2,PLTZERO
306548:6380,13:0,1510437917,STABLE BEAMS,2510,3.748036399,0,1.2,PLTZERO
306548:6380,14:0,1510437940,STABLE BEAMS,2510,3.740037885,0,1.2,PLTZERO
306548:6380,15:0,1510437964,STABLE BEAMS,2510,3.744205054,0,1.2,PLTZERO
306548:6380,16:0,1510437987,STABLE BEAMS,2510,3.746591709,0,1.2,PLTZERO
306548:6380,17:0,1510438010,STABLE BEAMS,2510,3.745813505,0,1.2,PLTZERO
306548:6380,18:0,1510438034,STABLE BEAMS,2510,3.753055800,0,1.2,PLTZERO
306548:6380,19:0,1510438057,STABLE BEAMS,2510,3.732462908,0,1.2,PLTZERO
306548:6380,20:0,1510438081,STABLE BEAMS,2510,3.749133825,0,1.2,PLTZERO
306548:6380,21:0,1510438104,STABLE BEAMS,2510,3.746659905,0,1.2,PLTZERO
306548:6380,22:0,1510438127,STABLE BEAMS,2510,3.754483890,0,1.2,PLTZERO
306548:6380,23:0,1510438151,STABLE BEAMS,2510,3.745553955,0,1.2,PLTZERO
306548:6380,24:0,1510438174,STABLE BEAMS,2510,3.757924226,0,1.2,PLTZERO
