#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306553:6381,18:18,1510471017,STABLE BEAMS,2510,1.0152284263959392e-09,1.0152284263959392e-09,0.0,PXL
306553:6381,20:20,1510471063,STABLE BEAMS,2510,364.078494142132,321.1848994629442,5.0,PXL
306553:6381,21:21,1510471087,STABLE BEAMS,2510,363.87238165583756,348.4914451411168,5.0,PXL
306553:6381,22:22,1510471110,STABLE BEAMS,2510,361.4130055411168,346.3083308497462,4.9,PXL
306553:6381,23:23,1510471133,STABLE BEAMS,2510,360.34401535532993,345.4756533796955,4.9,PXL
306553:6381,24:24,1510471157,STABLE BEAMS,2510,361.13353098274115,346.22411148832487,4.9,PXL
306553:6381,25:25,1510471180,STABLE BEAMS,2510,359.9562444060914,345.13437544365485,4.9,PXL
306553:6381,26:26,1510471203,STABLE BEAMS,2510,360.522180386802,345.70676725989847,4.9,PXL
306553:6381,27:27,1510471227,STABLE BEAMS,2510,359.13528789035536,344.43869725482233,4.9,PXL
306553:6381,28:28,1510471250,STABLE BEAMS,2510,358.1955546873096,343.4855897817259,4.9,PXL
306553:6381,29:29,1510471273,STABLE BEAMS,2510,358.10123202436546,338.5684828659899,4.9,PXL
306553:6381,30:30,1510471296,STABLE BEAMS,2510,356.73180668730964,248.5028082984772,4.9,PXL
306553:6381,31:31,1510471320,STABLE BEAMS,2510,358.6077796609137,100.9273086538071,4.9,PXL
306553:6381,32:32,1510471343,STABLE BEAMS,2510,360.3370284913706,44.861909600000004,4.9,PXL
306553:6381,33:33,1510471366,STABLE BEAMS,2510,358.45406865380716,34.8534354142132,4.9,PXL
306553:6381,34:34,1510471390,STABLE BEAMS,2510,354.7405504588832,103.05149137563453,4.9,PXL
306553:6381,35:35,1510471413,STABLE BEAMS,2510,357.2523280527919,341.25914663350255,4.9,PXL
306553:6381,36:36,1510471436,STABLE BEAMS,2510,353.79732382436544,338.3248186761421,4.8,PXL
306553:6381,37:37,1510471460,STABLE BEAMS,2510,354.10474583857865,338.54961485786805,4.8,PXL
306553:6381,38:38,1510471483,STABLE BEAMS,2510,353.79732382436544,338.2680812609137,4.8,PXL
306553:6381,39:39,1510471506,STABLE BEAMS,2510,353.86369903147204,338.37016975837565,4.8,PXL
306553:6381,40:40,1510471530,STABLE BEAMS,2510,354.5658788598984,339.0625680659898,4.9,PXL
306553:6381,41:41,1510471553,STABLE BEAMS,2510,355.0270118812183,339.54363880913706,4.9,PXL
306553:6381,42:42,1510471576,STABLE BEAMS,2510,351.575501084264,336.1734410548223,4.8,PXL
306553:6381,43:43,1510471599,STABLE BEAMS,2510,353.95452826294417,333.64103187208127,4.8,PXL
306553:6381,44:44,1510471623,STABLE BEAMS,2510,353.0357556527919,337.6489806720812,4.8,PXL
306553:6381,45:45,1510471646,STABLE BEAMS,2510,352.96938044467004,337.6453295076142,4.8,PXL
306553:6381,46:46,1510471669,STABLE BEAMS,2510,349.5528039675127,334.36853776954314,4.8,PXL
306553:6381,47:47,1510471693,STABLE BEAMS,2510,350.13620710862943,334.9734067005076,4.8,PXL
306553:6381,48:48,1510471716,STABLE BEAMS,2510,349.2726307228426,334.25583209441623,4.8,PXL
306553:6381,49:49,1510471739,STABLE BEAMS,2510,349.66808722335026,329.8227822812183,4.8,PXL
306553:6381,50:50,1510471763,STABLE BEAMS,2510,348.36853052588833,333.3189420761421,4.8,PXL
306553:6381,51:51,1510471786,STABLE BEAMS,2510,350.076818764467,334.9110918883249,4.8,PXL
306553:6381,52:52,1510471809,STABLE BEAMS,2510,348.41254776954315,333.4041755604061,4.8,PXL
306553:6381,53:53,1510471833,STABLE BEAMS,2510,349.03123457258886,335.1433690071066,4.8,PXL
306553:6381,54:54,1510471856,STABLE BEAMS,2510,348.70145459390864,334.9032145959391,4.8,PXL
306553:6381,55:55,1510471879,STABLE BEAMS,2510,345.9081063827411,332.1559830781726,4.7,PXL
306553:6381,56:56,1510471903,STABLE BEAMS,2510,346.00941590964464,332.34338788223357,4.7,PXL
306553:6381,57:57,1510471926,STABLE BEAMS,2510,346.576050577665,332.91328376345183,4.7,PXL
306553:6381,58:58,1510471949,STABLE BEAMS,2510,346.9921183258883,333.28037708426393,4.7,PXL
306553:6381,59:59,1510471973,STABLE BEAMS,2510,346.91980428426393,333.25495235939087,4.7,PXL
