#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306546:6380,1:1,1510428696,STABLE BEAMS,2510,3.996185897,1.992267505,1.3,PXL
306546:6380,2:2,1510428719,STABLE BEAMS,2510,3.885651298,3.746552123,1.3,PXL
306546:6380,3:3,1510428742,STABLE BEAMS,2510,3.908890875,2.890527359,1.3,PXL
306546:6380,4:4,1510428766,STABLE BEAMS,2510,3.453909000,3.256894600,1.1,PXL
306546:6380,5:5,1510428789,STABLE BEAMS,2510,4.475941054,4.220538874,1.4,PXL
306546:6380,6:6,1510428812,STABLE BEAMS,2510,4.153090934,4.063858608,1.3,PXL
306546:6380,7:7,1510428836,STABLE BEAMS,2510,3.578138893,3.323156618,1.2,PXL
306546:6380,8:8,1510428859,STABLE BEAMS,2510,4.858319525,4.754017391,1.6,PXL
306546:6380,9:9,1510428882,STABLE BEAMS,2510,4.061742565,3.801154188,1.3,PXL
306546:6380,10:10,1510428905,STABLE BEAMS,2510,4.052575247,3.965352203,1.3,PXL
306546:6380,11:11,1510428929,STABLE BEAMS,2510,4.460774144,4.269715940,1.4,PXL
306546:6380,12:12,1510428952,STABLE BEAMS,2510,4.349098934,3.697115066,1.4,PXL
306546:6380,13:13,1510428975,STABLE BEAMS,2510,3.997714962,3.537145442,1.3,PXL
306546:6380,14:14,1510428999,STABLE BEAMS,2510,3.853904641,3.692475045,1.2,PXL
306546:6380,15:15,1510429022,STABLE BEAMS,2510,3.778736960,3.751468864,1.2,PXL
306546:6380,16:16,1510429045,STABLE BEAMS,2510,4.293941233,4.169330473,1.4,PXL
306546:6380,17:17,1510429069,STABLE BEAMS,2510,4.378073830,3.963236288,1.4,PXL
306546:6380,18:18,1510429092,STABLE BEAMS,2510,4.408187128,4.131479960,1.4,PXL
306546:6380,19:19,1510429115,STABLE BEAMS,2510,3.579171233,3.502104315,1.2,PXL
306546:6380,20:20,1510429139,STABLE BEAMS,2510,3.696075977,3.459098834,1.2,PXL
