#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306553:6381,18:18,1510471017,STABLE BEAMS,2510,0.000000001,0.000000001,0.0,PXL
306553:6381,20:20,1510471063,STABLE BEAMS,2510,358.617316730,316.367125971,5.0,PXL
306553:6381,21:21,1510471087,STABLE BEAMS,2510,358.414295931,343.264073464,5.0,PXL
306553:6381,22:22,1510471110,STABLE BEAMS,2510,355.991810458,341.113705887,4.9,PXL
306553:6381,23:23,1510471133,STABLE BEAMS,2510,354.938855125,340.293518579,4.9,PXL
306553:6381,24:24,1510471157,STABLE BEAMS,2510,355.716528018,341.030749816,4.9,PXL
306553:6381,25:25,1510471180,STABLE BEAMS,2510,354.556900740,339.957359812,4.9,PXL
306553:6381,26:26,1510471203,STABLE BEAMS,2510,355.114347681,340.521165751,4.9,PXL
306553:6381,27:27,1510471227,STABLE BEAMS,2510,353.748258572,339.272116796,4.9,PXL
306553:6381,28:28,1510471250,STABLE BEAMS,2510,352.822621367,338.333305935,4.9,PXL
306553:6381,29:29,1510471273,STABLE BEAMS,2510,352.729713544,333.489955623,4.9,PXL
306553:6381,30:30,1510471296,STABLE BEAMS,2510,351.380829587,244.775266174,4.9,PXL
306553:6381,31:31,1510471320,STABLE BEAMS,2510,353.228662966,99.413399024,4.9,PXL
306553:6381,32:32,1510471343,STABLE BEAMS,2510,354.931973064,44.188980956,4.9,PXL
306553:6381,33:33,1510471366,STABLE BEAMS,2510,353.077257624,34.330633883,4.9,PXL
306553:6381,34:34,1510471390,STABLE BEAMS,2510,349.419442202,101.505719005,4.9,PXL
306553:6381,35:35,1510471413,STABLE BEAMS,2510,351.893543132,336.140259434,4.9,PXL
306553:6381,36:36,1510471436,STABLE BEAMS,2510,348.490363967,333.249946396,4.8,PXL
306553:6381,37:37,1510471460,STABLE BEAMS,2510,348.793174651,333.471370635,4.8,PXL
306553:6381,38:38,1510471483,STABLE BEAMS,2510,348.490363967,333.194060042,4.8,PXL
306553:6381,39:39,1510471506,STABLE BEAMS,2510,348.555743546,333.294617212,4.8,PXL
306553:6381,40:40,1510471530,STABLE BEAMS,2510,349.247390677,333.976629545,4.9,PXL
306553:6381,41:41,1510471553,STABLE BEAMS,2510,349.701606703,334.450484227,4.9,PXL
306553:6381,42:42,1510471576,STABLE BEAMS,2510,346.301868568,331.130839439,4.8,PXL
306553:6381,43:43,1510471599,STABLE BEAMS,2510,348.645210339,328.636416394,4.8,PXL
306553:6381,44:44,1510471623,STABLE BEAMS,2510,347.740219318,332.584245962,4.8,PXL
306553:6381,45:45,1510471646,STABLE BEAMS,2510,347.674839738,332.580649565,4.8,PXL
306553:6381,46:46,1510471669,STABLE BEAMS,2510,344.309511908,329.353009703,4.8,PXL
306553:6381,47:47,1510471693,STABLE BEAMS,2510,344.884164002,329.948805600,4.8,PXL
306553:6381,48:48,1510471716,STABLE BEAMS,2510,344.033541262,329.241994613,4.8,PXL
306553:6381,49:49,1510471739,STABLE BEAMS,2510,344.423065915,324.875440547,4.8,PXL
306553:6381,50:50,1510471763,STABLE BEAMS,2510,343.143002568,328.319157945,4.8,PXL
306553:6381,51:51,1510471786,STABLE BEAMS,2510,344.825666483,329.887425510,4.8,PXL
306553:6381,52:52,1510471809,STABLE BEAMS,2510,343.186359553,328.403112927,4.8,PXL
306553:6381,53:53,1510471833,STABLE BEAMS,2510,343.795766054,330.116218472,4.8,PXL
306553:6381,54:54,1510471856,STABLE BEAMS,2510,343.470932775,329.879666377,4.8,PXL
306553:6381,55:55,1510471879,STABLE BEAMS,2510,340.719484787,327.173643332,4.7,PXL
306553:6381,56:56,1510471903,STABLE BEAMS,2510,340.819274671,327.358237064,4.7,PXL
306553:6381,57:57,1510471926,STABLE BEAMS,2510,341.377409819,327.919584507,4.7,PXL
306553:6381,58:58,1510471949,STABLE BEAMS,2510,341.787236551,328.281171428,4.7,PXL
306553:6381,59:59,1510471973,STABLE BEAMS,2510,341.716007220,328.256128074,4.7,PXL
306553:6381,60:60,1510471996,STABLE BEAMS,2510,338.949418697,325.612454935,4.7,PXL
306553:6381,61:61,1510472019,STABLE BEAMS,2510,340.313787291,326.955598575,4.7,PXL
306553:6381,62:62,1510472042,STABLE BEAMS,2510,340.062247961,326.735739981,4.7,PXL
306553:6381,63:63,1510472066,STABLE BEAMS,2510,339.807611704,326.876374061,4.7,PXL
306553:6381,64:64,1510472089,STABLE BEAMS,2510,338.453222099,325.620349855,4.7,PXL
306553:6381,65:65,1510472112,STABLE BEAMS,2510,337.959434222,325.151103879,4.7,PXL
306553:6381,66:66,1510472136,STABLE BEAMS,2510,338.132173953,325.313522375,4.7,PXL
306553:6381,67:67,1510472159,STABLE BEAMS,2510,339.671002793,326.856589827,4.7,PXL
306553:6381,68:68,1510472182,STABLE BEAMS,2510,336.726512994,324.013396761,4.7,PXL
306553:6381,69:69,1510472206,STABLE BEAMS,2510,333.710105657,321.148959610,4.6,PXL
306553:6381,70:70,1510472229,STABLE BEAMS,2510,336.785010512,324.114081715,4.7,PXL
306553:6381,71:71,1510472252,STABLE BEAMS,2510,333.518784361,311.793560853,4.6,PXL
306553:6381,72:72,1510472276,STABLE BEAMS,2510,332.774833567,320.298130026,4.6,PXL
306553:6381,73:73,1510472299,STABLE BEAMS,2510,334.953694080,322.436119481,4.7,PXL
306553:6381,74:74,1510472322,STABLE BEAMS,2510,332.830234158,320.398050718,4.6,PXL
306553:6381,75:75,1510472346,STABLE BEAMS,2510,332.862235741,320.454170123,4.6,PXL
306553:6381,76:76,1510472369,STABLE BEAMS,2510,331.826829664,319.386507430,4.6,PXL
306553:6381,77:77,1510472392,STABLE BEAMS,2510,333.972656284,321.510361079,4.6,PXL
306553:6381,78:78,1510472415,STABLE BEAMS,2510,333.979194242,321.481634013,4.6,PXL
306553:6381,79:79,1510472439,STABLE BEAMS,2510,329.976931666,304.041246402,4.6,PXL
306553:6381,80:80,1510472462,STABLE BEAMS,2510,332.536714256,320.164892972,4.6,PXL
306553:6381,81:81,1510472485,STABLE BEAMS,2510,332.742143777,320.389071725,4.6,PXL
