#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306553:6381,18:18,1510471017,STABLE BEAMS,2510,0.000000001,0.000000001,0.0,PXL
306553:6381,20:20,1510471063,STABLE BEAMS,2510,365.415319300,322.364228250,5.1,PXL
306553:6381,21:21,1510471087,STABLE BEAMS,2510,365.208450008,349.771038114,5.1,PXL
306553:6381,22:22,1510471110,STABLE BEAMS,2510,362.740043545,347.579907034,5.0,PXL
306553:6381,23:23,1510471133,STABLE BEAMS,2510,361.667128236,346.744172495,5.0,PXL
306553:6381,24:24,1510471157,STABLE BEAMS,2510,362.459542810,347.495378712,5.0,PXL
306553:6381,25:25,1510471180,STABLE BEAMS,2510,361.277933466,346.401641490,5.0,PXL
306553:6381,26:26,1510471203,STABLE BEAMS,2510,361.845947454,346.976135010,5.0,PXL
306553:6381,27:27,1510471227,STABLE BEAMS,2510,360.453962559,345.703408744,5.0,PXL
306553:6381,28:28,1510471250,STABLE BEAMS,2510,359.510778839,344.746801745,5.0,PXL
306553:6381,29:29,1510471273,STABLE BEAMS,2510,359.416109842,339.811640234,5.0,PXL
306553:6381,30:30,1510471296,STABLE BEAMS,2510,358.041656243,249.415260767,5.0,PXL
306553:6381,31:31,1510471320,STABLE BEAMS,2510,359.924517423,101.297892649,5.0,PXL
306553:6381,32:32,1510471343,STABLE BEAMS,2510,361.660115717,45.026632843,5.0,PXL
306553:6381,33:33,1510471366,STABLE BEAMS,2510,359.770242019,34.981410349,5.0,PXL
306553:6381,34:34,1510471390,STABLE BEAMS,2510,356.043088510,103.429875294,4.9,PXL
306553:6381,35:35,1510471413,STABLE BEAMS,2510,358.564088861,342.512183585,5.0,PXL
306553:6381,36:36,1510471436,STABLE BEAMS,2510,355.096398531,339.567081230,4.9,PXL
306553:6381,37:37,1510471460,STABLE BEAMS,2510,355.404949339,339.792703130,4.9,PXL
306553:6381,38:38,1510471483,STABLE BEAMS,2510,355.096398531,339.510135735,4.9,PXL
306553:6381,39:39,1510471506,STABLE BEAMS,2510,355.163017455,339.612599599,4.9,PXL
306553:6381,40:40,1510471530,STABLE BEAMS,2510,355.867775551,340.307539674,4.9,PXL
306553:6381,41:41,1510471553,STABLE BEAMS,2510,356.330601762,340.790376745,5.0,PXL
306553:6381,42:42,1510471576,STABLE BEAMS,2510,352.866417692,337.407804392,4.9,PXL
306553:6381,43:43,1510471599,STABLE BEAMS,2510,355.254180194,334.866096234,4.9,PXL
306553:6381,44:44,1510471623,STABLE BEAMS,2510,354.332034029,338.888761866,4.9,PXL
306553:6381,45:45,1510471646,STABLE BEAMS,2510,354.265415105,338.885097351,4.9,PXL
306553:6381,46:46,1510471669,STABLE BEAMS,2510,350.836293626,335.596273748,4.9,PXL
306553:6381,47:47,1510471693,STABLE BEAMS,2510,351.421838909,336.203363558,4.9,PXL
306553:6381,48:48,1510471716,STABLE BEAMS,2510,350.555080683,335.483143156,4.9,PXL
306553:6381,49:49,1510471739,STABLE BEAMS,2510,350.952000179,331.033827015,4.9,PXL
306553:6381,50:50,1510471763,STABLE BEAMS,2510,349.647671764,334.542824220,4.9,PXL
306553:6381,51:51,1510471786,STABLE BEAMS,2510,351.362232503,336.140820000,4.9,PXL
306553:6381,52:52,1510471809,STABLE BEAMS,2510,349.691856108,334.628375608,4.9,PXL
306553:6381,53:53,1510471833,STABLE BEAMS,2510,350.312820088,336.373960144,4.9,PXL
306553:6381,54:54,1510471856,STABLE BEAMS,2510,349.981807307,336.132903324,4.9,PXL
306553:6381,55:55,1510471879,STABLE BEAMS,2510,347.178224380,333.375605116,4.8,PXL
306553:6381,56:56,1510471903,STABLE BEAMS,2510,347.279905896,333.563698330,4.8,PXL
306553:6381,57:57,1510471926,STABLE BEAMS,2510,347.848604700,334.135671063,4.8,PXL
306553:6381,58:58,1510471949,STABLE BEAMS,2510,348.266205647,334.504117589,4.8,PXL
306553:6381,59:59,1510471973,STABLE BEAMS,2510,348.193615125,334.478588511,4.8,PXL
306553:6381,60:60,1510471996,STABLE BEAMS,2510,345.374582743,331.784802089,4.8,PXL
306553:6381,61:61,1510472019,STABLE BEAMS,2510,346.764814508,333.153406326,4.8,PXL
306553:6381,62:62,1510472042,STABLE BEAMS,2510,346.508528876,332.929401166,4.8,PXL
306553:6381,63:63,1510472066,STABLE BEAMS,2510,346.249065697,333.072701037,4.8,PXL
306553:6381,64:64,1510472089,STABLE BEAMS,2510,344.868996605,331.792862470,4.8,PXL
306553:6381,65:65,1510472112,STABLE BEAMS,2510,344.365848413,331.314721154,4.8,PXL
306553:6381,66:66,1510472136,STABLE BEAMS,2510,344.541846188,331.480203366,4.8,PXL
306553:6381,67:67,1510472159,STABLE BEAMS,2510,346.109856251,333.052531303,4.8,PXL
306553:6381,68:68,1510472182,STABLE BEAMS,2510,343.109539313,330.155431806,4.8,PXL
306553:6381,69:69,1510472206,STABLE BEAMS,2510,340.035974429,327.236717050,4.7,PXL
306553:6381,70:70,1510472229,STABLE BEAMS,2510,343.169145719,330.258025400,4.8,PXL
306553:6381,71:71,1510472252,STABLE BEAMS,2510,339.841020940,317.703971299,4.7,PXL
306553:6381,72:72,1510472276,STABLE BEAMS,2510,339.082956748,326.369742885,4.7,PXL
306553:6381,73:73,1510472299,STABLE BEAMS,2510,341.303131018,328.548270636,4.7,PXL
306553:6381,74:74,1510472322,STABLE BEAMS,2510,339.139412999,326.471563253,4.7,PXL
306553:6381,75:75,1510472346,STABLE BEAMS,2510,339.172010253,326.528736282,4.7,PXL
306553:6381,76:76,1510472369,STABLE BEAMS,2510,338.116982344,325.440839690,4.7,PXL
306553:6381,77:77,1510472392,STABLE BEAMS,2510,340.303491047,327.604958573,4.7,PXL
306553:6381,78:78,1510472415,STABLE BEAMS,2510,340.310147461,327.575681859,4.7,PXL
306553:6381,79:79,1510472439,STABLE BEAMS,2510,336.232011929,309.804687891,4.7,PXL
