#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306542:6380,20:20,1510427683,FLAT TOP,2510,0.004574177,0.003302611,0.0,PLTZERO
306542:6380,21:21,1510427707,FLAT TOP,2510,0.008525082,0.003398607,0.0,PLTZERO
306542:6380,22:0,1510427730,FLAT TOP,2510,0.008635224,0,0.0,PLTZERO
306542:6380,23:0,1510427753,FLAT TOP,2510,0.008770418,0,0.0,PLTZERO
306542:6380,24:0,1510427777,FLAT TOP,2510,0.005287539,0,0.0,PLTZERO
306542:6380,25:0,1510427804,FLAT TOP,2510,0.006234764,0,0.0,PLTZERO
306542:6380,26:0,1510427828,FLAT TOP,2510,0.004956145,0,0.0,PLTZERO
306542:6380,27:0,1510427846,FLAT TOP,2510,0.005883701,0,0.0,PLTZERO
306542:6380,28:0,1510427870,FLAT TOP,2510,0.005236725,0,0.0,PLTZERO
306542:6380,29:0,1510427893,FLAT TOP,2510,0.005163310,0,0.0,PLTZERO
306542:6380,30:0,1510427920,FLAT TOP,2510,0.006324489,0,0.0,PLTZERO
306542:6380,31:0,1510427940,FLAT TOP,2510,0.009903945,0,0.0,PLTZERO
306542:6380,32:0,1510427963,FLAT TOP,2510,0.005629612,0,0.0,PLTZERO
306542:6380,33:0,1510427986,ADJUST,2510,0.009530454,0,0.0,PLTZERO
306542:6380,34:0,1510428010,ADJUST,2510,0.008165998,0,0.0,PLTZERO
306542:6380,35:0,1510428033,ADJUST,2510,0.009160134,0,0.0,PLTZERO
306542:6380,36:0,1510428056,ADJUST,2510,0.008404303,0,0.0,PLTZERO
306542:6380,37:0,1510428080,ADJUST,2510,0.009895239,0,0.0,PLTZERO
306542:6380,38:0,1510428103,ADJUST,2510,0.008154378,0,0.0,PLTZERO
306542:6380,39:0,1510428126,ADJUST,2510,0.004408931,0,0.0,PLTZERO
306545:6380,1:1,1510428150,ADJUST,2510,0.009822056,0.008822441,0.0,PLTZERO
306545:6380,2:2,1510428173,ADJUST,2510,0.005638973,0.005595583,0.0,PLTZERO
306545:6380,3:3,1510428196,ADJUST,2510,0.009357423,0.007118895,0.0,PLTZERO
306545:6380,4:4,1510428220,ADJUST,2510,0.007951760,0.007666593,0.0,PLTZERO
306545:6380,5:5,1510428243,ADJUST,2510,2.702969886,2.606661285,0.9,PLTZERO
306545:6380,6:6,1510428266,ADJUST,2510,3.956610431,3.815218038,1.3,PLTZERO
306545:6380,7:7,1510428290,ADJUST,2510,3.959254583,3.019725490,1.3,PLTZERO
306545:6380,8:8,1510428313,ADJUST,2510,3.760794980,3.734500830,1.2,PLTZERO
306545:6380,9:9,1510428336,ADJUST,2510,3.831328218,3.804313059,1.2,PLTZERO
306545:6380,10:10,1510428360,ADJUST,2510,3.785208098,3.758571301,1.2,PLTZERO
306545:6380,11:11,1510428383,ADJUST,2510,3.834003236,3.807136743,1.2,PLTZERO
306545:6380,12:12,1510428406,ADJUST,2510,3.903693402,3.876437387,1.3,PLTZERO
306545:6380,13:13,1510428430,ADJUST,2510,3.965521780,3.937812756,1.3,PLTZERO
306545:6380,14:14,1510428453,ADJUST,2510,3.955038701,3.870187170,1.3,PLTZERO
306545:6380,15:15,1510428476,ADJUST,2510,3.944710415,3.735816476,1.3,PLTZERO
306545:6380,16:16,1510428499,ADJUST,2510,3.960846040,2.760557198,1.3,PLTZERO
306545:6380,17:17,1510428523,ADJUST,2510,3.955946928,3.814686630,1.3,PLTZERO
306545:6380,18:18,1510428546,ADJUST,2510,3.939706288,2.404866845,1.3,PLTZERO
306545:6380,19:0,1510428569,ADJUST,2510,3.964893668,0,1.3,PLTZERO
306545:6380,20:0,1510428593,ADJUST,2510,3.945097981,0,1.3,PLTZERO
306545:6380,21:0,1510428616,STABLE BEAMS,2510,3.946568179,0,1.3,PLTZERO
306545:6380,22:0,1510428639,STABLE BEAMS,2510,3.941396958,0,1.3,PLTZERO
306545:6380,23:0,1510428663,STABLE BEAMS,2510,3.935175016,0,1.3,PLTZERO
306545:6380,24:0,1510428686,STABLE BEAMS,2510,3.950635533,0,1.3,PLTZERO
306546:6380,1:1,1510428696,STABLE BEAMS,2510,3.953105744,1.970790232,1.3,PLTZERO
306546:6380,2:2,1510428719,STABLE BEAMS,2510,3.945242448,3.804010020,1.3,PLTZERO
306546:6380,3:3,1510428742,STABLE BEAMS,2510,3.945418013,2.917538261,1.3,PLTZERO
306546:6380,4:4,1510428766,STABLE BEAMS,2510,3.937225402,3.712642155,1.3,PLTZERO
306546:6380,5:5,1510428789,STABLE BEAMS,2510,3.933148417,3.708718590,1.3,PLTZERO
306546:6380,6:6,1510428812,STABLE BEAMS,2510,3.923842192,3.839535448,1.3,PLTZERO
306546:6380,7:7,1510428836,STABLE BEAMS,2510,3.933003079,3.652732777,1.3,PLTZERO
306546:6380,8:8,1510428859,STABLE BEAMS,2510,3.911911193,3.827927279,1.3,PLTZERO
306546:6380,9:9,1510428882,STABLE BEAMS,2510,3.940755850,3.687929604,1.3,PLTZERO
306546:6380,10:10,1510428905,STABLE BEAMS,2510,3.917432558,3.833118174,1.3,PLTZERO
306546:6380,11:11,1510428929,STABLE BEAMS,2510,3.928336913,3.760083383,1.3,PLTZERO
306546:6380,12:12,1510428952,STABLE BEAMS,2510,3.915575664,3.328582319,1.3,PLTZERO
306546:6380,13:13,1510428975,STABLE BEAMS,2510,3.910426259,3.459913127,1.3,PLTZERO
306546:6380,14:14,1510428999,STABLE BEAMS,2510,3.915056976,3.751065876,1.3,PLTZERO
306546:6380,15:15,1510429022,STABLE BEAMS,2510,3.910453759,3.882235170,1.3,PLTZERO
306546:6380,16:16,1510429045,STABLE BEAMS,2510,3.902700699,3.789443794,1.3,PLTZERO
306546:6380,17:17,1510429069,STABLE BEAMS,2510,3.903794935,3.533896936,1.3,PLTZERO
306546:6380,18:18,1510429092,STABLE BEAMS,2510,3.910337142,3.664880626,1.3,PLTZERO
306546:6380,19:19,1510429115,STABLE BEAMS,2510,3.896392076,3.812494740,1.3,PLTZERO
306546:6380,20:20,1510429139,STABLE BEAMS,2510,3.902618893,3.652399071,1.3,PLTZERO
306546:6380,21:21,1510429162,STABLE BEAMS,2510,3.902607869,3.818933303,1.3,PLTZERO
306546:6380,22:22,1510429185,STABLE BEAMS,2510,3.901061898,3.872984135,1.3,PLTZERO
306546:6380,23:23,1510429208,STABLE BEAMS,2510,3.888867030,3.525153586,1.3,PLTZERO
306546:6380,24:24,1510429232,STABLE BEAMS,2510,3.914273721,3.774789955,1.3,PLTZERO
306546:6380,25:25,1510429255,STABLE BEAMS,2510,3.883486593,3.799874544,1.3,PLTZERO
306546:6380,26:26,1510429278,STABLE BEAMS,2510,3.887388942,3.748682562,1.3,PLTZERO
306546:6380,27:27,1510429302,STABLE BEAMS,2510,3.894062503,3.807992523,1.3,PLTZERO
306546:6380,28:28,1510429325,STABLE BEAMS,2510,3.870445694,3.619066671,1.3,PLTZERO
306546:6380,29:29,1510429348,STABLE BEAMS,2510,3.892027550,3.296181328,1.3,PLTZERO
306546:6380,30:30,1510429372,STABLE BEAMS,2510,3.886341121,3.856093640,1.3,PLTZERO
306546:6380,31:31,1510429395,STABLE BEAMS,2510,3.877954263,3.847719606,1.3,PLTZERO
306546:6380,32:32,1510429418,STABLE BEAMS,2510,3.872095751,3.841816802,1.3,PLTZERO
306546:6380,33:33,1510429442,STABLE BEAMS,2510,3.884042414,3.853717864,1.3,PLTZERO
306546:6380,34:34,1510429465,STABLE BEAMS,2510,3.871491194,3.841260609,1.3,PLTZERO
306546:6380,35:35,1510429488,STABLE BEAMS,2510,3.871070557,3.841046637,1.3,PLTZERO
306546:6380,36:36,1510429512,STABLE BEAMS,2510,3.868002868,3.821169004,1.3,PLTZERO
306546:6380,37:37,1510429535,STABLE BEAMS,2510,3.879015660,1.897703445,1.3,PLTZERO
306546:6380,38:38,1510429558,STABLE BEAMS,2510,3.871503958,3.823040746,1.3,PLTZERO
306546:6380,39:39,1510429582,STABLE BEAMS,2510,3.870147477,1.522522752,1.3,PLTZERO
306546:6380,40:40,1510429605,STABLE BEAMS,2510,3.863381028,3.813183994,1.2,PLTZERO
306546:6380,41:41,1510429628,STABLE BEAMS,2510,3.866344689,2.300904177,1.3,PLTZERO
306546:6380,42:42,1510429651,STABLE BEAMS,2510,3.843210249,3.798837689,1.2,PLTZERO
306546:6380,43:43,1510429675,STABLE BEAMS,2510,0.490141444,0.484507913,0.2,PLTZERO
306546:6380,44:44,1510429698,STABLE BEAMS,2510,0.900440407,0.890132094,0.3,PLTZERO
306546:6380,45:45,1510429721,STABLE BEAMS,2510,2.468032782,2.439517499,0.8,PLTZERO
306546:6380,46:46,1510429745,STABLE BEAMS,2510,3.694273166,3.651601614,1.2,PLTZERO
306546:6380,47:47,1510429768,STABLE BEAMS,2510,2.720276332,2.688717898,0.9,PLTZERO
306546:6380,48:48,1510429791,STABLE BEAMS,2510,1.081325459,1.068906235,0.3,PLTZERO
306546:6380,49:49,1510429815,STABLE BEAMS,2510,0.285311921,0.282039563,0.1,PLTZERO
306546:6380,50:50,1510429838,STABLE BEAMS,2510,2.634401457,2.603772119,0.9,PLTZERO
306546:6380,51:51,1510429861,STABLE BEAMS,2510,1.019645667,1.007906912,0.3,PLTZERO
306546:6380,52:52,1510429885,STABLE BEAMS,2510,2.363714814,2.336434314,0.8,PLTZERO
306546:6380,53:53,1510429908,STABLE BEAMS,2510,3.635283651,3.593220980,1.2,PLTZERO
306546:6380,54:54,1510429931,STABLE BEAMS,2510,3.566389736,3.525374667,1.2,PLTZERO
306546:6380,55:55,1510429954,STABLE BEAMS,2510,2.166568120,2.141690317,0.7,PLTZERO
306546:6380,56:56,1510429978,STABLE BEAMS,2510,0.922688958,0.912128340,0.3,PLTZERO
306546:6380,57:57,1510430001,STABLE BEAMS,2510,3.034063620,2.999126344,1.0,PLTZERO
306546:6380,58:58,1510430024,STABLE BEAMS,2510,3.831760459,3.781939059,1.2,PLTZERO
306546:6380,59:59,1510430048,STABLE BEAMS,2510,3.842211976,3.797623095,1.2,PLTZERO
306546:6380,60:60,1510430071,STABLE BEAMS,2510,3.850712319,3.806112260,1.2,PLTZERO
306546:6380,61:61,1510430094,STABLE BEAMS,2510,3.829709492,3.785236485,1.2,PLTZERO
306546:6380,62:62,1510430118,STABLE BEAMS,2510,3.841906507,3.797495708,1.2,PLTZERO
306546:6380,63:63,1510430141,STABLE BEAMS,2510,3.844081692,3.799563098,1.2,PLTZERO
306546:6380,64:64,1510430164,STABLE BEAMS,2510,3.842661042,3.798084276,1.2,PLTZERO
306546:6380,65:65,1510430188,STABLE BEAMS,2510,3.841052759,3.796838317,1.2,PLTZERO
306546:6380,66:66,1510430211,STABLE BEAMS,2510,3.846340308,1.048887194,1.2,PLTZERO
306546:6380,67:0,1510430234,STABLE BEAMS,2510,3.853309824,0,1.2,PLTZERO
306546:6380,68:0,1510430258,STABLE BEAMS,2510,3.845743004,0,1.2,PLTZERO
306546:6380,69:0,1510430281,STABLE BEAMS,2510,3.844174754,0,1.2,PLTZERO
306546:6380,70:0,1510430304,STABLE BEAMS,2510,3.847837717,0,1.2,PLTZERO
306546:6380,71:0,1510430327,STABLE BEAMS,2510,3.832392284,0,1.2,PLTZERO
306546:6380,72:0,1510430351,STABLE BEAMS,2510,3.843859132,0,1.2,PLTZERO
306547:6380,1:1,1510430368,STABLE BEAMS,2510,3.841593495,3.813996378,1.2,PLTZERO
306547:6380,2:2,1510430391,STABLE BEAMS,2510,3.841183882,3.814362983,1.2,PLTZERO
306547:6380,3:3,1510430414,STABLE BEAMS,2510,3.830689431,3.803786380,1.2,PLTZERO
306547:6380,4:4,1510430438,STABLE BEAMS,2510,3.829747204,3.803069247,1.2,PLTZERO
306547:6380,5:5,1510430461,STABLE BEAMS,2510,1.617732215,1.606537733,0.5,PLTZERO
306547:6380,6:6,1510430484,STABLE BEAMS,2510,0.023714252,0.023549503,0.0,PLTZERO
306547:6380,7:7,1510430508,STABLE BEAMS,2510,0.023903946,0.023738824,0.0,PLTZERO
306547:6380,8:8,1510430531,STABLE BEAMS,2510,0.058211396,0.057805734,0.0,PLTZERO
306547:6380,9:9,1510430554,STABLE BEAMS,2510,0.057784475,0.057384815,0.0,PLTZERO
306547:6380,10:10,1510430578,STABLE BEAMS,2510,0.115635359,0.114831790,0.0,PLTZERO
306547:6380,11:11,1510430601,STABLE BEAMS,2510,0.148015598,0.146986731,0.0,PLTZERO
306547:6380,12:12,1510430624,STABLE BEAMS,2510,0.219171042,0.217658399,0.1,PLTZERO
306547:6380,13:13,1510430647,STABLE BEAMS,2510,0.335171334,0.332841476,0.1,PLTZERO
306547:6380,14:14,1510430671,STABLE BEAMS,2510,0.375737483,0.373128310,0.1,PLTZERO
306547:6380,15:15,1510430694,STABLE BEAMS,2510,0.680539819,0.675806506,0.2,PLTZERO
306547:6380,16:16,1510430717,STABLE BEAMS,2510,0.682975103,0.678258602,0.2,PLTZERO
306547:6380,17:17,1510430741,STABLE BEAMS,2510,1.160764360,1.152696206,0.4,PLTZERO
306547:6380,18:18,1510430764,STABLE BEAMS,2510,1.256679225,1.247941125,0.4,PLTZERO
306547:6380,19:19,1510430787,STABLE BEAMS,2510,1.699322572,1.687529906,0.5,PLTZERO
306547:6380,20:20,1510430811,STABLE BEAMS,2510,2.018052834,2.004019255,0.7,PLTZERO
306547:6380,21:21,1510430834,STABLE BEAMS,2510,2.263040140,2.247294282,0.7,PLTZERO
306547:6380,22:22,1510430857,STABLE BEAMS,2510,2.877856136,2.857605441,0.9,PLTZERO
306547:6380,23:23,1510430881,STABLE BEAMS,2510,2.878101266,2.858136798,0.9,PLTZERO
