#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306552:6381,96:0,1510470467,FLAT TOP,2510,0.043614371,0,0.0,PLTZERO
306552:6381,97:0,1510470489,FLAT TOP,2510,0.047339159,0,0.0,PLTZERO
306552:6381,98:0,1510470512,ADJUST,2510,0.052064890,0,0.0,PLTZERO
306552:6381,99:0,1510470536,ADJUST,2510,0.053198342,0,0.0,PLTZERO
306552:6381,100:0,1510470559,ADJUST,2510,0.050932682,0,0.0,PLTZERO
306552:6381,101:0,1510470582,ADJUST,2510,0.048930821,0,0.0,PLTZERO
306552:6381,102:0,1510470606,ADJUST,2510,0.051982844,0,0.0,PLTZERO
306553:6381,1:1,1510470620,ADJUST,2510,0.052733595,0.051881982,0.0,PLTZERO
306553:6381,2:2,1510470644,ADJUST,2510,223.386613774,213.491850616,3.1,PLTZERO
306553:6381,3:3,1510470667,ADJUST,2510,376.232521030,369.688324601,5.2,PLTZERO
306553:6381,4:4,1510470690,ADJUST,2510,375.753709435,369.172283845,5.2,PLTZERO
306553:6381,5:5,1510470714,ADJUST,2510,371.440155354,364.952102382,5.2,PLTZERO
306553:6381,6:6,1510470737,ADJUST,2510,320.881297605,315.410661801,4.5,PLTZERO
306553:6381,7:7,1510470760,ADJUST,2510,350.048375133,343.989864181,4.9,PLTZERO
306553:6381,8:8,1510470784,ADJUST,2510,349.585126710,343.542762489,4.9,PLTZERO
306553:6381,9:9,1510470807,ADJUST,2510,354.819922914,348.672977416,4.9,PLTZERO
306553:6381,10:10,1510470830,ADJUST,2510,381.644025273,374.940648128,5.3,PLTZERO
306553:6381,11:11,1510470854,ADJUST,2510,381.014980259,374.336312182,5.3,PLTZERO
306553:6381,12:12,1510470877,ADJUST,2510,380.319174407,373.638523521,5.3,PLTZERO
306553:6381,13:13,1510470900,ADJUST,2510,379.859084560,373.197703234,5.3,PLTZERO
306553:6381,14:14,1510470923,ADJUST,2510,379.467880412,372.809002618,5.3,PLTZERO
306553:6381,15:15,1510470947,ADJUST,2510,378.973189787,366.990090165,5.3,PLTZERO
306553:6381,16:16,1510470970,ADJUST,2510,378.435887084,371.796147785,5.3,PLTZERO
306553:6381,17:17,1510470993,ADJUST,2510,377.876388198,371.273912746,5.3,PLTZERO
306553:6381,18:18,1510471017,STABLE BEAMS,2510,377.310170156,363.792786223,5.2,PLTZERO
306553:6381,19:19,1510471040,STABLE BEAMS,2510,376.848644592,37.315419626,5.2,PLTZERO
306553:6381,20:20,1510471063,STABLE BEAMS,2510,376.402969344,332.057377770,5.2,PLTZERO
306553:6381,21:21,1510471087,STABLE BEAMS,2510,375.698463047,359.817636845,5.2,PLTZERO
306553:6381,22:22,1510471110,STABLE BEAMS,2510,375.103272238,359.426434475,5.2,PLTZERO
306553:6381,23:23,1510471133,STABLE BEAMS,2510,374.760279464,359.297079667,5.2,PLTZERO
306553:6381,24:24,1510471157,STABLE BEAMS,2510,374.122620147,358.676945198,5.2,PLTZERO
306553:6381,25:25,1510471180,STABLE BEAMS,2510,373.745026595,358.355378833,5.2,PLTZERO
306553:6381,26:26,1510471203,STABLE BEAMS,2510,373.275977875,357.936456127,5.2,PLTZERO
306553:6381,27:27,1510471227,STABLE BEAMS,2510,372.637916558,357.388769059,5.2,PLTZERO
306553:6381,28:28,1510471250,STABLE BEAMS,2510,372.338971580,357.048180951,5.2,PLTZERO
306553:6381,29:29,1510471273,STABLE BEAMS,2510,371.734620896,351.458234063,5.2,PLTZERO
306553:6381,30:30,1510471296,STABLE BEAMS,2510,371.302757244,258.653071247,5.2,PLTZERO
306553:6381,31:31,1510471320,STABLE BEAMS,2510,370.751815230,104.345149498,5.2,PLTZERO
306553:6381,32:32,1510471343,STABLE BEAMS,2510,370.243054580,46.095207508,5.1,PLTZERO
306553:6381,33:33,1510471366,STABLE BEAMS,2510,369.769296708,35.953644832,5.1,PLTZERO
306553:6381,34:34,1510471390,STABLE BEAMS,2510,369.404940466,107.311469197,5.1,PLTZERO
306553:6381,35:35,1510471413,STABLE BEAMS,2510,368.820747248,352.309680239,5.1,PLTZERO
306553:6381,36:36,1510471436,STABLE BEAMS,2510,368.312589599,352.205292838,5.1,PLTZERO
306553:6381,37:37,1510471460,STABLE BEAMS,2510,367.993745584,351.828498110,5.1,PLTZERO
306553:6381,38:38,1510471483,STABLE BEAMS,2510,367.444641288,351.316376496,5.1,PLTZERO
306553:6381,39:39,1510471506,STABLE BEAMS,2510,367.049015131,350.978182081,5.1,PLTZERO
306553:6381,40:40,1510471530,STABLE BEAMS,2510,366.527275600,350.500955558,5.1,PLTZERO
306553:6381,41:41,1510471553,STABLE BEAMS,2510,365.903772452,349.946044066,5.1,PLTZERO
306553:6381,42:42,1510471576,STABLE BEAMS,2510,365.615710208,349.598567184,5.1,PLTZERO
306553:6381,43:43,1510471599,STABLE BEAMS,2510,365.123288016,344.168814665,5.1,PLTZERO
306553:6381,44:44,1510471623,STABLE BEAMS,2510,364.905891759,349.001766646,5.1,PLTZERO
306553:6381,45:45,1510471646,STABLE BEAMS,2510,364.319659823,348.502840305,5.1,PLTZERO
306553:6381,46:46,1510471669,STABLE BEAMS,2510,363.628046265,347.832363908,5.1,PLTZERO
306553:6381,47:47,1510471693,STABLE BEAMS,2510,363.276324332,347.544485341,5.0,PLTZERO
306553:6381,48:48,1510471716,STABLE BEAMS,2510,362.879348601,347.277535439,5.0,PLTZERO
306553:6381,49:49,1510471739,STABLE BEAMS,2510,362.289268944,341.727652567,5.0,PLTZERO
306553:6381,50:50,1510471763,STABLE BEAMS,2510,361.941940305,346.305977965,5.0,PLTZERO
306553:6381,51:51,1510471786,STABLE BEAMS,2510,361.477744308,345.818116300,5.0,PLTZERO
306553:6381,52:52,1510471809,STABLE BEAMS,2510,361.035342494,345.483224975,5.0,PLTZERO
306553:6381,53:53,1510471833,STABLE BEAMS,2510,360.637849905,346.288159594,5.0,PLTZERO
306553:6381,54:54,1510471856,STABLE BEAMS,2510,360.172074620,345.919938153,5.0,PLTZERO
306553:6381,55:55,1510471879,STABLE BEAMS,2510,359.512822121,345.219821420,5.0,PLTZERO
306553:6381,56:56,1510471903,STABLE BEAMS,2510,359.289137423,345.098611852,5.0,PLTZERO
306553:6381,57:57,1510471926,STABLE BEAMS,2510,358.791288222,344.646970670,5.0,PLTZERO
306553:6381,58:58,1510471949,STABLE BEAMS,2510,358.218322310,344.062966391,5.0,PLTZERO
306553:6381,59:59,1510471973,STABLE BEAMS,2510,357.764147617,343.672146521,5.0,PLTZERO
306553:6381,60:60,1510471996,STABLE BEAMS,2510,357.478899378,343.412838719,5.0,PLTZERO
306553:6381,61:61,1510472019,STABLE BEAMS,2510,356.717797120,342.715708848,5.0,PLTZERO
306553:6381,62:62,1510472042,STABLE BEAMS,2510,356.239588526,342.279115796,4.9,PLTZERO
306553:6381,63:63,1510472066,STABLE BEAMS,2510,355.873710424,342.331083899,4.9,PLTZERO
306553:6381,64:64,1510472089,STABLE BEAMS,2510,355.331928284,341.859079166,4.9,PLTZERO
306553:6381,65:65,1510472112,STABLE BEAMS,2510,354.781646700,341.335770922,4.9,PLTZERO
306553:6381,66:66,1510472136,STABLE BEAMS,2510,354.190217469,340.762803172,4.9,PLTZERO
306553:6381,67:67,1510472159,STABLE BEAMS,2510,354.012906429,340.657431364,4.9,PLTZERO
306553:6381,68:68,1510472182,STABLE BEAMS,2510,353.447119102,340.102716064,4.9,PLTZERO
306553:6381,69:69,1510472206,STABLE BEAMS,2510,352.883112064,339.600276965,4.9,PLTZERO
306553:6381,70:70,1510472229,STABLE BEAMS,2510,352.336907916,339.080867075,4.9,PLTZERO
306553:6381,71:71,1510472252,STABLE BEAMS,2510,352.032535927,329.101337977,4.9,PLTZERO
306553:6381,72:72,1510472276,STABLE BEAMS,2510,351.410238782,338.234838986,4.9,PLTZERO
306553:6381,73:73,1510472299,STABLE BEAMS,2510,351.047260829,337.928251970,4.9,PLTZERO
306553:6381,74:74,1510472322,STABLE BEAMS,2510,350.689939600,337.590643876,4.9,PLTZERO
306553:6381,75:75,1510472346,STABLE BEAMS,2510,350.231055755,337.175535084,4.9,PLTZERO
306553:6381,76:76,1510472369,STABLE BEAMS,2510,349.755833452,336.643345555,4.9,PLTZERO
306553:6381,77:77,1510472392,STABLE BEAMS,2510,349.221775470,336.190454390,4.9,PLTZERO
306553:6381,78:78,1510472415,STABLE BEAMS,2510,348.774291218,335.723095867,4.8,PLTZERO
306553:6381,79:79,1510472439,STABLE BEAMS,2510,348.187513709,320.820505440,4.8,PLTZERO
306553:6381,80:80,1510472462,STABLE BEAMS,2510,347.989327345,335.042601095,4.8,PLTZERO
306553:6381,81:81,1510472485,STABLE BEAMS,2510,347.434307895,334.535788899,4.8,PLTZERO
306553:6381,82:82,1510472509,STABLE BEAMS,2510,346.920292520,333.997528084,4.8,PLTZERO
306553:6381,83:83,1510472532,STABLE BEAMS,2510,346.492104304,333.619573072,4.8,PLTZERO
306553:6381,84:84,1510472555,STABLE BEAMS,2510,346.172197858,333.341410685,4.8,PLTZERO
306553:6381,85:85,1510472579,STABLE BEAMS,2510,345.695281409,332.850377443,4.8,PLTZERO
306553:6381,86:86,1510472602,STABLE BEAMS,2510,345.292189524,332.519385749,4.8,PLTZERO
306553:6381,87:87,1510472625,STABLE BEAMS,2510,344.834971112,332.131803414,4.8,PLTZERO
306553:6381,88:88,1510472649,STABLE BEAMS,2510,344.305335137,331.546428613,4.8,PLTZERO
306553:6381,89:89,1510472672,STABLE BEAMS,2510,343.842086713,331.142647589,4.8,PLTZERO
306553:6381,90:90,1510472695,STABLE BEAMS,2510,343.517959260,330.836546995,4.8,PLTZERO
306553:6381,91:91,1510472718,STABLE BEAMS,2510,343.261454073,325.911641625,4.8,PLTZERO
