#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
326381:7427,52:52,1541708433,STABLE BEAMS,6370,0.000152437,0.000150965,0.0,HFOC
326381:7427,53:53,1541708456,STABLE BEAMS,6370,0.000151845,0.000150378,0.0,HFOC
326381:7427,54:54,1541708479,STABLE BEAMS,6370,0.000151828,0.000103761,0.0,HFOC
326381:7427,55:55,1541708503,STABLE BEAMS,6370,0.000152586,0.000150371,0.0,HFOC
326381:7427,56:56,1541708526,STABLE BEAMS,6370,0.000150933,0.000149509,0.0,HFOC
326381:7427,57:57,1541708549,STABLE BEAMS,6370,0.000149900,0.000148490,0.0,HFOC
326381:7427,58:58,1541708573,STABLE BEAMS,6370,0.000151040,0.000149618,0.0,HFOC
326381:7427,59:59,1541708596,STABLE BEAMS,6370,0.000150959,0.000149530,0.0,HFOC
326381:7427,60:60,1541708619,STABLE BEAMS,6370,0.000151083,0.000149656,0.0,HFOC
326381:7427,61:61,1541708643,STABLE BEAMS,6370,0.000149133,0.000147720,0.0,HFOC
326381:7427,62:62,1541708666,STABLE BEAMS,6370,0.000151279,0.000149823,0.0,HFOC
326381:7427,63:63,1541708689,STABLE BEAMS,6370,0.000149801,0.000148397,0.0,HFOC
326381:7427,64:64,1541708713,STABLE BEAMS,6370,0.000149891,0.000148478,0.0,HFOC
326381:7427,65:65,1541708736,STABLE BEAMS,6370,0.000149113,0.000147717,0.0,HFOC
326381:7427,66:66,1541708759,STABLE BEAMS,6370,0.000148126,0.000146740,0.0,HFOC
326381:7427,67:67,1541708783,STABLE BEAMS,6370,0.000149700,0.000148292,0.0,HFOC
326381:7427,68:68,1541708806,STABLE BEAMS,6370,0.000147400,0.000146023,0.0,HFOC
326381:7427,69:69,1541708829,STABLE BEAMS,6370,0.000148613,0.000147212,0.0,HFOC
326381:7427,70:70,1541708852,STABLE BEAMS,6370,0.000147559,0.000146183,0.0,HFOC
326381:7427,71:71,1541708876,STABLE BEAMS,6370,0.000145420,0.000144070,0.0,HFOC
326381:7427,72:72,1541708899,STABLE BEAMS,6370,0.000148295,0.000146872,0.0,HFOC
326381:7427,73:73,1541708922,STABLE BEAMS,6370,0.000145445,0.000144070,0.0,HFOC
326381:7427,74:74,1541708946,STABLE BEAMS,6370,0.000148887,0.000147482,0.0,HFOC
326381:7427,75:75,1541708969,STABLE BEAMS,6370,0.000147828,0.000146441,0.0,HFOC
326381:7427,76:76,1541708992,STABLE BEAMS,6370,0.000145700,0.000144321,0.0,HFOC
326381:7427,77:77,1541709016,STABLE BEAMS,6370,0.000146664,0.000145282,0.0,HFOC
326381:7427,78:78,1541709039,STABLE BEAMS,6370,0.000144351,0.000143006,0.0,HFOC
326381:7427,79:79,1541709062,STABLE BEAMS,6370,0.000144973,0.000143618,0.0,HFOC
326381:7427,80:80,1541709086,STABLE BEAMS,6370,0.000145731,0.000144371,0.0,HFOC
326381:7427,81:81,1541709109,STABLE BEAMS,6370,0.000146151,0.000144788,0.0,HFOC
326381:7427,82:82,1541709132,STABLE BEAMS,6370,0.000145080,0.000143733,0.0,HFOC
326381:7427,83:83,1541709156,STABLE BEAMS,6370,0.000144631,0.000143292,0.0,HFOC
326381:7427,84:84,1541709179,STABLE BEAMS,6370,0.000145578,0.000144219,0.0,HFOC
326381:7427,85:85,1541709202,STABLE BEAMS,6370,0.000144765,0.000143409,0.0,HFOC
326381:7427,86:86,1541709225,STABLE BEAMS,6370,0.000142569,0.000141243,0.0,HFOC
326381:7427,87:87,1541709249,STABLE BEAMS,6370,0.000147249,0.000145846,0.0,HFOC
326381:7427,88:88,1541709272,STABLE BEAMS,6370,0.000142366,0.000141048,0.0,HFOC
326381:7427,89:89,1541709295,STABLE BEAMS,6370,0.000142880,0.000141558,0.0,HFOC
326381:7427,90:90,1541709319,STABLE BEAMS,6370,0.000142106,0.000140795,0.0,HFOC
326381:7427,91:91,1541709342,STABLE BEAMS,6370,0.000143586,0.000142257,0.0,HFOC
326381:7427,92:92,1541709365,STABLE BEAMS,6370,0.000142323,0.000141002,0.0,HFOC
326381:7427,93:93,1541709389,STABLE BEAMS,6370,0.000141513,0.000133813,0.0,HFOC
326381:7427,94:94,1541709412,STABLE BEAMS,6370,0.000143012,0.000135423,0.0,HFOC
326381:7427,95:95,1541709435,STABLE BEAMS,6370,0.000142795,0.000141458,0.0,HFOC
326381:7427,96:96,1541709458,STABLE BEAMS,6370,0.000139507,0.000138223,0.0,HFOC
326381:7427,97:97,1541709482,STABLE BEAMS,6370,0.000141858,0.000140549,0.0,HFOC
326381:7427,98:98,1541709505,STABLE BEAMS,6370,0.000140316,0.000139020,0.0,HFOC
326381:7427,99:99,1541709528,STABLE BEAMS,6370,0.000144408,0.000143071,0.0,HFOC
326381:7427,100:100,1541709552,STABLE BEAMS,6370,0.000141048,0.000139747,0.0,HFOC
326381:7427,101:101,1541709575,STABLE BEAMS,6370,0.000141888,0.000140573,0.0,HFOC
