#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
326381:7427,52:52,1541708433,STABLE BEAMS,6370,0.000149158,0.000147717,0.0,HFOC
326381:7427,53:53,1541708456,STABLE BEAMS,6370,0.000148542,0.000147107,0.0,HFOC
326381:7427,54:54,1541708479,STABLE BEAMS,6370,0.000148525,0.000101503,0.0,HFOC
326381:7427,55:55,1541708503,STABLE BEAMS,6370,0.000149313,0.000147146,0.0,HFOC
326381:7427,56:56,1541708526,STABLE BEAMS,6370,0.000147595,0.000146202,0.0,HFOC
326381:7427,57:57,1541708549,STABLE BEAMS,6370,0.000146524,0.000145146,0.0,HFOC
326381:7427,58:58,1541708573,STABLE BEAMS,6370,0.000147706,0.000146315,0.0,HFOC
326381:7427,59:59,1541708596,STABLE BEAMS,6370,0.000147622,0.000146225,0.0,HFOC
326381:7427,60:60,1541708619,STABLE BEAMS,6370,0.000147750,0.000146355,0.0,HFOC
326381:7427,61:61,1541708643,STABLE BEAMS,6370,0.000145730,0.000144350,0.0,HFOC
326381:7427,62:62,1541708666,STABLE BEAMS,6370,0.000147954,0.000146530,0.0,HFOC
326381:7427,63:63,1541708689,STABLE BEAMS,6370,0.000146421,0.000145050,0.0,HFOC
326381:7427,64:64,1541708713,STABLE BEAMS,6370,0.000146515,0.000145133,0.0,HFOC
326381:7427,65:65,1541708736,STABLE BEAMS,6370,0.000145710,0.000144345,0.0,HFOC
326381:7427,66:66,1541708759,STABLE BEAMS,6370,0.000144691,0.000143337,0.0,HFOC
326381:7427,67:67,1541708783,STABLE BEAMS,6370,0.000146317,0.000144941,0.0,HFOC
326381:7427,68:68,1541708806,STABLE BEAMS,6370,0.000143943,0.000142599,0.0,HFOC
326381:7427,69:69,1541708829,STABLE BEAMS,6370,0.000145194,0.000143825,0.0,HFOC
326381:7427,70:70,1541708852,STABLE BEAMS,6370,0.000144107,0.000142763,0.0,HFOC
326381:7427,71:71,1541708876,STABLE BEAMS,6370,0.000141910,0.000140592,0.0,HFOC
326381:7427,72:72,1541708899,STABLE BEAMS,6370,0.000144865,0.000143475,0.0,HFOC
326381:7427,73:73,1541708922,STABLE BEAMS,6370,0.000141935,0.000140593,0.0,HFOC
326381:7427,74:74,1541708946,STABLE BEAMS,6370,0.000145477,0.000144104,0.0,HFOC
326381:7427,75:75,1541708969,STABLE BEAMS,6370,0.000144384,0.000143029,0.0,HFOC
326381:7427,76:76,1541708992,STABLE BEAMS,6370,0.000142197,0.000140850,0.0,HFOC
326381:7427,77:77,1541709016,STABLE BEAMS,6370,0.000143186,0.000141837,0.0,HFOC
326381:7427,78:78,1541709039,STABLE BEAMS,6370,0.000140815,0.000139503,0.0,HFOC
326381:7427,79:79,1541709062,STABLE BEAMS,6370,0.000141451,0.000140129,0.0,HFOC
326381:7427,80:80,1541709086,STABLE BEAMS,6370,0.000142228,0.000140901,0.0,HFOC
326381:7427,81:81,1541709109,STABLE BEAMS,6370,0.000142659,0.000141329,0.0,HFOC
326381:7427,82:82,1541709132,STABLE BEAMS,6370,0.000141561,0.000140247,0.0,HFOC
326381:7427,83:83,1541709156,STABLE BEAMS,6370,0.000141101,0.000139794,0.0,HFOC
326381:7427,84:84,1541709179,STABLE BEAMS,6370,0.000142072,0.000140745,0.0,HFOC
326381:7427,85:85,1541709202,STABLE BEAMS,6370,0.000141239,0.000139915,0.0,HFOC
326381:7427,86:86,1541709225,STABLE BEAMS,6370,0.000138996,0.000137703,0.0,HFOC
326381:7427,87:87,1541709249,STABLE BEAMS,6370,0.000143788,0.000142418,0.0,HFOC
326381:7427,88:88,1541709272,STABLE BEAMS,6370,0.000138789,0.000137504,0.0,HFOC
326381:7427,89:89,1541709295,STABLE BEAMS,6370,0.000139313,0.000138024,0.0,HFOC
326381:7427,90:90,1541709319,STABLE BEAMS,6370,0.000138524,0.000137246,0.0,HFOC
326381:7427,91:91,1541709342,STABLE BEAMS,6370,0.000140032,0.000138737,0.0,HFOC
326381:7427,92:92,1541709365,STABLE BEAMS,6370,0.000138744,0.000137457,0.0,HFOC
326381:7427,93:93,1541709389,STABLE BEAMS,6370,0.000137921,0.000130416,0.0,HFOC
326381:7427,94:94,1541709412,STABLE BEAMS,6370,0.000139447,0.000132047,0.0,HFOC
326381:7427,95:95,1541709435,STABLE BEAMS,6370,0.000139226,0.000137922,0.0,HFOC
326381:7427,96:96,1541709458,STABLE BEAMS,6370,0.000135884,0.000134634,0.0,HFOC
326381:7427,97:97,1541709482,STABLE BEAMS,6370,0.000138271,0.000136995,0.0,HFOC
326381:7427,98:98,1541709505,STABLE BEAMS,6370,0.000136705,0.000135442,0.0,HFOC
