#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
326381:7427,52:52,1541708433,STABLE BEAMS,6370,0.000152495,0.000151022,0.0,HFOC
326381:7427,53:53,1541708456,STABLE BEAMS,6370,0.000151901,0.000150434,0.0,HFOC
326381:7427,54:54,1541708479,STABLE BEAMS,6370,0.000151884,0.000103799,0.0,HFOC
326381:7427,55:55,1541708503,STABLE BEAMS,6370,0.000152645,0.000150429,0.0,HFOC
326381:7427,56:56,1541708526,STABLE BEAMS,6370,0.000150986,0.000149561,0.0,HFOC
326381:7427,57:57,1541708549,STABLE BEAMS,6370,0.000149949,0.000148538,0.0,HFOC
326381:7427,58:58,1541708573,STABLE BEAMS,6370,0.000151093,0.000149670,0.0,HFOC
326381:7427,59:59,1541708596,STABLE BEAMS,6370,0.000151012,0.000149583,0.0,HFOC
326381:7427,60:60,1541708619,STABLE BEAMS,6370,0.000151136,0.000149708,0.0,HFOC
326381:7427,61:61,1541708643,STABLE BEAMS,6370,0.000149179,0.000147766,0.0,HFOC
326381:7427,62:62,1541708666,STABLE BEAMS,6370,0.000151333,0.000149876,0.0,HFOC
326381:7427,63:63,1541708689,STABLE BEAMS,6370,0.000149849,0.000148445,0.0,HFOC
326381:7427,64:64,1541708713,STABLE BEAMS,6370,0.000149940,0.000148526,0.0,HFOC
326381:7427,65:65,1541708736,STABLE BEAMS,6370,0.000149159,0.000147762,0.0,HFOC
326381:7427,66:66,1541708759,STABLE BEAMS,6370,0.000148169,0.000146782,0.0,HFOC
326381:7427,67:67,1541708783,STABLE BEAMS,6370,0.000149748,0.000148339,0.0,HFOC
326381:7427,68:68,1541708806,STABLE BEAMS,6370,0.000147441,0.000146064,0.0,HFOC
326381:7427,69:69,1541708829,STABLE BEAMS,6370,0.000148658,0.000147256,0.0,HFOC
326381:7427,70:70,1541708852,STABLE BEAMS,6370,0.000147600,0.000146224,0.0,HFOC
326381:7427,71:71,1541708876,STABLE BEAMS,6370,0.000145455,0.000144105,0.0,HFOC
326381:7427,72:72,1541708899,STABLE BEAMS,6370,0.000148338,0.000146915,0.0,HFOC
326381:7427,73:73,1541708922,STABLE BEAMS,6370,0.000145480,0.000144105,0.0,HFOC
326381:7427,74:74,1541708946,STABLE BEAMS,6370,0.000148933,0.000147527,0.0,HFOC
326381:7427,75:75,1541708969,STABLE BEAMS,6370,0.000147870,0.000146482,0.0,HFOC
326381:7427,76:76,1541708992,STABLE BEAMS,6370,0.000145736,0.000144356,0.0,HFOC
326381:7427,77:77,1541709016,STABLE BEAMS,6370,0.000146702,0.000145320,0.0,HFOC
326381:7427,78:78,1541709039,STABLE BEAMS,6370,0.000144383,0.000143038,0.0,HFOC
326381:7427,79:79,1541709062,STABLE BEAMS,6370,0.000145006,0.000143651,0.0,HFOC
326381:7427,80:80,1541709086,STABLE BEAMS,6370,0.000145767,0.000144407,0.0,HFOC
326381:7427,81:81,1541709109,STABLE BEAMS,6370,0.000146188,0.000144824,0.0,HFOC
326381:7427,82:82,1541709132,STABLE BEAMS,6370,0.000145114,0.000143767,0.0,HFOC
326381:7427,83:83,1541709156,STABLE BEAMS,6370,0.000144664,0.000143324,0.0,HFOC
326381:7427,84:84,1541709179,STABLE BEAMS,6370,0.000145614,0.000144254,0.0,HFOC
326381:7427,85:85,1541709202,STABLE BEAMS,6370,0.000144798,0.000143441,0.0,HFOC
326381:7427,86:86,1541709225,STABLE BEAMS,6370,0.000142597,0.000141270,0.0,HFOC
326381:7427,87:87,1541709249,STABLE BEAMS,6370,0.000147289,0.000145886,0.0,HFOC
326381:7427,88:88,1541709272,STABLE BEAMS,6370,0.000142393,0.000141075,0.0,HFOC
326381:7427,89:89,1541709295,STABLE BEAMS,6370,0.000142909,0.000141586,0.0,HFOC
326381:7427,90:90,1541709319,STABLE BEAMS,6370,0.000142133,0.000140821,0.0,HFOC
326381:7427,91:91,1541709342,STABLE BEAMS,6370,0.000143616,0.000142287,0.0,HFOC
326381:7427,92:92,1541709365,STABLE BEAMS,6370,0.000142350,0.000141029,0.0,HFOC
326381:7427,93:93,1541709389,STABLE BEAMS,6370,0.000141538,0.000133837,0.0,HFOC
326381:7427,94:94,1541709412,STABLE BEAMS,6370,0.000143040,0.000135450,0.0,HFOC
326381:7427,95:95,1541709435,STABLE BEAMS,6370,0.000142823,0.000141486,0.0,HFOC
326381:7427,96:96,1541709458,STABLE BEAMS,6370,0.000139528,0.000138244,0.0,HFOC
326381:7427,97:97,1541709482,STABLE BEAMS,6370,0.000141884,0.000140574,0.0,HFOC
326381:7427,98:98,1541709505,STABLE BEAMS,6370,0.000140339,0.000139043,0.0,HFOC
326381:7427,99:99,1541709528,STABLE BEAMS,6370,0.000144441,0.000143103,0.0,HFOC
326381:7427,100:100,1541709552,STABLE BEAMS,6370,0.000141073,0.000139771,0.0,HFOC
326381:7427,101:101,1541709575,STABLE BEAMS,6370,0.000141914,0.000140599,0.0,HFOC
326381:7427,102:102,1541709598,STABLE BEAMS,6370,0.000140334,0.000139037,0.0,HFOC
326381:7427,103:103,1541709622,STABLE BEAMS,6370,0.000138708,0.000137428,0.0,HFOC
326381:7427,104:104,1541709645,STABLE BEAMS,6370,0.000138651,0.000137373,0.0,HFOC
326381:7427,105:105,1541709668,STABLE BEAMS,6370,0.000139826,0.000138528,0.0,HFOC
326381:7427,106:106,1541709692,STABLE BEAMS,6370,0.000137981,0.000136703,0.0,HFOC
326381:7427,107:107,1541709715,STABLE BEAMS,6370,0.000140518,0.000004079,0.0,HFOC
326381:7427,108:0,1541709738,STABLE BEAMS,6370,0.000139958,0,0.0,HFOC
326381:7427,109:0,1541709762,STABLE BEAMS,6370,0.000138606,0,0.0,HFOC
326381:7427,110:0,1541709785,STABLE BEAMS,6370,0.000138382,0,0.0,HFOC
326381:7427,111:0,1541709808,STABLE BEAMS,6370,0.000137532,0,0.0,HFOC
326381:7427,112:0,1541709832,STABLE BEAMS,6370,0.000137300,0,0.0,HFOC
326381:7427,113:0,1541709855,STABLE BEAMS,6370,0.000137046,0,0.0,HFOC
326381:7427,114:0,1541709878,STABLE BEAMS,6370,0.000137985,0,0.0,HFOC
326382:7427,1:1,1541709927,STABLE BEAMS,6370,0.000134957,0.000078858,0.0,HFOC
326382:7427,2:2,1541709950,STABLE BEAMS,6370,0.000137773,0.000136893,0.0,HFOC
326382:7427,3:3,1541709973,STABLE BEAMS,6370,0.000136097,0.000132892,0.0,HFOC
326382:7427,4:4,1541709997,STABLE BEAMS,6370,0.000136996,0.000135755,0.0,HFOC
326382:7427,5:5,1541710020,STABLE BEAMS,6370,0.000136952,0.000135696,0.0,HFOC
326382:7427,6:6,1541710043,STABLE BEAMS,6370,0.000136350,0.000135110,0.0,HFOC
326382:7427,7:7,1541710067,STABLE BEAMS,6370,0.000135536,0.000134312,0.0,HFOC
326382:7427,8:8,1541710090,STABLE BEAMS,6370,0.000135038,0.000133810,0.0,HFOC
326382:7427,9:9,1541710113,STABLE BEAMS,6370,0.000133616,0.000132406,0.0,HFOC
326382:7427,10:10,1541710136,STABLE BEAMS,6370,0.000134634,0.000133425,0.0,HFOC
326382:7427,11:11,1541710160,STABLE BEAMS,6370,0.000135887,0.000134657,0.0,HFOC
326382:7427,12:12,1541710183,STABLE BEAMS,6370,0.000133813,0.000132595,0.0,HFOC
326382:7427,13:13,1541710206,STABLE BEAMS,6370,0.000132699,0.000131507,0.0,HFOC
326382:7427,14:14,1541710230,STABLE BEAMS,6370,0.000133984,0.000132781,0.0,HFOC
326382:7427,15:15,1541710253,STABLE BEAMS,6370,0.000134409,0.000133201,0.0,HFOC
326382:7427,16:16,1541710276,STABLE BEAMS,6370,0.000133649,0.000132429,0.0,HFOC
326382:7427,17:17,1541710300,STABLE BEAMS,6370,0.000131824,0.000130644,0.0,HFOC
326382:7427,18:18,1541710323,STABLE BEAMS,6370,0.000132097,0.000130887,0.0,HFOC
326382:7427,19:19,1541710346,STABLE BEAMS,6370,0.000133374,0.000132176,0.0,HFOC
