#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
326381:7427,52:52,1541708433,STABLE BEAMS,6370,0.000153315,0.000151834,0.0,HFOC
326381:7427,53:53,1541708456,STABLE BEAMS,6370,0.000152690,0.000151215,0.0,HFOC
326381:7427,54:54,1541708479,STABLE BEAMS,6370,0.000152672,0.000104338,0.0,HFOC
326381:7427,55:55,1541708503,STABLE BEAMS,6370,0.000153472,0.000151244,0.0,HFOC
326381:7427,56:56,1541708526,STABLE BEAMS,6370,0.000151730,0.000150298,0.0,HFOC
326381:7427,57:57,1541708549,STABLE BEAMS,6370,0.000150644,0.000149227,0.0,HFOC
326381:7427,58:58,1541708573,STABLE BEAMS,6370,0.000151842,0.000150413,0.0,HFOC
326381:7427,59:59,1541708596,STABLE BEAMS,6370,0.000151757,0.000150321,0.0,HFOC
326381:7427,60:60,1541708619,STABLE BEAMS,6370,0.000151887,0.000150453,0.0,HFOC
326381:7427,61:61,1541708643,STABLE BEAMS,6370,0.000149839,0.000148420,0.0,HFOC
326381:7427,62:62,1541708666,STABLE BEAMS,6370,0.000152093,0.000150630,0.0,HFOC
326381:7427,63:63,1541708689,STABLE BEAMS,6370,0.000150540,0.000149129,0.0,HFOC
326381:7427,64:64,1541708713,STABLE BEAMS,6370,0.000150635,0.000149214,0.0,HFOC
326381:7427,65:65,1541708736,STABLE BEAMS,6370,0.000149818,0.000148416,0.0,HFOC
326381:7427,66:66,1541708759,STABLE BEAMS,6370,0.000148785,0.000147393,0.0,HFOC
326381:7427,67:67,1541708783,STABLE BEAMS,6370,0.000150434,0.000149019,0.0,HFOC
326381:7427,68:68,1541708806,STABLE BEAMS,6370,0.000148028,0.000146645,0.0,HFOC
326381:7427,69:69,1541708829,STABLE BEAMS,6370,0.000149295,0.000147888,0.0,HFOC
326381:7427,70:70,1541708852,STABLE BEAMS,6370,0.000148193,0.000146811,0.0,HFOC
326381:7427,71:71,1541708876,STABLE BEAMS,6370,0.000145966,0.000144610,0.0,HFOC
326381:7427,72:72,1541708899,STABLE BEAMS,6370,0.000148962,0.000147532,0.0,HFOC
326381:7427,73:73,1541708922,STABLE BEAMS,6370,0.000145992,0.000144611,0.0,HFOC
326381:7427,74:74,1541708946,STABLE BEAMS,6370,0.000149582,0.000148170,0.0,HFOC
326381:7427,75:75,1541708969,STABLE BEAMS,6370,0.000148475,0.000147081,0.0,HFOC
326381:7427,76:76,1541708992,STABLE BEAMS,6370,0.000146257,0.000144872,0.0,HFOC
326381:7427,77:77,1541709016,STABLE BEAMS,6370,0.000147260,0.000145872,0.0,HFOC
326381:7427,78:78,1541709039,STABLE BEAMS,6370,0.000144856,0.000143506,0.0,HFOC
326381:7427,79:79,1541709062,STABLE BEAMS,6370,0.000145501,0.000144141,0.0,HFOC
326381:7427,80:80,1541709086,STABLE BEAMS,6370,0.000146289,0.000144924,0.0,HFOC
326381:7427,81:81,1541709109,STABLE BEAMS,6370,0.000146725,0.000145357,0.0,HFOC
326381:7427,82:82,1541709132,STABLE BEAMS,6370,0.000145612,0.000144260,0.0,HFOC
326381:7427,83:83,1541709156,STABLE BEAMS,6370,0.000145146,0.000143802,0.0,HFOC
326381:7427,84:84,1541709179,STABLE BEAMS,6370,0.000146130,0.000144766,0.0,HFOC
326381:7427,85:85,1541709202,STABLE BEAMS,6370,0.000145285,0.000143924,0.0,HFOC
326381:7427,86:86,1541709225,STABLE BEAMS,6370,0.000143011,0.000141681,0.0,HFOC
326381:7427,87:87,1541709249,STABLE BEAMS,6370,0.000147870,0.000146461,0.0,HFOC
326381:7427,88:88,1541709272,STABLE BEAMS,6370,0.000142802,0.000141479,0.0,HFOC
326381:7427,89:89,1541709295,STABLE BEAMS,6370,0.000143333,0.000142007,0.0,HFOC
326381:7427,90:90,1541709319,STABLE BEAMS,6370,0.000142533,0.000141218,0.0,HFOC
326381:7427,91:91,1541709342,STABLE BEAMS,6370,0.000144062,0.000142730,0.0,HFOC
326381:7427,92:92,1541709365,STABLE BEAMS,6370,0.000142757,0.000141432,0.0,HFOC
326381:7427,93:93,1541709389,STABLE BEAMS,6370,0.000141921,0.000134199,0.0,HFOC
326381:7427,94:94,1541709412,STABLE BEAMS,6370,0.000143469,0.000135856,0.0,HFOC
326381:7427,95:95,1541709435,STABLE BEAMS,6370,0.000143244,0.000141904,0.0,HFOC
326381:7427,96:96,1541709458,STABLE BEAMS,6370,0.000139857,0.000138570,0.0,HFOC
326381:7427,97:97,1541709482,STABLE BEAMS,6370,0.000142277,0.000140964,0.0,HFOC
326381:7427,98:98,1541709505,STABLE BEAMS,6370,0.000140689,0.000139389,0.0,HFOC
326381:7427,99:99,1541709528,STABLE BEAMS,6370,0.000144915,0.000143573,0.0,HFOC
326381:7427,100:100,1541709552,STABLE BEAMS,6370,0.000141442,0.000140137,0.0,HFOC
326381:7427,101:101,1541709575,STABLE BEAMS,6370,0.000142308,0.000140989,0.0,HFOC
326381:7427,102:102,1541709598,STABLE BEAMS,6370,0.000140684,0.000139384,0.0,HFOC
326381:7427,103:103,1541709622,STABLE BEAMS,6370,0.000139017,0.000137734,0.0,HFOC
326381:7427,104:104,1541709645,STABLE BEAMS,6370,0.000138959,0.000137677,0.0,HFOC
326381:7427,105:105,1541709668,STABLE BEAMS,6370,0.000140163,0.000138861,0.0,HFOC
326381:7427,106:106,1541709692,STABLE BEAMS,6370,0.000138273,0.000136993,0.0,HFOC
326381:7427,107:107,1541709715,STABLE BEAMS,6370,0.000140873,0.000004090,0.0,HFOC
326381:7427,108:0,1541709738,STABLE BEAMS,6370,0.000140298,0,0.0,HFOC
326381:7427,109:0,1541709762,STABLE BEAMS,6370,0.000138913,0,0.0,HFOC
326381:7427,110:0,1541709785,STABLE BEAMS,6370,0.000138683,0,0.0,HFOC
326381:7427,111:0,1541709808,STABLE BEAMS,6370,0.000137814,0,0.0,HFOC
326381:7427,112:0,1541709832,STABLE BEAMS,6370,0.000137577,0,0.0,HFOC
326381:7427,113:0,1541709855,STABLE BEAMS,6370,0.000137318,0,0.0,HFOC
326381:7427,114:0,1541709878,STABLE BEAMS,6370,0.000138277,0,0.0,HFOC
326382:7427,1:1,1541709927,STABLE BEAMS,6370,0.000135109,0.000078947,0.0,HFOC
326382:7427,2:2,1541709950,STABLE BEAMS,6370,0.000137976,0.000137095,0.0,HFOC
326382:7427,3:3,1541709973,STABLE BEAMS,6370,0.000136269,0.000133060,0.0,HFOC
326382:7427,4:4,1541709997,STABLE BEAMS,6370,0.000137184,0.000135941,0.0,HFOC
326382:7427,5:5,1541710020,STABLE BEAMS,6370,0.000137139,0.000135882,0.0,HFOC
326382:7427,6:6,1541710043,STABLE BEAMS,6370,0.000136526,0.000135285,0.0,HFOC
326382:7427,7:7,1541710067,STABLE BEAMS,6370,0.000135698,0.000134472,0.0,HFOC
326382:7427,8:8,1541710090,STABLE BEAMS,6370,0.000135191,0.000133962,0.0,HFOC
326382:7427,9:9,1541710113,STABLE BEAMS,6370,0.000133748,0.000132537,0.0,HFOC
326382:7427,10:10,1541710136,STABLE BEAMS,6370,0.000134781,0.000133571,0.0,HFOC
326382:7427,11:11,1541710160,STABLE BEAMS,6370,0.000136055,0.000134823,0.0,HFOC
326382:7427,12:12,1541710183,STABLE BEAMS,6370,0.000133947,0.000132728,0.0,HFOC
326382:7427,13:13,1541710206,STABLE BEAMS,6370,0.000132819,0.000131626,0.0,HFOC
326382:7427,14:14,1541710230,STABLE BEAMS,6370,0.000134121,0.000132917,0.0,HFOC
326382:7427,15:15,1541710253,STABLE BEAMS,6370,0.000134553,0.000133343,0.0,HFOC
326382:7427,16:16,1541710276,STABLE BEAMS,6370,0.000133782,0.000132561,0.0,HFOC
326382:7427,17:17,1541710300,STABLE BEAMS,6370,0.000131933,0.000130753,0.0,HFOC
326382:7427,18:18,1541710323,STABLE BEAMS,6370,0.000132209,0.000130999,0.0,HFOC
326382:7427,19:19,1541710346,STABLE BEAMS,6370,0.000133502,0.000132303,0.0,HFOC
326382:7427,20:20,1541710370,STABLE BEAMS,6370,0.000133672,0.000132461,0.0,HFOC
326382:7427,21:21,1541710393,STABLE BEAMS,6370,0.000132481,0.000037298,0.0,HFOC
326382:7427,22:0,1541710416,STABLE BEAMS,6370,0.000133224,0,0.0,HFOC
326382:7427,23:0,1541710440,STABLE BEAMS,6370,0.000132814,0,0.0,HFOC
326382:7427,24:0,1541710463,STABLE BEAMS,6370,0.000131674,0,0.0,HFOC
326383:7427,1:1,1541710605,STABLE BEAMS,6370,0.000129776,0.000120861,0.0,HFOC
