#Data tag : 19v3 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
326381:7427,52:52,1541708433,STABLE BEAMS,6370,0.000154428,0.000152937,0.0,PLTZERO
326381:7427,53:53,1541708456,STABLE BEAMS,6370,0.000154604,0.000153111,0.0,PLTZERO
326381:7427,54:54,1541708479,STABLE BEAMS,6370,0.000154491,0.000105581,0.0,PLTZERO
326381:7427,55:55,1541708503,STABLE BEAMS,6370,0.000155853,0.000153591,0.0,PLTZERO
326381:7427,56:56,1541708526,STABLE BEAMS,6370,0.000153314,0.000151866,0.0,PLTZERO
326381:7427,57:57,1541708549,STABLE BEAMS,6370,0.000152885,0.000151446,0.0,PLTZERO
326381:7427,58:58,1541708573,STABLE BEAMS,6370,0.000153880,0.000152431,0.0,PLTZERO
326381:7427,59:59,1541708596,STABLE BEAMS,6370,0.000153315,0.000151864,0.0,PLTZERO
326381:7427,60:60,1541708619,STABLE BEAMS,6370,0.000153057,0.000151611,0.0,PLTZERO
326381:7427,61:61,1541708643,STABLE BEAMS,6370,0.000151915,0.000150475,0.0,PLTZERO
326381:7427,62:62,1541708666,STABLE BEAMS,6370,0.000153950,0.000152469,0.0,PLTZERO
326381:7427,63:63,1541708689,STABLE BEAMS,6370,0.000152796,0.000151365,0.0,PLTZERO
326381:7427,64:64,1541708713,STABLE BEAMS,6370,0.000152744,0.000151304,0.0,PLTZERO
326381:7427,65:65,1541708736,STABLE BEAMS,6370,0.000151755,0.000150334,0.0,PLTZERO
326381:7427,66:66,1541708759,STABLE BEAMS,6370,0.000149178,0.000147782,0.0,PLTZERO
326381:7427,67:67,1541708783,STABLE BEAMS,6370,0.000153036,0.000151597,0.0,PLTZERO
326381:7427,68:68,1541708806,STABLE BEAMS,6370,0.000149898,0.000148498,0.0,PLTZERO
326381:7427,69:69,1541708829,STABLE BEAMS,6370,0.000150807,0.000149385,0.0,PLTZERO
326381:7427,70:70,1541708852,STABLE BEAMS,6370,0.000149297,0.000147905,0.0,PLTZERO
326381:7427,71:71,1541708876,STABLE BEAMS,6370,0.000147629,0.000146258,0.0,PLTZERO
326381:7427,72:72,1541708899,STABLE BEAMS,6370,0.000151112,0.000149662,0.0,PLTZERO
326381:7427,73:73,1541708922,STABLE BEAMS,6370,0.000147228,0.000145836,0.0,PLTZERO
326381:7427,74:74,1541708946,STABLE BEAMS,6370,0.000151342,0.000149913,0.0,PLTZERO
326381:7427,75:75,1541708969,STABLE BEAMS,6370,0.000150191,0.000148782,0.0,PLTZERO
326381:7427,76:76,1541708992,STABLE BEAMS,6370,0.000148202,0.000146798,0.0,PLTZERO
326381:7427,77:77,1541709016,STABLE BEAMS,6370,0.000148333,0.000146935,0.0,PLTZERO
326381:7427,78:78,1541709039,STABLE BEAMS,6370,0.000146890,0.000145521,0.0,PLTZERO
326381:7427,79:79,1541709062,STABLE BEAMS,6370,0.000147735,0.000146354,0.0,PLTZERO
326381:7427,80:80,1541709086,STABLE BEAMS,6370,0.000147668,0.000146290,0.0,PLTZERO
326381:7427,81:81,1541709109,STABLE BEAMS,6370,0.000149811,0.000148413,0.0,PLTZERO
326381:7427,82:82,1541709132,STABLE BEAMS,6370,0.000146637,0.000145275,0.0,PLTZERO
326381:7427,83:83,1541709156,STABLE BEAMS,6370,0.000145993,0.000144641,0.0,PLTZERO
326381:7427,84:84,1541709179,STABLE BEAMS,6370,0.000147596,0.000146219,0.0,PLTZERO
326381:7427,85:85,1541709202,STABLE BEAMS,6370,0.000147751,0.000146366,0.0,PLTZERO
326381:7427,86:86,1541709225,STABLE BEAMS,6370,0.000143865,0.000142526,0.0,PLTZERO
326381:7427,87:87,1541709249,STABLE BEAMS,6370,0.000150467,0.000149034,0.0,PLTZERO
326381:7427,88:88,1541709272,STABLE BEAMS,6370,0.000144885,0.000143544,0.0,PLTZERO
326381:7427,89:89,1541709295,STABLE BEAMS,6370,0.000145401,0.000144056,0.0,PLTZERO
326381:7427,90:90,1541709319,STABLE BEAMS,6370,0.000144994,0.000143656,0.0,PLTZERO
326381:7427,91:91,1541709342,STABLE BEAMS,6370,0.000145771,0.000144422,0.0,PLTZERO
326381:7427,92:92,1541709365,STABLE BEAMS,6370,0.000143872,0.000142537,0.0,PLTZERO
326381:7427,93:93,1541709389,STABLE BEAMS,6370,0.000143904,0.000136074,0.0,PLTZERO
326381:7427,94:94,1541709412,STABLE BEAMS,6370,0.000145032,0.000137336,0.0,PLTZERO
326381:7427,95:95,1541709435,STABLE BEAMS,6370,0.000145068,0.000143710,0.0,PLTZERO
326381:7427,96:96,1541709458,STABLE BEAMS,6370,0.000142215,0.000140907,0.0,PLTZERO
326381:7427,97:97,1541709482,STABLE BEAMS,6370,0.000144481,0.000143148,0.0,PLTZERO
326381:7427,98:98,1541709505,STABLE BEAMS,6370,0.000142943,0.000141623,0.0,PLTZERO
326381:7427,99:99,1541709528,STABLE BEAMS,6370,0.000146883,0.000145522,0.0,PLTZERO
326381:7427,100:100,1541709552,STABLE BEAMS,6370,0.000143601,0.000142276,0.0,PLTZERO
326381:7427,101:101,1541709575,STABLE BEAMS,6370,0.000144708,0.000143366,0.0,PLTZERO
326381:7427,102:102,1541709598,STABLE BEAMS,6370,0.000141958,0.000140646,0.0,PLTZERO
326381:7427,103:103,1541709622,STABLE BEAMS,6370,0.000141315,0.000140011,0.0,PLTZERO
326381:7427,104:104,1541709645,STABLE BEAMS,6370,0.000141238,0.000139936,0.0,PLTZERO
326381:7427,105:105,1541709668,STABLE BEAMS,6370,0.000140858,0.000139551,0.0,PLTZERO
326381:7427,106:106,1541709692,STABLE BEAMS,6370,0.000140806,0.000139502,0.0,PLTZERO
326381:7427,107:107,1541709715,STABLE BEAMS,6370,0.000142619,0.000004140,0.0,PLTZERO
326381:7427,108:0,1541709738,STABLE BEAMS,6370,0.000143701,0,0.0,PLTZERO
326381:7427,109:0,1541709762,STABLE BEAMS,6370,0.000139771,0,0.0,PLTZERO
326381:7427,110:0,1541709785,STABLE BEAMS,6370,0.000140731,0,0.0,PLTZERO
326381:7427,111:0,1541709808,STABLE BEAMS,6370,0.000139617,0,0.0,PLTZERO
326381:7427,112:0,1541709832,STABLE BEAMS,6370,0.000139165,0,0.0,PLTZERO
326381:7427,113:0,1541709855,STABLE BEAMS,6370,0.000138699,0,0.0,PLTZERO
326381:7427,114:0,1541709878,STABLE BEAMS,6370,0.000140291,0,0.0,PLTZERO
326382:7427,1:1,1541709927,STABLE BEAMS,6370,0.000136571,0.000079801,0.0,PLTZERO
326382:7427,2:2,1541709950,STABLE BEAMS,6370,0.000139128,0.000138240,0.0,PLTZERO
